open_time,close_time,open,high,low,close,trade_count
2026-03-13 17:00:00+00:00,2026-03-13 17:59:59.999000+00:00,9.282,9.30440668,9.102,9.143,3600
2026-03-13 18:00:00+00:00,2026-03-13 18:59:59.999000+00:00,9.143,9.17840818,9.108,9.123,3600
2026-03-13 19:00:00+00:00,2026-03-13 19:59:59.999000+00:00,9.123,9.16094606,9.104,9.14255908,3600
2026-03-13 20:00:00+00:00,2026-03-13 20:59:59.999000+00:00,9.14255908,9.17449829,9.12511813,9.17446538,3600
2026-03-13 21:00:00+00:00,2026-03-13 21:59:59.999000+00:00,9.17445075,9.20334398,9.115,9.1281519,3600
2026-03-13 22:00:00+00:00,2026-03-13 22:59:59.999000+00:00,9.12818874,9.13606225,9.02,9.06250356,3600
2026-03-13 23:00:00+00:00,2026-03-13 23:59:59.999000+00:00,9.06243747,9.1026683,9.048,9.08,3600
2026-03-14 00:00:00+00:00,2026-03-14 00:59:59.999000+00:00,9.08,9.11120528,9.04946933,9.05580125,3600
2026-03-14 01:00:00+00:00,2026-03-14 01:59:59.999000+00:00,9.05581808,9.08623574,9.017,9.076,3600
2026-03-14 02:00:00+00:00,2026-03-14 02:59:59.999000+00:00,9.076,9.09476817,9.05915708,9.07964094,3600
2026-03-14 03:00:00+00:00,2026-03-14 03:59:59.999000+00:00,9.07941184,9.12905119,9.07012368,9.11315922,3600
2026-03-14 04:00:00+00:00,2026-03-14 04:59:59.999000+00:00,9.11314531,9.13830745,9.078,9.08129187,3600
2026-03-14 05:00:00+00:00,2026-03-14 05:59:59.999000+00:00,9.082,9.0969586,9.02116705,9.0600594,3600
2026-03-14 06:00:00+00:00,2026-03-14 06:59:59.999000+00:00,9.06047486,9.06047486,8.96419391,9.0002744,3600
2026-03-14 07:00:00+00:00,2026-03-14 07:59:59.999000+00:00,8.99966191,9.00221599,8.96,8.97622454,3600
2026-03-14 08:00:00+00:00,2026-03-14 08:59:59.999000+00:00,8.97622454,8.98818839,8.961,8.97872892,3600
2026-03-14 09:00:00+00:00,2026-03-14 09:59:59.999000+00:00,8.97878577,9.004373,8.92242146,8.941,3600
2026-03-14 10:00:00+00:00,2026-03-14 10:59:59.999000+00:00,8.93920508,8.94764175,8.91730721,8.94284097,3600
2026-03-14 11:00:00+00:00,2026-03-14 11:59:59.999000+00:00,8.94284093,8.99495677,8.94175825,8.98756294,3600
2026-03-14 12:00:00+00:00,2026-03-14 12:59:59.999000+00:00,8.98766055,8.99875436,8.963,8.9832375,3600
2026-03-14 13:00:00+00:00,2026-03-14 13:59:59.999000+00:00,8.98281151,9.01099487,8.974,9.00312974,3600
2026-03-14 14:00:00+00:00,2026-03-14 14:59:59.999000+00:00,9.00313385,9.01336148,8.962,8.97,3600
2026-03-14 15:00:00+00:00,2026-03-14 15:59:59.999000+00:00,8.96915269,9.00598913,8.956,8.998,3600
2026-03-14 16:00:00+00:00,2026-03-14 16:59:59.999000+00:00,8.998,9.03744528,8.976,9.03460347,3600
2026-03-14 17:00:00+00:00,2026-03-14 17:59:59.999000+00:00,9.03443689,9.0475468,9.001,9.00578,3600
2026-03-14 18:00:00+00:00,2026-03-14 18:59:59.999000+00:00,9.00578,9.02640973,8.98791072,9.015,3600
2026-03-14 19:00:00+00:00,2026-03-14 19:59:59.999000+00:00,9.01475337,9.03694327,9.004,9.021,3600
2026-03-14 20:00:00+00:00,2026-03-14 20:59:59.999000+00:00,9.021,9.04259602,9.011,9.036,3600
2026-03-14 21:00:00+00:00,2026-03-14 21:59:59.999000+00:00,9.03556649,9.09581378,9.021,9.08416257,3600
2026-03-14 22:00:00+00:00,2026-03-14 22:59:59.999000+00:00,9.084,9.10311801,9.07141859,9.07272115,3600
2026-03-14 23:00:00+00:00,2026-03-14 23:59:59.999000+00:00,9.07269586,9.167,9.072,9.162,3600
2026-03-15 00:00:00+00:00,2026-03-15 00:59:59.999000+00:00,9.163,9.182,9.136,9.138,3600
2026-03-15 01:00:00+00:00,2026-03-15 01:59:59.999000+00:00,9.138,9.146,9.10904166,9.13645022,3600
2026-03-15 02:00:00+00:00,2026-03-15 02:59:59.999000+00:00,9.13650325,9.25434595,9.13630061,9.22927849,3600
2026-03-15 03:00:00+00:00,2026-03-15 03:59:59.999000+00:00,9.22927849,9.24356639,9.17900218,9.20217917,3600
2026-03-15 04:00:00+00:00,2026-03-15 04:59:59.999000+00:00,9.20217538,9.248,9.18260131,9.21302357,3600
2026-03-15 05:00:00+00:00,2026-03-15 05:59:59.999000+00:00,9.21313587,9.261,9.18895684,9.21838989,3600
2026-03-15 06:00:00+00:00,2026-03-15 06:59:59.999000+00:00,9.2184125,9.23767827,9.194,9.21,3600
2026-03-15 07:00:00+00:00,2026-03-15 07:59:59.999000+00:00,9.211,9.23451291,9.189,9.213,3600
2026-03-15 08:00:00+00:00,2026-03-15 08:59:59.999000+00:00,9.213,9.26359321,9.213,9.261,3600
2026-03-15 09:00:00+00:00,2026-03-15 09:59:59.999000+00:00,9.26421152,9.318,9.255,9.263,3600
2026-03-15 10:00:00+00:00,2026-03-15 10:59:59.999000+00:00,9.263,9.29445553,9.2499291,9.28,3600
2026-03-15 11:00:00+00:00,2026-03-15 11:59:59.999000+00:00,9.28,9.29244029,9.255,9.27351698,3600
2026-03-15 12:00:00+00:00,2026-03-15 12:59:59.999000+00:00,9.27301403,9.27500886,9.242,9.249,3600
2026-03-15 13:00:00+00:00,2026-03-15 13:59:59.999000+00:00,9.249,9.27212437,9.139,9.19620365,3600
2026-03-15 14:00:00+00:00,2026-03-15 14:59:59.999000+00:00,9.19501086,9.20647747,9.13418366,9.18012981,3600
2026-03-15 15:00:00+00:00,2026-03-15 15:59:59.999000+00:00,9.18014722,9.18037614,9.14084088,9.15166142,3600
2026-03-15 16:00:00+00:00,2026-03-15 16:59:59.999000+00:00,9.15156787,9.1858012,9.118,9.13387561,3600
2026-03-15 17:00:00+00:00,2026-03-15 17:59:59.999000+00:00,9.13387558,9.23610424,9.129,9.205,3600
2026-03-15 18:00:00+00:00,2026-03-15 18:59:59.999000+00:00,9.205,9.2165745,9.131,9.1473725,3600
2026-03-15 19:00:00+00:00,2026-03-15 19:59:59.999000+00:00,9.1473725,9.20306152,9.142,9.193,3600
2026-03-15 20:00:00+00:00,2026-03-15 20:59:59.999000+00:00,9.193,9.28953536,9.171,9.24335996,3600
2026-03-15 21:00:00+00:00,2026-03-15 21:59:59.999000+00:00,9.24365792,9.33,9.228,9.30632721,3600
2026-03-15 22:00:00+00:00,2026-03-15 22:59:59.999000+00:00,9.30442407,9.52566487,9.23749663,9.477,3600
2026-03-15 23:00:00+00:00,2026-03-15 23:59:59.999000+00:00,9.479,9.55161963,9.398,9.49232454,3600
2026-03-16 00:00:00+00:00,2026-03-16 00:59:59.999000+00:00,9.49219886,9.54150141,9.41899185,9.45495153,3600
2026-03-16 01:00:00+00:00,2026-03-16 01:59:59.999000+00:00,9.45495153,9.532,9.406,9.51379995,3600
2026-03-16 02:00:00+00:00,2026-03-16 02:59:59.999000+00:00,9.51391848,9.529,9.415,9.481,3600
2026-03-16 03:00:00+00:00,2026-03-16 03:59:59.999000+00:00,9.481,9.80492243,9.451,9.69389611,3600
2026-03-16 04:00:00+00:00,2026-03-16 04:59:59.999000+00:00,9.69381909,9.82731731,9.69381909,9.74864622,3600
2026-03-16 05:00:00+00:00,2026-03-16 05:59:59.999000+00:00,9.74844392,9.786,9.67519072,9.757,3600
2026-03-16 06:00:00+00:00,2026-03-16 06:59:59.999000+00:00,9.759,9.76527145,9.66925444,9.706,3600
2026-03-16 07:00:00+00:00,2026-03-16 07:59:59.999000+00:00,9.706,9.75352206,9.67251902,9.681,3599
2026-03-16 08:00:00+00:00,2026-03-16 08:59:59.999000+00:00,9.682,9.73410755,9.56,9.58506364,3599
2026-03-16 09:00:00+00:00,2026-03-16 09:59:59.999000+00:00,9.58519623,9.65915748,9.578,9.639,3600
2026-03-16 10:00:00+00:00,2026-03-16 10:59:59.999000+00:00,9.639,9.721,9.62412976,9.719,3600
2026-03-16 11:00:00+00:00,2026-03-16 11:59:59.999000+00:00,9.718,9.72936244,9.635,9.657,3600
2026-03-16 12:00:00+00:00,2026-03-16 12:59:59.999000+00:00,9.657,9.76015569,9.657,9.7,3600
2026-03-16 13:00:00+00:00,2026-03-16 13:59:59.999000+00:00,9.7,9.814,9.668,9.745,3600
2026-03-16 14:00:00+00:00,2026-03-16 14:59:59.999000+00:00,9.748,9.79200541,9.589,9.69705798,3599
2026-03-16 15:00:00+00:00,2026-03-16 15:59:59.999000+00:00,9.69762858,9.7699026,9.674,9.71458364,3600
2026-03-16 16:00:00+00:00,2026-03-16 16:59:59.999000+00:00,9.71457702,9.815,9.70435518,9.788,3600
2026-03-16 17:00:00+00:00,2026-03-16 17:59:59.999000+00:00,9.788,9.859,9.769,9.82298531,3600
2026-03-16 18:00:00+00:00,2026-03-16 18:59:59.999000+00:00,9.82298531,9.91814105,9.814,9.855,3600
2026-03-16 19:00:00+00:00,2026-03-16 19:59:59.999000+00:00,9.855,9.9648303,9.83030862,9.925,3600
2026-03-16 20:00:00+00:00,2026-03-16 20:59:59.999000+00:00,9.926,9.9661917,9.902,9.94,3600
2026-03-16 21:00:00+00:00,2026-03-16 21:59:59.999000+00:00,9.94,10.04323747,9.916,9.977,3600
2026-03-16 22:00:00+00:00,2026-03-16 22:59:59.999000+00:00,9.977,10.07608933,9.95145349,9.973,3600
2026-03-16 23:00:00+00:00,2026-03-16 23:59:59.999000+00:00,9.97391555,9.97508042,9.857,9.918,3600
2026-03-17 00:00:00+00:00,2026-03-17 00:59:59.999000+00:00,9.917,10.00836862,9.878,9.951,3600
2026-03-17 01:00:00+00:00,2026-03-17 01:59:59.999000+00:00,9.951,10.01672047,9.904,9.955,3600
2026-03-17 02:00:00+00:00,2026-03-17 02:59:59.999000+00:00,9.954,9.959,9.88,9.907,3600
2026-03-17 03:00:00+00:00,2026-03-17 03:59:59.999000+00:00,9.906,9.91256369,9.77432436,9.82615381,3600
2026-03-17 04:00:00+00:00,2026-03-17 04:59:59.999000+00:00,9.82623718,9.85227069,9.71520864,9.764,3600
2026-03-17 05:00:00+00:00,2026-03-17 05:59:59.999000+00:00,9.764,9.78950988,9.68216268,9.72381282,3600
2026-03-17 06:00:00+00:00,2026-03-17 06:59:59.999000+00:00,9.72381283,9.78792614,9.68444805,9.74479602,3600
2026-03-17 07:00:00+00:00,2026-03-17 07:59:59.999000+00:00,9.74466912,9.84440544,9.744,9.793,3600
2026-03-17 08:00:00+00:00,2026-03-17 08:59:59.999000+00:00,9.793,9.829,9.759,9.767,3600
2026-03-17 09:00:00+00:00,2026-03-17 09:59:59.999000+00:00,9.767,9.80502074,9.73438367,9.76568384,3600
2026-03-17 10:00:00+00:00,2026-03-17 10:59:59.999000+00:00,9.76568384,9.782,9.7282388,9.74649077,3600
2026-03-17 11:00:00+00:00,2026-03-17 11:59:59.999000+00:00,9.74654428,9.80517009,9.739,9.75869328,3600
2026-03-17 12:00:00+00:00,2026-03-17 12:59:59.999000+00:00,9.75859339,9.79315594,9.712,9.72770161,3600
2026-03-17 13:00:00+00:00,2026-03-17 13:59:59.999000+00:00,9.72771599,9.82838519,9.71844447,9.78167974,3600
2026-03-17 14:00:00+00:00,2026-03-17 14:59:59.999000+00:00,9.78111121,9.86885917,9.748,9.862,3600
2026-03-17 15:00:00+00:00,2026-03-17 15:59:59.999000+00:00,9.861,9.93125725,9.73831521,9.79893657,3600
2026-03-17 16:00:00+00:00,2026-03-17 16:59:59.999000+00:00,9.79883938,9.86311248,9.7885545,9.82884719,3600
2026-03-17 17:00:00+00:00,2026-03-17 17:59:59.999000+00:00,9.82884745,9.88637649,9.811,9.877,3600
2026-03-17 18:00:00+00:00,2026-03-17 18:59:59.999000+00:00,9.877,9.91107566,9.855,9.885,3600
2026-03-17 19:00:00+00:00,2026-03-17 19:59:59.999000+00:00,9.885,9.89526792,9.7958867,9.8020098,3600
2026-03-17 20:00:00+00:00,2026-03-17 20:59:59.999000+00:00,9.80147549,9.84459481,9.771,9.835,3600
2026-03-17 21:00:00+00:00,2026-03-17 21:59:59.999000+00:00,9.835,9.90497093,9.834,9.88166585,3600
2026-03-17 22:00:00+00:00,2026-03-17 22:59:59.999000+00:00,9.88166585,9.90731535,9.796,9.84807497,3600
2026-03-17 23:00:00+00:00,2026-03-17 23:59:59.999000+00:00,9.84807497,9.860742,9.781,9.787,3600
2026-03-18 00:00:00+00:00,2026-03-18 00:59:59.999000+00:00,9.786,9.81698519,9.75,9.81214554,3600
2026-03-18 01:00:00+00:00,2026-03-18 01:59:59.999000+00:00,9.81215877,9.85768104,9.793,9.8,3600
2026-03-18 02:00:00+00:00,2026-03-18 02:59:59.999000+00:00,9.8,9.87598426,9.79735717,9.844,3600
2026-03-18 03:00:00+00:00,2026-03-18 03:59:59.999000+00:00,9.844,9.922,9.83506947,9.885,3600
2026-03-18 04:00:00+00:00,2026-03-18 04:59:59.999000+00:00,9.884,9.891,9.81709941,9.83498296,3600
2026-03-18 05:00:00+00:00,2026-03-18 05:59:59.999000+00:00,9.83498296,9.874,9.77873931,9.792,3600
2026-03-18 06:00:00+00:00,2026-03-18 06:59:59.999000+00:00,9.792,9.85805841,9.792,9.808,3599
2026-03-18 07:00:00+00:00,2026-03-18 07:59:59.999000+00:00,9.808,9.81548416,9.774,9.808,3599
2026-03-18 08:00:00+00:00,2026-03-18 08:59:59.999000+00:00,9.808,9.85449928,9.808,9.84558032,3600
2026-03-18 09:00:00+00:00,2026-03-18 09:59:59.999000+00:00,9.84563081,9.88068159,9.81,9.82927822,3600
2026-03-18 10:00:00+00:00,2026-03-18 10:59:59.999000+00:00,9.82923469,9.83504705,9.73262918,9.754,3600
2026-03-18 11:00:00+00:00,2026-03-18 11:59:59.999000+00:00,9.754,9.78048357,9.522,9.55319537,3600
2026-03-18 12:00:00+00:00,2026-03-18 12:59:59.999000+00:00,9.55271033,9.55271033,9.35701006,9.37916483,3600
2026-03-18 13:00:00+00:00,2026-03-18 13:59:59.999000+00:00,9.37861132,9.41735276,9.333,9.389,3600
2026-03-18 14:00:00+00:00,2026-03-18 14:59:59.999000+00:00,9.388,9.40142243,9.175,9.196,3600
2026-03-18 15:00:00+00:00,2026-03-18 15:59:59.999000+00:00,9.196,9.22890609,9.12058303,9.201,3600
2026-03-18 16:00:00+00:00,2026-03-18 16:59:59.999000+00:00,9.201,9.201,9.09,9.136,3600
2026-03-18 17:00:00+00:00,2026-03-18 17:59:59.999000+00:00,9.136,9.2590455,9.125,9.223,3600
2026-03-18 18:00:00+00:00,2026-03-18 18:59:59.999000+00:00,9.223,9.303,9.15189114,9.177,3600
2026-03-18 19:00:00+00:00,2026-03-18 19:59:59.999000+00:00,9.177,9.24160248,9.159,9.163,3600
2026-03-18 20:00:00+00:00,2026-03-18 20:59:59.999000+00:00,9.164,9.22732285,9.08,9.21934758,3600
2026-03-18 21:00:00+00:00,2026-03-18 21:59:59.999000+00:00,9.21805825,9.25886553,9.203,9.239,3600
2026-03-18 22:00:00+00:00,2026-03-18 22:59:59.999000+00:00,9.239,9.24268923,9.186,9.20832766,3600
2026-03-18 23:00:00+00:00,2026-03-18 23:59:59.999000+00:00,9.20829818,9.23615083,9.178,9.222,3600
2026-03-19 00:00:00+00:00,2026-03-19 00:59:59.999000+00:00,9.222,9.23914248,9.195,9.20589655,3600
2026-03-19 01:00:00+00:00,2026-03-19 01:59:59.999000+00:00,9.20582962,9.2200051,9.17676854,9.19900264,3600
2026-03-19 02:00:00+00:00,2026-03-19 02:59:59.999000+00:00,9.19900264,9.22396699,9.15872582,9.187,3600
2026-03-19 03:00:00+00:00,2026-03-19 03:59:59.999000+00:00,9.187,9.334,9.187,9.25279403,3600
2026-03-19 04:00:00+00:00,2026-03-19 04:59:59.999000+00:00,9.25277025,9.255,9.176,9.18,3600
2026-03-19 05:00:00+00:00,2026-03-19 05:59:59.999000+00:00,9.181,9.20439155,9.15,9.16587678,3600
2026-03-19 06:00:00+00:00,2026-03-19 06:59:59.999000+00:00,9.16581941,9.201,9.1435951,9.153,3600
2026-03-19 07:00:00+00:00,2026-03-19 07:59:59.999000+00:00,9.15229089,9.1637739,9.032,9.09302708,3600
2026-03-19 08:00:00+00:00,2026-03-19 08:59:59.999000+00:00,9.09305075,9.1139051,9.061,9.085,3600
2026-03-19 09:00:00+00:00,2026-03-19 09:59:59.999000+00:00,9.085,9.17088697,9.078,9.16159333,3600
2026-03-19 10:00:00+00:00,2026-03-19 10:59:59.999000+00:00,9.16158605,9.165,9.12,9.12323277,3600
2026-03-19 11:00:00+00:00,2026-03-19 11:59:59.999000+00:00,9.12323995,9.13780226,9.086,9.09001645,3600
2026-03-19 12:00:00+00:00,2026-03-19 12:59:59.999000+00:00,9.09001645,9.09415394,8.94130363,8.951,3600
2026-03-19 13:00:00+00:00,2026-03-19 13:59:59.999000+00:00,8.952,9.00701521,8.894,8.98555421,3600
2026-03-19 14:00:00+00:00,2026-03-19 14:59:59.999000+00:00,8.9855542,9.02420586,8.893,8.94713719,3600
2026-03-19 15:00:00+00:00,2026-03-19 15:59:59.999000+00:00,8.94613948,8.9931833,8.89,8.958,3600
2026-03-19 16:00:00+00:00,2026-03-19 16:59:59.999000+00:00,8.958,8.96470572,8.90879046,8.93431066,3600
2026-03-19 17:00:00+00:00,2026-03-19 17:59:59.999000+00:00,8.93430801,9.01629641,8.8956708,8.993,3600
2026-03-19 18:00:00+00:00,2026-03-19 18:59:59.999000+00:00,8.993,8.993,8.954,8.98765734,3600
2026-03-19 19:00:00+00:00,2026-03-19 19:59:59.999000+00:00,8.98765335,9.09173197,8.986,9.027242,3600
2026-03-19 20:00:00+00:00,2026-03-19 20:59:59.999000+00:00,9.02740279,9.07702734,9.017,9.05,3600
2026-03-19 21:00:00+00:00,2026-03-19 21:59:59.999000+00:00,9.04922709,9.09237999,9.046,9.07859259,3600
2026-03-19 22:00:00+00:00,2026-03-19 22:59:59.999000+00:00,9.07859259,9.08418144,9.00712881,9.044,3600
2026-03-19 23:00:00+00:00,2026-03-19 23:59:59.999000+00:00,9.044,9.06940027,9.008,9.04,3600
2026-03-20 00:00:00+00:00,2026-03-20 00:59:59.999000+00:00,9.041,9.09085845,9.033,9.073,3600
2026-03-20 01:00:00+00:00,2026-03-20 01:59:59.999000+00:00,9.073,9.15865513,9.073,9.113,3600
