symbol,sumOpenInterest,sumOpenInterestValue,CMCCirculatingSupply,timestamp
LINKUSDT,9259851.34,85940680.28654,708099970.45258670,2026-03-13 17:00:00+00:00
LINKUSDT,9180741.22,83939516.97446,708099970.45258670,2026-03-13 18:00:00+00:00
LINKUSDT,9229864.07,84204049.91061,708099970.45258670,2026-03-13 19:00:00+00:00
LINKUSDT,9342900.49,85418019.70838594,708099970.45258670,2026-03-13 20:00:00+00:00
LINKUSDT,9355800.6,85834468.70688322,708099970.45258670,2026-03-13 21:00:00+00:00
LINKUSDT,9232542.79,84276053.01036981,708099970.45258670,2026-03-13 22:00:00+00:00
LINKUSDT,8960024.35,81200252.56956169,708099970.45258670,2026-03-13 23:00:00+00:00
LINKUSDT,8913830.32,80937579.3056,708099970.45258670,2026-03-14 00:00:00+00:00
LINKUSDT,8905044.52,80642313.29552165,708099970.45258670,2026-03-14 01:00:00+00:00
LINKUSDT,8891461.85,80698907.7506,708099970.45258670,2026-03-14 02:00:00+00:00
LINKUSDT,8876622.21,80596542.42682928,708099970.45258670,2026-03-14 03:00:00+00:00
LINKUSDT,8918358.58,81274421.72059311,708099970.45258670,2026-03-14 04:00:00+00:00
LINKUSDT,8914913.44,80958930.94442573,708099970.45258670,2026-03-14 05:00:00+00:00
LINKUSDT,8883280.18,80483046.09764269,708099970.45258670,2026-03-14 06:00:00+00:00
LINKUSDT,8773951.89,78967974.58239862,708099970.45258670,2026-03-14 07:00:00+00:00
LINKUSDT,8697842.51,78073787.3833172,708099970.45258670,2026-03-14 08:00:00+00:00
LINKUSDT,8693530.61,78056854.70491225,708099970.45258670,2026-03-14 09:00:00+00:00
LINKUSDT,8621567.52,77085435.19632,708099970.45258670,2026-03-14 10:00:00+00:00
LINKUSDT,8591797.34,76835077.25808902,708099970.45258670,2026-03-14 11:00:00+00:00
LINKUSDT,8593881.73,77238052.94729109,708099970.45258670,2026-03-14 12:00:00+00:00
LINKUSDT,8596423.78,77223716.46638775,708099970.45258670,2026-03-14 13:00:00+00:00
LINKUSDT,8600242.78,77429101.54383828,708099970.45258670,2026-03-14 14:00:00+00:00
LINKUSDT,8523865.49,76459073.4453,708099970.45258670,2026-03-14 15:00:00+00:00
LINKUSDT,8562746.32,77047591.38736,708099970.45258670,2026-03-14 16:00:00+00:00
LINKUSDT,8552584.77,77269212.04051115,708099970.45258670,2026-03-14 17:00:00+00:00
LINKUSDT,8525243.71,76776469.2986438,708099970.45258670,2026-03-14 18:00:00+00:00
LINKUSDT,8514368.43,76757031.39645,708099970.45258670,2026-03-14 19:00:00+00:00
LINKUSDT,8490065.53,76588881.14613,708099970.45258670,2026-03-14 20:00:00+00:00
LINKUSDT,8505748.59,76854256.93216875,708099970.45258670,2026-03-14 21:00:00+00:00
LINKUSDT,8499409.97,77210021.91655882,708099970.45258670,2026-03-14 22:00:00+00:00
LINKUSDT,8487728.04,77006789.70395605,708099970.45258670,2026-03-14 23:00:00+00:00
LINKUSDT,8628368.88,79053115.67856,708099970.45258670,2026-03-15 00:00:00+00:00
LINKUSDT,8622296.21,78790542.76698,708099970.45258670,2026-03-15 01:00:00+00:00
LINKUSDT,8572669.45,78323767.68243977,708099970.45258670,2026-03-15 02:00:00+00:00
LINKUSDT,8595389.66,79329244.9022064,708099970.45258670,2026-03-15 03:00:00+00:00
LINKUSDT,8590391.87,79050325.12825134,708099970.45258670,2026-03-15 04:00:00+00:00
LINKUSDT,8567235.17,78930139.55094296,708099970.45258670,2026-03-15 05:00:00+00:00
LINKUSDT,8582964.48,79121112.98866111,708099970.45258670,2026-03-15 06:00:00+00:00
LINKUSDT,8591151.05,79124501.1705,708099970.45258670,2026-03-15 07:00:00+00:00
LINKUSDT,8569820.2,78953753.5026,708099970.45258670,2026-03-15 08:00:00+00:00
LINKUSDT,8635969.27,79977711.40947,708099970.45258670,2026-03-15 09:00:00+00:00
LINKUSDT,8684027.01,80440142.19363,708099970.45258670,2026-03-15 10:00:00+00:00
LINKUSDT,8721862.33,80938882.4224,708099970.45258670,2026-03-15 11:00:00+00:00
LINKUSDT,8716099.9,80828900.4220263,708099970.45258670,2026-03-15 12:00:00+00:00
LINKUSDT,8671974.15,80207088.91335,708099970.45258670,2026-03-15 13:00:00+00:00
LINKUSDT,8587645.0,78973732.29390424,708099970.45258670,2026-03-15 14:00:00+00:00
LINKUSDT,8580702.92,78771966.66664605,708099970.45258670,2026-03-15 15:00:00+00:00
LINKUSDT,8610655.57,78801804.3808771,708099970.45258670,2026-03-15 16:00:00+00:00
LINKUSDT,8588317.45,78445691.5883,708099970.45258670,2026-03-15 17:00:00+00:00
LINKUSDT,8567514.06,78863966.9223,708099970.45258670,2026-03-15 18:00:00+00:00
LINKUSDT,8575516.73,78443445.90929192,708099970.45258670,2026-03-15 19:00:00+00:00
LINKUSDT,8583108.9,78904520.1177,708099970.45258670,2026-03-15 20:00:00+00:00
LINKUSDT,8584372.85,79348448.28340109,708099970.45258670,2026-03-15 21:00:00+00:00
LINKUSDT,8658456.98,80578433.78958842,708099970.45258670,2026-03-15 22:00:00+00:00
LINKUSDT,8748829.88,82912660.77276,708099970.45258670,2026-03-15 23:00:00+00:00
LINKUSDT,8916412.27,84637478.99927811,708099970.45258670,2026-03-16 00:00:00+00:00
LINKUSDT,8945815.3,84582250.0578324,708099970.45258670,2026-03-16 01:00:00+00:00
LINKUSDT,8982995.44,85462421.56792223,708099970.45258670,2026-03-16 02:00:00+00:00
LINKUSDT,8967842.77,85024117.30237,708099970.45258670,2026-03-16 03:00:00+00:00
LINKUSDT,9154724.07,88744238.95344849,708099970.45258670,2026-03-16 04:00:00+00:00
LINKUSDT,9325312.5,90909172.45344375,708099970.45258670,2026-03-16 05:00:00+00:00
LINKUSDT,9537739.66,93059725.86262,708099970.45258670,2026-03-16 06:00:00+00:00
LINKUSDT,9551591.48,92707746.90488,708099970.45258670,2026-03-16 07:00:00+00:00
LINKUSDT,9591187.37,92852284.92897,708099970.45258670,2026-03-16 08:00:00+00:00
LINKUSDT,9631205.03,92315713.14243811,708099970.45258670,2026-03-16 09:00:00+00:00
LINKUSDT,9615722.77,92685951.78003,708099970.45258670,2026-03-16 10:00:00+00:00
LINKUSDT,9606992.31,93370358.26089,708099970.45258670,2026-03-16 11:00:00+00:00
LINKUSDT,9611146.61,92814842.81277,708099970.45258670,2026-03-16 12:00:00+00:00
LINKUSDT,9628033.27,93391922.719,708099970.45258670,2026-03-16 13:00:00+00:00
LINKUSDT,9580921.19,93366076.99655,708099970.45258670,2026-03-16 14:00:00+00:00
LINKUSDT,9509128.11,92210566.62191781,708099970.45258670,2026-03-16 15:00:00+00:00
LINKUSDT,9506305.53,92349800.17857952,708099970.45258670,2026-03-16 16:00:00+00:00
LINKUSDT,9528495.17,93264910.72396,708099970.45258670,2026-03-16 17:00:00+00:00
LINKUSDT,9551592.76,93825155.36858235,708099970.45258670,2026-03-16 18:00:00+00:00
LINKUSDT,9514843.78,93768785.4519,708099970.45258670,2026-03-16 19:00:00+00:00
LINKUSDT,9532237.77,94607459.86725,708099970.45258670,2026-03-16 20:00:00+00:00
LINKUSDT,9552241.93,94949284.7842,708099970.45258670,2026-03-16 21:00:00+00:00
LINKUSDT,9492182.89,94703508.69353,708099970.45258670,2026-03-16 22:00:00+00:00
LINKUSDT,9477001.89,94514139.84897,708099970.45258670,2026-03-16 23:00:00+00:00
LINKUSDT,9431328.73,93530487.01541,708099970.45258670,2026-03-17 00:00:00+00:00
LINKUSDT,9361731.21,93158587.27071,708099970.45258670,2026-03-17 01:00:00+00:00
LINKUSDT,9356098.22,93139957.7801,708099970.45258670,2026-03-17 02:00:00+00:00
LINKUSDT,9319420.32,92327497.11024,708099970.45258670,2026-03-17 03:00:00+00:00
LINKUSDT,9238575.87,90779667.48397456,708099970.45258670,2026-03-17 04:00:00+00:00
LINKUSDT,9202191.21,89850194.97444,708099970.45258670,2026-03-17 05:00:00+00:00
LINKUSDT,9150507.98,88977826.8054363,708099970.45258670,2026-03-17 06:00:00+00:00
LINKUSDT,9127384.53,88944500.44095357,708099970.45258670,2026-03-17 07:00:00+00:00
LINKUSDT,9117740.88,89290036.43784,708099970.45258670,2026-03-17 08:00:00+00:00
LINKUSDT,9102813.86,88907182.97062,708099970.45258670,2026-03-17 09:00:00+00:00
LINKUSDT,9099097.57,88858910.09793226,708099970.45258670,2026-03-17 10:00:00+00:00
LINKUSDT,9092385.55,88618851.84035638,708099970.45258670,2026-03-17 11:00:00+00:00
LINKUSDT,9085519.1,88662794.18648165,708099970.45258670,2026-03-17 12:00:00+00:00
LINKUSDT,9095971.38,88482895.43773992,708099970.45258670,2026-03-17 13:00:00+00:00
LINKUSDT,9091429.06,88924070.13630313,708099970.45258670,2026-03-17 14:00:00+00:00
LINKUSDT,9019629.76,88951588.69312,708099970.45258670,2026-03-17 15:00:00+00:00
LINKUSDT,8967347.03,87870464.74814789,708099970.45258670,2026-03-17 16:00:00+00:00
LINKUSDT,8923107.65,87703861.55177,708099970.45258670,2026-03-17 17:00:00+00:00
LINKUSDT,8888212.87,87788878.51699,708099970.45258670,2026-03-17 18:00:00+00:00
LINKUSDT,8861260.6,87593561.031,708099970.45258670,2026-03-17 19:00:00+00:00
LINKUSDT,8864038.33,86885390.57823564,708099970.45258670,2026-03-17 20:00:00+00:00
LINKUSDT,8861993.61,87157707.15435,708099970.45258670,2026-03-17 21:00:00+00:00
LINKUSDT,8862900.78,87581006.1206582,708099970.45258670,2026-03-17 22:00:00+00:00
LINKUSDT,8827922.85,86938046.05617607,708099970.45258670,2026-03-17 23:00:00+00:00
LINKUSDT,8841465.22,86531420.10814,708099970.45258670,2026-03-18 00:00:00+00:00
LINKUSDT,8817432.84,86517934.31525554,708099970.45258670,2026-03-18 01:00:00+00:00
LINKUSDT,8815331.3,86390246.74,708099970.45258670,2026-03-18 02:00:00+00:00
LINKUSDT,8810165.1,86727265.2444,708099970.45258670,2026-03-18 03:00:00+00:00
LINKUSDT,8806216.55,87049450.59675,708099970.45258670,2026-03-18 04:00:00+00:00
LINKUSDT,8781897.57,86369812.9574154,708099970.45258670,2026-03-18 05:00:00+00:00
LINKUSDT,8781633.16,85989751.90272,708099970.45258670,2026-03-18 06:00:00+00:00
LINKUSDT,8769935.14,86015523.85312,708099970.45258670,2026-03-18 07:00:00+00:00
LINKUSDT,8775805.13,86073096.71504,708099970.45258670,2026-03-18 08:00:00+00:00
LINKUSDT,8773887.8,86384017.0535681,708099970.45258670,2026-03-18 09:00:00+00:00
LINKUSDT,8759779.18,86102306.70598346,708099970.45258670,2026-03-18 10:00:00+00:00
LINKUSDT,8721849.94,85061827.94117384,708099970.45258670,2026-03-18 11:00:00+00:00
LINKUSDT,8600197.46,82155195.11618176,708099970.45258670,2026-03-18 12:00:00+00:00
LINKUSDT,8610521.08,80759496.48150961,708099970.45258670,2026-03-18 13:00:00+00:00
LINKUSDT,8643531.73,81154119.41297,708099970.45258670,2026-03-18 14:00:00+00:00
LINKUSDT,8650064.59,79545993.96964,708099970.45258670,2026-03-18 15:00:00+00:00
LINKUSDT,8614948.38,79266140.04438,708099970.45258670,2026-03-18 16:00:00+00:00
LINKUSDT,8656082.56,79081970.26816,708099970.45258670,2026-03-18 17:00:00+00:00
LINKUSDT,8646659.49,79748140.47627,708099970.45258670,2026-03-18 18:00:00+00:00
LINKUSDT,8607188.94,78988172.90238,708099970.45258670,2026-03-18 19:00:00+00:00
LINKUSDT,8618735.28,78973471.37064,708099970.45258670,2026-03-18 20:00:00+00:00
LINKUSDT,8660258.82,79841936.19434066,708099970.45258670,2026-03-18 21:00:00+00:00
LINKUSDT,8646516.43,79885165.29677,708099970.45258670,2026-03-18 22:00:00+00:00
LINKUSDT,8659222.76,79736960.45500953,708099970.45258670,2026-03-18 23:00:00+00:00
LINKUSDT,8632202.17,79606168.41174,708099970.45258670,2026-03-19 00:00:00+00:00
LINKUSDT,8613561.77,79295558.58165489,708099970.45258670,2026-03-19 01:00:00+00:00
LINKUSDT,8636608.05,79448180.25259525,708099970.45258670,2026-03-19 02:00:00+00:00
LINKUSDT,8670037.53,79651634.78811,708099970.45258670,2026-03-19 03:00:00+00:00
LINKUSDT,8640231.59,79946283.27376941,708099970.45258670,2026-03-19 04:00:00+00:00
LINKUSDT,8644686.07,79358218.1226,708099970.45258670,2026-03-19 05:00:00+00:00
LINKUSDT,8621627.67,79024776.8662585,708099970.45258670,2026-03-19 06:00:00+00:00
LINKUSDT,8626248.9,78956056.1817,708099970.45258670,2026-03-19 07:00:00+00:00
LINKUSDT,8622355.48,78403311.8730264,708099970.45258670,2026-03-19 08:00:00+00:00
LINKUSDT,8640394.31,78497982.30635,708099970.45258670,2026-03-19 09:00:00+00:00
LINKUSDT,8616279.92,78938852.64448494,708099970.45258670,2026-03-19 10:00:00+00:00
LINKUSDT,8638909.5,78814782.24746431,708099970.45258670,2026-03-19 11:00:00+00:00
LINKUSDT,8630383.04,78450323.80340101,708099970.45258670,2026-03-19 12:00:00+00:00
LINKUSDT,8642889.76,77362506.24176,708099970.45258670,2026-03-19 13:00:00+00:00
LINKUSDT,8605553.2,77325664.78563897,708099970.45258670,2026-03-19 14:00:00+00:00
LINKUSDT,8625461.23,77173184.95183614,708099970.45258670,2026-03-19 15:00:00+00:00
LINKUSDT,8634496.11,77347816.15338,708099970.45258670,2026-03-19 16:00:00+00:00
LINKUSDT,8669595.26,77456857.34930347,708099970.45258670,2026-03-19 17:00:00+00:00
LINKUSDT,8676179.18,78024879.36574,708099970.45258670,2026-03-19 18:00:00+00:00
LINKUSDT,8811710.9,79196638.14834301,708099970.45258670,2026-03-19 19:00:00+00:00
LINKUSDT,8831446.15,79725021.61424476,708099970.45258670,2026-03-19 20:00:00+00:00
LINKUSDT,8851511.68,80106180.704,708099970.45258670,2026-03-19 21:00:00+00:00
LINKUSDT,8840517.26,80259454.4884031,708099970.45258670,2026-03-19 22:00:00+00:00
LINKUSDT,8841063.92,79958582.09248,708099970.45258670,2026-03-19 23:00:00+00:00
LINKUSDT,8837216.24,79897272.02584,708099970.45258670,2026-03-20 00:00:00+00:00
LINKUSDT,8849454.03,80291096.41419,708099970.45258670,2026-03-20 01:00:00+00:00
LINKUSDT,8835390.31,80516911.89503,708099970.45258670,2026-03-20 02:00:00+00:00
LINKUSDT,8803786.59,80031704.13581131,708099970.45258670,2026-03-20 03:00:00+00:00
LINKUSDT,8787836.05,80101125.59575,708099970.45258670,2026-03-20 04:00:00+00:00
LINKUSDT,8779661.33,80109423.22759762,708099970.45258670,2026-03-20 05:00:00+00:00
LINKUSDT,8770427.2,79941462.2540835,708099970.45258670,2026-03-20 06:00:00+00:00
LINKUSDT,8745373.25,79367156.52502708,708099970.45258670,2026-03-20 07:00:00+00:00
LINKUSDT,8708544.93,79341506.6104278,708099970.45258670,2026-03-20 08:00:00+00:00
LINKUSDT,8675793.36,79365176.42505099,708099970.45258670,2026-03-20 09:00:00+00:00
LINKUSDT,8654264.43,78694876.051333,708099970.45258670,2026-03-20 10:00:00+00:00
LINKUSDT,8666661.24,78853305.20566875,708099970.45258670,2026-03-20 11:00:00+00:00
LINKUSDT,8604123.72,78142651.62504,708099970.45258670,2026-03-20 12:00:00+00:00
LINKUSDT,8581480.86,77819216.4174581,708099970.45258670,2026-03-20 13:00:00+00:00
LINKUSDT,8538380.18,76947882.18216,708099970.45258670,2026-03-20 14:00:00+00:00
LINKUSDT,8559112.32,77012209.54482992,708099970.45258670,2026-03-20 15:00:00+00:00
LINKUSDT,8592115.57,77533973.94346398,708099970.45258670,2026-03-20 16:00:00+00:00
LINKUSDT,8589427.25,77493812.6495,708099970.45258670,2026-03-20 17:00:00+00:00
LINKUSDT,8572603.83,77453475.60405,708099970.45258670,2026-03-20 18:00:00+00:00
LINKUSDT,8599044.09,77342726.39243148,708099970.45258670,2026-03-20 19:00:00+00:00
LINKUSDT,8587911.48,77591780.2218,708099970.45258670,2026-03-20 20:00:00+00:00
LINKUSDT,8567737.12,77298124.29664,708099970.45258670,2026-03-20 21:00:00+00:00
LINKUSDT,8544164.73,77726266.54881,708099970.45258670,2026-03-20 22:00:00+00:00
LINKUSDT,8533371.01,77909677.3213,708099970.45258670,2026-03-20 23:00:00+00:00
LINKUSDT,8550078.17,77905017.34141563,708099970.45258670,2026-03-21 00:00:00+00:00
LINKUSDT,8520674.37,77785236.32373,708099970.45258670,2026-03-21 01:00:00+00:00
LINKUSDT,8505743.96,77597902.14708,708099970.45258670,2026-03-21 02:00:00+00:00
LINKUSDT,8479187.13,77593041.42663,708099970.45258670,2026-03-21 03:00:00+00:00
LINKUSDT,8478366.38,77361389.78228155,708099970.45258670,2026-03-21 04:00:00+00:00
LINKUSDT,8501006.02,77376156.79404,708099970.45258670,2026-03-21 05:00:00+00:00
LINKUSDT,8500342.35,77463619.83555,708099970.45258670,2026-03-21 06:00:00+00:00
LINKUSDT,8499095.38,77545746.24712,708099970.45258670,2026-03-21 07:00:00+00:00
LINKUSDT,8476516.58,77322784.24276,708099970.45258670,2026-03-21 08:00:00+00:00
LINKUSDT,8491771.32,77512888.60896,708099970.45258670,2026-03-21 09:00:00+00:00
LINKUSDT,8482410.66,77495303.78976,708099970.45258670,2026-03-21 10:00:00+00:00
LINKUSDT,8527481.56,77565972.26976,708099970.45258670,2026-03-21 11:00:00+00:00
LINKUSDT,8524144.46,77590982.07070337,708099970.45258670,2026-03-21 12:00:00+00:00
LINKUSDT,8536535.37,77682471.867,708099970.45258670,2026-03-21 13:00:00+00:00
LINKUSDT,8536100.1,77625955.25137731,708099970.45258670,2026-03-21 14:00:00+00:00
LINKUSDT,8603110.69,77986398.31555583,708099970.45258670,2026-03-21 15:00:00+00:00
LINKUSDT,8595720.92,78253029.49128845,708099970.45258670,2026-03-21 16:00:00+00:00
LINKUSDT,8579798.99,77750138.44738,708099970.45258670,2026-03-21 17:00:00+00:00
LINKUSDT,8590682.92,77929290.29474477,708099970.45258670,2026-03-21 18:00:00+00:00
LINKUSDT,8625524.88,78120411.3130342,708099970.45258670,2026-03-21 19:00:00+00:00
LINKUSDT,8623634.28,78190088.86185741,708099970.45258670,2026-03-21 20:00:00+00:00
LINKUSDT,8572095.38,77989221.47611254,708099970.45258670,2026-03-21 21:00:00+00:00
LINKUSDT,8551747.64,77658420.31884,708099970.45258670,2026-03-21 22:00:00+00:00
LINKUSDT,8553389.69,77617453.07878251,708099970.45258670,2026-03-21 23:00:00+00:00
LINKUSDT,8533457.94,75283290.57110192,708099970.45258670,2026-03-22 00:00:00+00:00
LINKUSDT,8592418.45,76057286.56136438,708099970.45258670,2026-03-22 01:00:00+00:00
LINKUSDT,8606508.19,76106351.07333258,708099970.45258670,2026-03-22 02:00:00+00:00
LINKUSDT,8649350.41,76892725.1449,708099970.45258670,2026-03-22 03:00:00+00:00
LINKUSDT,8680486.72,77274297.20373031,708099970.45258670,2026-03-22 04:00:00+00:00
LINKUSDT,8692731.74,77591323.51124,708099970.45258670,2026-03-22 05:00:00+00:00
LINKUSDT,8711690.44,77451295.18201756,708099970.45258670,2026-03-22 06:00:00+00:00
LINKUSDT,8709504.48,77365607.26574124,708099970.45258670,2026-03-22 07:00:00+00:00
LINKUSDT,8723125.85,77086263.13645,708099970.45258670,2026-03-22 08:00:00+00:00
LINKUSDT,8691810.5,76705227.6625,708099970.45258670,2026-03-22 09:00:00+00:00
LINKUSDT,8691715.0,76660926.3,708099970.45258670,2026-03-22 10:00:00+00:00
LINKUSDT,8701544.66,76324114.15360922,708099970.45258670,2026-03-22 11:00:00+00:00
LINKUSDT,8686934.25,76010674.6875,708099970.45258670,2026-03-22 12:00:00+00:00
LINKUSDT,8694556.12,76411297.9538464,708099970.45258670,2026-03-22 13:00:00+00:00
LINKUSDT,8686175.58,76348950.45940088,708099970.45258670,2026-03-22 14:00:00+00:00
LINKUSDT,8705816.83,76328418.47222051,708099970.45258670,2026-03-22 15:00:00+00:00
LINKUSDT,8711289.84,76628337.18058902,708099970.45258670,2026-03-22 16:00:00+00:00
LINKUSDT,8722253.27,76583733.57285348,708099970.45258670,2026-03-22 17:00:00+00:00
LINKUSDT,8705394.8,76302785.422,708099970.45258670,2026-03-22 18:00:00+00:00
LINKUSDT,8739759.46,76577772.38852,708099970.45258670,2026-03-22 19:00:00+00:00
LINKUSDT,8771215.93,76335892.23879,708099970.45258670,2026-03-22 20:00:00+00:00
LINKUSDT,8729446.6,75876349.8472,708099970.45258670,2026-03-22 21:00:00+00:00
LINKUSDT,8597223.44,74408968.8732,708099970.45258670,2026-03-22 22:00:00+00:00
LINKUSDT,8607966.02,75061463.6944,708099970.45258670,2026-03-22 23:00:00+00:00
LINKUSDT,8610359.03,74775479.93270428,708099970.45258670,2026-03-23 00:00:00+00:00
LINKUSDT,8623054.39,74761881.5613,708099970.45258670,2026-03-23 01:00:00+00:00
LINKUSDT,8657974.23,75185848.21332,708099970.45258670,2026-03-23 02:00:00+00:00
LINKUSDT,8674021.46,75792976.11555767,708099970.45255670,2026-03-23 03:00:00+00:00
LINKUSDT,8705208.09,75735310.383,708099970.45255670,2026-03-23 04:00:00+00:00
LINKUSDT,8729420.15,76399885.1528,708099970.45255670,2026-03-23 05:00:00+00:00
LINKUSDT,8719323.88,76377717.17605303,708099970.45255670,2026-03-23 06:00:00+00:00
LINKUSDT,8698713.25,75113150.22105841,708099970.45255670,2026-03-23 07:00:00+00:00
LINKUSDT,8700566.61,75190296.64362,708099970.45255670,2026-03-23 08:00:00+00:00
LINKUSDT,8723109.93,75324054.24555,708099970.45255670,2026-03-23 09:00:00+00:00
LINKUSDT,8773811.15,75832049.76945,708099970.45255670,2026-03-23 10:00:00+00:00
LINKUSDT,8773657.17,75909681.83484,708099970.45255670,2026-03-23 11:00:00+00:00
LINKUSDT,8669127.5,77770742.8025,708099970.45255670,2026-03-23 12:00:00+00:00
LINKUSDT,8657609.66,78195530.44912,708099970.45255670,2026-03-23 13:00:00+00:00
LINKUSDT,8831458.63,80922655.42669,708099970.45255670,2026-03-23 14:00:00+00:00
LINKUSDT,8770197.48,80966329.56525238,708099970.45255670,2026-03-23 15:00:00+00:00
LINKUSDT,8923320.21,80716791.80559975,708099970.45255670,2026-03-23 16:00:00+00:00
LINKUSDT,8986851.26,81370154.58130312,708099970.45255670,2026-03-23 17:00:00+00:00
LINKUSDT,8994371.61,82098613.00453173,708099970.45255670,2026-03-23 18:00:00+00:00
LINKUSDT,8948389.39,82083575.87447,708099970.45255670,2026-03-23 19:00:00+00:00
LINKUSDT,8918828.8,81366475.1424,708099970.45255670,2026-03-23 20:00:00+00:00
LINKUSDT,8915903.99,81661203.48520438,708099970.45255670,2026-03-23 21:00:00+00:00
LINKUSDT,8906473.24,81378445.99388,708099970.45255670,2026-03-23 22:00:00+00:00
LINKUSDT,8915477.85,81217204.37753855,708099970.45255670,2026-03-23 23:00:00+00:00
LINKUSDT,8903808.94,81060276.58976,708099970.45255670,2026-03-24 00:00:00+00:00
LINKUSDT,8871729.25,80418218.73473424,708099970.45255670,2026-03-24 01:00:00+00:00
LINKUSDT,8854097.81,80103022.88707,708099970.45255670,2026-03-24 02:00:00+00:00
LINKUSDT,8863600.0,80206716.4,708099970.45255670,2026-03-24 03:00:00+00:00
LINKUSDT,8864151.44,80521951.68096,708099970.45255670,2026-03-24 04:00:00+00:00
LINKUSDT,8827331.05,79940309.9888,708099970.45255670,2026-03-24 05:00:00+00:00
LINKUSDT,8833669.22,80218550.18682,708099970.45255670,2026-03-24 06:00:00+00:00
LINKUSDT,8875470.75,81068549.8305,708099970.45255670,2026-03-24 07:00:00+00:00
LINKUSDT,8877331.49,82035420.29909,708099970.45255670,2026-03-24 08:00:00+00:00
LINKUSDT,8876185.36,81686079.0612995,708099970.45255670,2026-03-24 09:00:00+00:00
LINKUSDT,8872758.58,82046398.58926,708099970.45255670,2026-03-24 10:00:00+00:00
LINKUSDT,8863451.22,81827381.66304,708099970.45255670,2026-03-24 11:00:00+00:00
LINKUSDT,8821840.71,81541128.69533162,708099970.45255670,2026-03-24 12:00:00+00:00
LINKUSDT,8761360.07,80756404.83898956,708099970.45255670,2026-03-24 13:00:00+00:00
LINKUSDT,8672847.8,79064249.87596075,708099970.45255670,2026-03-24 14:00:00+00:00
LINKUSDT,8651327.61,78856851.16515,708099970.45255670,2026-03-24 15:00:00+00:00
LINKUSDT,8649803.15,78825656.10595,708099970.45255670,2026-03-24 16:00:00+00:00
LINKUSDT,8650658.36,78643135.15076,708099970.45255670,2026-03-24 17:00:00+00:00
LINKUSDT,8585878.3,77667855.1018,708099970.45255670,2026-03-24 18:00:00+00:00
LINKUSDT,8598903.01,77958321.70556648,708099970.45255670,2026-03-24 19:00:00+00:00
LINKUSDT,8613794.74,78006354.3538903,708099970.45255670,2026-03-24 20:00:00+00:00
LINKUSDT,8621502.05,79309197.35795,708099970.45255670,2026-03-24 21:00:00+00:00
LINKUSDT,8660613.97,79815493.28091843,708099970.45255670,2026-03-24 22:00:00+00:00
LINKUSDT,8683914.35,79857276.3626,708099970.45255670,2026-03-24 23:00:00+00:00
LINKUSDT,8684974.27,80301272.10042,708099970.45255670,2026-03-25 00:00:00+00:00
LINKUSDT,8692828.37,80561514.42178129,708099970.45255670,2026-03-25 01:00:00+00:00
LINKUSDT,8697357.96,80379235.05407941,708099970.45255670,2026-03-25 02:00:00+00:00
LINKUSDT,8609117.47,79295926.56698048,708099970.45255670,2026-03-25 03:00:00+00:00
LINKUSDT,8551450.27,79006849.04453,708099970.45255670,2026-03-25 04:00:00+00:00
LINKUSDT,8560380.65,79320487.1029,708099970.45255670,2026-03-25 05:00:00+00:00
LINKUSDT,8601460.11,79991754.22323766,708099970.45255670,2026-03-25 06:00:00+00:00
LINKUSDT,8628718.16,80283850.68816192,708099970.45255670,2026-03-25 07:00:00+00:00
LINKUSDT,8614569.51,79977663.33084,708099970.45255670,2026-03-25 08:00:00+00:00
LINKUSDT,8675462.03,81217677.99972759,708099970.45255670,2026-03-25 09:00:00+00:00
LINKUSDT,8705224.65,81698533.34025,708099970.45255670,2026-03-25 10:00:00+00:00
LINKUSDT,8708890.52,81675231.028192,708099970.45255670,2026-03-25 11:00:00+00:00
LINKUSDT,8705393.58,81943869.76854,708099970.45255670,2026-03-25 12:00:00+00:00
LINKUSDT,8669168.88,81759176.09115073,708099970.45255670,2026-03-25 13:00:00+00:00
LINKUSDT,8676548.61,81915295.42701,708099970.45255670,2026-03-25 14:00:00+00:00
LINKUSDT,8670961.44,81455011.76736,708099970.45255670,2026-03-25 15:00:00+00:00
LINKUSDT,8628970.26,80793048.54438,708099970.45255670,2026-03-25 16:00:00+00:00
LINKUSDT,8614650.72,81158624.43312,708099970.45255670,2026-03-25 17:00:00+00:00
LINKUSDT,8659821.48,80930420.09513499,708099970.45255670,2026-03-25 18:00:00+00:00
LINKUSDT,8674898.38,80858727.79998,708099970.45255670,2026-03-25 19:00:00+00:00
LINKUSDT,8675204.32,81067139.56085896,708099970.45255670,2026-03-25 20:00:00+00:00
