symbol,sumOpenInterest,sumOpenInterestValue,CMCCirculatingSupply,timestamp
LINKUSDT,8688516.58,81367957.7717,708099970.45255670,2026-03-25 22:40:00+00:00
LINKUSDT,8675983.77,81390221.45784032,708099970.45255670,2026-03-25 22:45:00+00:00
LINKUSDT,8673406.42,81365225.62602,708099970.45255670,2026-03-25 22:50:00+00:00
LINKUSDT,8673634.99,81297980.76127,708099970.45255670,2026-03-25 22:55:00+00:00
LINKUSDT,8682345.35,81427535.96742326,708099970.45255670,2026-03-25 23:00:00+00:00
LINKUSDT,8675548.8,81385323.2928,708099970.45255670,2026-03-25 23:05:00+00:00
LINKUSDT,8676570.32,81407219.96051814,708099970.45255670,2026-03-25 23:10:00+00:00
LINKUSDT,8676718.77,81346570.51045382,708099970.45255670,2026-03-25 23:15:00+00:00
LINKUSDT,8677454.74,81346050.85610957,708099970.45255670,2026-03-25 23:20:00+00:00
LINKUSDT,8679314.81,81411972.9178,708099970.45255670,2026-03-25 23:25:00+00:00
LINKUSDT,8678543.3,81439450.3272,708099970.45255670,2026-03-25 23:30:00+00:00
LINKUSDT,8678852.39,81410595.51438466,708099970.45255670,2026-03-25 23:35:00+00:00
LINKUSDT,8679158.49,81306356.73432,708099970.45255670,2026-03-25 23:40:00+00:00
LINKUSDT,8677990.58,81235666.57337801,708099970.45255670,2026-03-25 23:45:00+00:00
LINKUSDT,8676451.83,81202912.67697,708099970.45255670,2026-03-25 23:50:00+00:00
LINKUSDT,8681113.05,81384465.85791136,708099970.45255670,2026-03-25 23:55:00+00:00
LINKUSDT,8685959.95,81405182.33031389,708099970.45255670,2026-03-26 00:00:00+00:00
LINKUSDT,8688818.15,81355903.32943812,708099970.45255670,2026-03-26 00:05:00+00:00
LINKUSDT,8685173.68,81290509.70413853,708099970.45255670,2026-03-26 00:10:00+00:00
LINKUSDT,8686755.38,81341167.54881299,708099970.45255670,2026-03-26 00:15:00+00:00
LINKUSDT,8686753.93,81318697.49622709,708099970.45255670,2026-03-26 00:20:00+00:00
LINKUSDT,8688659.29,81388177.48785815,708099970.45255670,2026-03-26 00:25:00+00:00
LINKUSDT,8687488.7,81358331.6755,708099970.45255670,2026-03-26 00:30:00+00:00
LINKUSDT,8689269.13,81393901.60845624,708099970.45255670,2026-03-26 00:35:00+00:00
LINKUSDT,8685720.63,81331077.23499416,708099970.45255670,2026-03-26 00:40:00+00:00
LINKUSDT,8683829.77,81353503.63161711,708099970.45255670,2026-03-26 00:45:00+00:00
LINKUSDT,8681768.66,81425712.08508612,708099970.45255670,2026-03-26 00:50:00+00:00
LINKUSDT,8686760.99,81269421.82854074,708099970.45255670,2026-03-26 00:55:00+00:00
LINKUSDT,8687038.53,81415293.69420482,708099970.45255670,2026-03-26 01:00:00+00:00
LINKUSDT,8684365.47,81389873.18484,708099970.45255670,2026-03-26 01:05:00+00:00
LINKUSDT,8683024.27,81264424.14293,708099970.45255670,2026-03-26 01:10:00+00:00
LINKUSDT,8678625.55,81205899.27135,708099970.45255670,2026-03-26 01:15:00+00:00
LINKUSDT,8678903.64,81104354.5158,708099970.45255670,2026-03-26 01:20:00+00:00
LINKUSDT,8677999.54,81174007.69716,708099970.45255670,2026-03-26 01:25:00+00:00
LINKUSDT,8678285.47,81316930.23542072,708099970.45255670,2026-03-26 01:30:00+00:00
LINKUSDT,8677403.24,81289913.55232,708099970.45255670,2026-03-26 01:35:00+00:00
