buySellRatio,sellVol,buyVol,timestamp
0.9845,606859.64,597463.31,2026-03-13 16:00:00+00:00
0.7501,618139.91,463696.02,2026-03-13 17:00:00+00:00
1.2562,275876.15,346551.88,2026-03-13 18:00:00+00:00
2.3229,177638.59,412638.26,2026-03-13 19:00:00+00:00
1.066,150115.5,160016.33,2026-03-13 20:00:00+00:00
0.4908,331945.81,162902.55,2026-03-13 21:00:00+00:00
0.5219,717149.8,374278.94,2026-03-13 22:00:00+00:00
1.0667,163708.83,174632.06,2026-03-13 23:00:00+00:00
0.9765,222296.82,217083.78,2026-03-14 00:00:00+00:00
1.0399,204611.03,212771.28,2026-03-14 01:00:00+00:00
0.9323,141153.85,131599.22,2026-03-14 02:00:00+00:00
1.3324,173964.51,231783.92,2026-03-14 03:00:00+00:00
0.7114,230085.34,163675.44,2026-03-14 04:00:00+00:00
0.5966,269586.93,160824.31,2026-03-14 05:00:00+00:00
0.6072,521387.39,316605.28,2026-03-14 06:00:00+00:00
0.6359,282167.28,179428.12,2026-03-14 07:00:00+00:00
0.8873,183631.94,162930.79,2026-03-14 08:00:00+00:00
0.6575,409972.02,269566.63,2026-03-14 09:00:00+00:00
0.7401,211527.37,156542.08,2026-03-14 10:00:00+00:00
1.2848,91613.17,117704.16,2026-03-14 11:00:00+00:00
0.9535,164144.97,156515.38,2026-03-14 12:00:00+00:00
0.8884,170707.3,151661.73,2026-03-14 13:00:00+00:00
0.6073,270145.36,164053.09,2026-03-14 14:00:00+00:00
1.1836,279122.02,330360.58,2026-03-14 15:00:00+00:00
1.3013,171500.51,223182.17,2026-03-14 16:00:00+00:00
1.0109,158187.76,159916.12,2026-03-14 17:00:00+00:00
1.0943,152827.71,167236.3,2026-03-14 18:00:00+00:00
1.4247,72080.77,102693.53,2026-03-14 19:00:00+00:00
1.2241,103018.17,126103.65,2026-03-14 20:00:00+00:00
1.9227,139270.66,267780.14,2026-03-14 21:00:00+00:00
1.2905,133694.06,172528.89,2026-03-14 22:00:00+00:00
2.3545,221073.85,520522.49,2026-03-14 23:00:00+00:00
0.9736,364608.15,354973.55,2026-03-15 00:00:00+00:00
0.7474,193592.8,144683.42,2026-03-15 01:00:00+00:00
1.1303,316920.54,358206.47,2026-03-15 02:00:00+00:00
0.7135,149193.38,106450.08,2026-03-15 03:00:00+00:00
0.946,185423.87,175412.71,2026-03-15 04:00:00+00:00
