buySellRatio,sellVol,buyVol,timestamp
1.635,10970.09,17935.61,2026-03-25 22:35:00+00:00
0.9937,42407.79,42141.77,2026-03-25 22:40:00+00:00
1.4242,9625.68,13709.16,2026-03-25 22:45:00+00:00
1.2609,6531.04,8235.03,2026-03-25 22:50:00+00:00
1.2002,11629.93,13958.04,2026-03-25 22:55:00+00:00
2.1443,9986.74,21414.92,2026-03-25 23:00:00+00:00
1.1095,3875.23,4299.49,2026-03-25 23:05:00+00:00
0.7232,9459.27,6841.02,2026-03-25 23:10:00+00:00
1.0011,7838.76,7847.14,2026-03-25 23:15:00+00:00
2.103,7090.94,14912.53,2026-03-25 23:20:00+00:00
1.0339,11405.02,11791.85,2026-03-25 23:25:00+00:00
0.8659,9474.6,8203.74,2026-03-25 23:30:00+00:00
0.6331,6145.98,3891.14,2026-03-25 23:35:00+00:00
0.5806,10245.91,5949.09,2026-03-25 23:40:00+00:00
1.3659,7212.99,9852.07,2026-03-25 23:45:00+00:00
5.8959,2339.9,13795.79,2026-03-25 23:50:00+00:00
2.0133,8123.65,16355.1,2026-03-25 23:55:00+00:00
1.1997,24797.85,29750.93,2026-03-26 00:00:00+00:00
1.3407,14164.94,18990.32,2026-03-26 00:05:00+00:00
1.275,6315.81,8052.91,2026-03-26 00:10:00+00:00
1.4071,13397.54,18852.0,2026-03-26 00:15:00+00:00
0.6736,19297.12,12998.65,2026-03-26 00:20:00+00:00
1.0399,5342.36,5555.28,2026-03-26 00:25:00+00:00
0.4819,18628.06,8977.77,2026-03-26 00:30:00+00:00
1.8275,6006.03,10976.29,2026-03-26 00:35:00+00:00
2.3347,3220.59,7518.98,2026-03-26 00:40:00+00:00
0.6583,12284.48,8087.2,2026-03-26 00:45:00+00:00
2.1797,6603.5,14393.57,2026-03-26 00:50:00+00:00
1.3469,7827.64,10543.28,2026-03-26 00:55:00+00:00
1.6605,9248.48,15357.13,2026-03-26 01:00:00+00:00
0.6723,11898.4,7998.75,2026-03-26 01:05:00+00:00
0.543,10420.98,5658.98,2026-03-26 01:10:00+00:00
1.1652,8883.89,10351.91,2026-03-26 01:15:00+00:00
1.5714,3676.09,5776.58,2026-03-26 01:20:00+00:00
0.9121,9191.22,8383.24,2026-03-26 01:25:00+00:00
1.2154,10317.0,12539.59,2026-03-26 01:30:00+00:00
0.4809,17483.25,8407.67,2026-03-26 01:35:00+00:00
0.8148,11095.42,9040.27,2026-03-26 01:40:00+00:00
0.8097,6632.19,5370.1,2026-03-26 01:45:00+00:00
1.2072,7077.57,8543.82,2026-03-26 01:50:00+00:00
1.2005,2845.58,3416.15,2026-03-26 01:55:00+00:00
0.7762,9682.36,7515.77,2026-03-26 02:00:00+00:00
0.5934,34160.08,20271.48,2026-03-26 02:05:00+00:00
1.0506,10022.58,10529.94,2026-03-26 02:10:00+00:00
0.437,32669.09,14276.74,2026-03-26 02:15:00+00:00
0.6218,34758.99,21613.71,2026-03-26 02:20:00+00:00
0.6102,12609.79,7694.23,2026-03-26 02:25:00+00:00
0.5928,97904.84,58038.29,2026-03-26 02:30:00+00:00
0.8151,39141.95,31904.64,2026-03-26 02:35:00+00:00
0.9283,13524.65,12555.49,2026-03-26 02:40:00+00:00
2.8363,4500.29,12764.21,2026-03-26 02:45:00+00:00
0.6749,8124.33,5482.93,2026-03-26 02:50:00+00:00
