symbol,longAccount,longShortRatio,shortAccount,timestamp
LINKUSDT,0.6423,1.7953,0.3577,2026-03-13 17:00:00+00:00
LINKUSDT,0.6513,1.8676,0.3487,2026-03-13 18:00:00+00:00
LINKUSDT,0.6536,1.8872,0.3464,2026-03-13 19:00:00+00:00
LINKUSDT,0.6393,1.7725,0.3607,2026-03-13 20:00:00+00:00
LINKUSDT,0.6388,1.7683,0.3612,2026-03-13 21:00:00+00:00
LINKUSDT,0.6357,1.7452,0.3643,2026-03-13 22:00:00+00:00
LINKUSDT,0.6559,1.906,0.3441,2026-03-13 23:00:00+00:00
LINKUSDT,0.6572,1.9173,0.3428,2026-03-14 00:00:00+00:00
LINKUSDT,0.6586,1.9288,0.3414,2026-03-14 01:00:00+00:00
LINKUSDT,0.6613,1.9526,0.3387,2026-03-14 02:00:00+00:00
LINKUSDT,0.6592,1.9343,0.3408,2026-03-14 03:00:00+00:00
LINKUSDT,0.66,1.9411,0.34,2026-03-14 04:00:00+00:00
LINKUSDT,0.659,1.9324,0.341,2026-03-14 05:00:00+00:00
LINKUSDT,0.6587,1.9298,0.3413,2026-03-14 06:00:00+00:00
LINKUSDT,0.6521,1.8746,0.3479,2026-03-14 07:00:00+00:00
LINKUSDT,0.647,1.8328,0.353,2026-03-14 08:00:00+00:00
LINKUSDT,0.6429,1.8004,0.3571,2026-03-14 09:00:00+00:00
LINKUSDT,0.6445,1.8127,0.3555,2026-03-14 10:00:00+00:00
LINKUSDT,0.6435,1.8049,0.3565,2026-03-14 11:00:00+00:00
LINKUSDT,0.6422,1.7947,0.3578,2026-03-14 12:00:00+00:00
LINKUSDT,0.6405,1.7815,0.3595,2026-03-14 13:00:00+00:00
LINKUSDT,0.6402,1.7796,0.3598,2026-03-14 14:00:00+00:00
LINKUSDT,0.6385,1.7664,0.3615,2026-03-14 15:00:00+00:00
LINKUSDT,0.6372,1.7564,0.3628,2026-03-14 16:00:00+00:00
LINKUSDT,0.6338,1.7304,0.3662,2026-03-14 17:00:00+00:00
LINKUSDT,0.6334,1.7278,0.3666,2026-03-14 18:00:00+00:00
LINKUSDT,0.6323,1.7195,0.3677,2026-03-14 19:00:00+00:00
LINKUSDT,0.633,1.7246,0.367,2026-03-14 20:00:00+00:00
LINKUSDT,0.6291,1.696,0.3709,2026-03-14 21:00:00+00:00
LINKUSDT,0.6293,1.6974,0.3707,2026-03-14 22:00:00+00:00
LINKUSDT,0.6321,1.7184,0.3679,2026-03-14 23:00:00+00:00
LINKUSDT,0.6154,1.5999,0.3846,2026-03-15 00:00:00+00:00
LINKUSDT,0.6168,1.6098,0.3832,2026-03-15 01:00:00+00:00
LINKUSDT,0.6177,1.6156,0.3823,2026-03-15 02:00:00+00:00
LINKUSDT,0.6276,1.685,0.3724,2026-03-15 03:00:00+00:00
LINKUSDT,0.629,1.6953,0.371,2026-03-15 04:00:00+00:00
LINKUSDT,0.6289,1.6947,0.3711,2026-03-15 05:00:00+00:00
LINKUSDT,0.6278,1.6869,0.3722,2026-03-15 06:00:00+00:00
LINKUSDT,0.6292,1.6971,0.3708,2026-03-15 07:00:00+00:00
LINKUSDT,0.6325,1.7212,0.3675,2026-03-15 08:00:00+00:00
LINKUSDT,0.633,1.7251,0.367,2026-03-15 09:00:00+00:00
LINKUSDT,0.6319,1.7163,0.3681,2026-03-15 10:00:00+00:00
LINKUSDT,0.6316,1.7147,0.3684,2026-03-15 11:00:00+00:00
LINKUSDT,0.6324,1.7202,0.3676,2026-03-15 12:00:00+00:00
LINKUSDT,0.6359,1.7462,0.3641,2026-03-15 13:00:00+00:00
LINKUSDT,0.643,1.8014,0.357,2026-03-15 14:00:00+00:00
LINKUSDT,0.6471,1.8333,0.3529,2026-03-15 15:00:00+00:00
LINKUSDT,0.6468,1.831,0.3532,2026-03-15 16:00:00+00:00
LINKUSDT,0.6489,1.8482,0.3511,2026-03-15 17:00:00+00:00
LINKUSDT,0.6495,1.8527,0.3505,2026-03-15 18:00:00+00:00
LINKUSDT,0.6503,1.8596,0.3497,2026-03-15 19:00:00+00:00
LINKUSDT,0.6486,1.8458,0.3514,2026-03-15 20:00:00+00:00
LINKUSDT,0.6487,1.8467,0.3513,2026-03-15 21:00:00+00:00
LINKUSDT,0.6482,1.8428,0.3518,2026-03-15 22:00:00+00:00
LINKUSDT,0.6437,1.8069,0.3563,2026-03-15 23:00:00+00:00
LINKUSDT,0.6418,1.7918,0.3582,2026-03-16 00:00:00+00:00
LINKUSDT,0.6385,1.7662,0.3615,2026-03-16 01:00:00+00:00
LINKUSDT,0.6382,1.7641,0.3618,2026-03-16 02:00:00+00:00
LINKUSDT,0.6412,1.7868,0.3588,2026-03-16 03:00:00+00:00
LINKUSDT,0.6385,1.7663,0.3615,2026-03-16 04:00:00+00:00
LINKUSDT,0.6384,1.7653,0.3616,2026-03-16 05:00:00+00:00
LINKUSDT,0.6417,1.7907,0.3583,2026-03-16 06:00:00+00:00
LINKUSDT,0.642,1.7932,0.358,2026-03-16 07:00:00+00:00
LINKUSDT,0.6386,1.7669,0.3614,2026-03-16 08:00:00+00:00
LINKUSDT,0.6413,1.7877,0.3587,2026-03-16 09:00:00+00:00
LINKUSDT,0.6414,1.7888,0.3586,2026-03-16 10:00:00+00:00
LINKUSDT,0.6379,1.7617,0.3621,2026-03-16 11:00:00+00:00
LINKUSDT,0.639,1.77,0.361,2026-03-16 12:00:00+00:00
LINKUSDT,0.6347,1.7376,0.3653,2026-03-16 13:00:00+00:00
LINKUSDT,0.6337,1.7299,0.3663,2026-03-16 14:00:00+00:00
LINKUSDT,0.6344,1.7349,0.3656,2026-03-16 15:00:00+00:00
LINKUSDT,0.6327,1.7226,0.3673,2026-03-16 16:00:00+00:00
LINKUSDT,0.6326,1.7217,0.3674,2026-03-16 17:00:00+00:00
LINKUSDT,0.6282,1.6894,0.3718,2026-03-16 18:00:00+00:00
LINKUSDT,0.627,1.6811,0.373,2026-03-16 19:00:00+00:00
LINKUSDT,0.6226,1.6499,0.3774,2026-03-16 20:00:00+00:00
LINKUSDT,0.6226,1.6496,0.3774,2026-03-16 21:00:00+00:00
LINKUSDT,0.6248,1.6656,0.3752,2026-03-16 22:00:00+00:00
LINKUSDT,0.6283,1.6902,0.3717,2026-03-16 23:00:00+00:00
LINKUSDT,0.6326,1.7216,0.3674,2026-03-17 00:00:00+00:00
LINKUSDT,0.6309,1.7093,0.3691,2026-03-17 01:00:00+00:00
LINKUSDT,0.63,1.7028,0.37,2026-03-17 02:00:00+00:00
LINKUSDT,0.6385,1.7665,0.3615,2026-03-17 03:00:00+00:00
LINKUSDT,0.6425,1.797,0.3575,2026-03-17 04:00:00+00:00
LINKUSDT,0.6447,1.8147,0.3553,2026-03-17 05:00:00+00:00
LINKUSDT,0.6452,1.8181,0.3548,2026-03-17 06:00:00+00:00
LINKUSDT,0.6441,1.8101,0.3559,2026-03-17 07:00:00+00:00
LINKUSDT,0.6437,1.8063,0.3563,2026-03-17 08:00:00+00:00
LINKUSDT,0.6423,1.7953,0.3577,2026-03-17 09:00:00+00:00
LINKUSDT,0.6428,1.7997,0.3572,2026-03-17 10:00:00+00:00
LINKUSDT,0.6415,1.7894,0.3585,2026-03-17 11:00:00+00:00
LINKUSDT,0.6404,1.7811,0.3596,2026-03-17 12:00:00+00:00
LINKUSDT,0.6391,1.7711,0.3609,2026-03-17 13:00:00+00:00
LINKUSDT,0.6368,1.7535,0.3632,2026-03-17 14:00:00+00:00
LINKUSDT,0.6338,1.7306,0.3662,2026-03-17 15:00:00+00:00
LINKUSDT,0.6321,1.7182,0.3679,2026-03-17 16:00:00+00:00
LINKUSDT,0.6309,1.7096,0.3691,2026-03-17 17:00:00+00:00
LINKUSDT,0.6332,1.7259,0.3668,2026-03-17 18:00:00+00:00
LINKUSDT,0.6327,1.7222,0.3673,2026-03-17 19:00:00+00:00
LINKUSDT,0.6358,1.7456,0.3642,2026-03-17 20:00:00+00:00
LINKUSDT,0.636,1.7473,0.364,2026-03-17 21:00:00+00:00
LINKUSDT,0.6391,1.7706,0.3609,2026-03-17 22:00:00+00:00
LINKUSDT,0.637,1.7552,0.363,2026-03-17 23:00:00+00:00
LINKUSDT,0.6346,1.737,0.3654,2026-03-18 00:00:00+00:00
LINKUSDT,0.6362,1.749,0.3638,2026-03-18 01:00:00+00:00
LINKUSDT,0.6352,1.7413,0.3648,2026-03-18 02:00:00+00:00
LINKUSDT,0.6341,1.7333,0.3659,2026-03-18 03:00:00+00:00
LINKUSDT,0.6356,1.744,0.3644,2026-03-18 04:00:00+00:00
LINKUSDT,0.6358,1.7455,0.3642,2026-03-18 05:00:00+00:00
LINKUSDT,0.636,1.7472,0.364,2026-03-18 06:00:00+00:00
LINKUSDT,0.6355,1.7437,0.3645,2026-03-18 07:00:00+00:00
LINKUSDT,0.6366,1.7515,0.3634,2026-03-18 08:00:00+00:00
LINKUSDT,0.6337,1.7301,0.3663,2026-03-18 09:00:00+00:00
LINKUSDT,0.6333,1.7272,0.3667,2026-03-18 10:00:00+00:00
LINKUSDT,0.6354,1.7428,0.3646,2026-03-18 11:00:00+00:00
LINKUSDT,0.6401,1.7789,0.3599,2026-03-18 12:00:00+00:00
LINKUSDT,0.6527,1.8793,0.3473,2026-03-18 13:00:00+00:00
LINKUSDT,0.6549,1.8977,0.3451,2026-03-18 14:00:00+00:00
LINKUSDT,0.6597,1.9383,0.3403,2026-03-18 15:00:00+00:00
LINKUSDT,0.6556,1.9033,0.3444,2026-03-18 16:00:00+00:00
LINKUSDT,0.6559,1.9065,0.3441,2026-03-18 17:00:00+00:00
