symbol,longAccount,longShortRatio,shortAccount,timestamp
LINKUSDT,0.6649,1.9846,0.3351,2026-03-25 22:40:00+00:00
LINKUSDT,0.6648,1.983,0.3352,2026-03-25 22:45:00+00:00
LINKUSDT,0.6649,1.9838,0.3351,2026-03-25 22:50:00+00:00
LINKUSDT,0.6646,1.9812,0.3354,2026-03-25 22:55:00+00:00
LINKUSDT,0.6643,1.9786,0.3357,2026-03-25 23:00:00+00:00
LINKUSDT,0.6641,1.9767,0.3359,2026-03-25 23:05:00+00:00
LINKUSDT,0.6641,1.9766,0.3359,2026-03-25 23:10:00+00:00
LINKUSDT,0.6643,1.979,0.3357,2026-03-25 23:15:00+00:00
LINKUSDT,0.6641,1.9771,0.3359,2026-03-25 23:20:00+00:00
LINKUSDT,0.6642,1.9783,0.3358,2026-03-25 23:25:00+00:00
LINKUSDT,0.6636,1.9726,0.3364,2026-03-25 23:30:00+00:00
LINKUSDT,0.6635,1.9719,0.3365,2026-03-25 23:35:00+00:00
LINKUSDT,0.6635,1.9719,0.3365,2026-03-25 23:40:00+00:00
LINKUSDT,0.6637,1.9734,0.3363,2026-03-25 23:45:00+00:00
LINKUSDT,0.6637,1.9733,0.3363,2026-03-25 23:50:00+00:00
LINKUSDT,0.6636,1.9726,0.3364,2026-03-25 23:55:00+00:00
LINKUSDT,0.6635,1.9717,0.3365,2026-03-26 00:00:00+00:00
LINKUSDT,0.6637,1.9732,0.3363,2026-03-26 00:05:00+00:00
LINKUSDT,0.6636,1.9724,0.3364,2026-03-26 00:10:00+00:00
LINKUSDT,0.663,1.9671,0.337,2026-03-26 00:15:00+00:00
LINKUSDT,0.6636,1.973,0.3364,2026-03-26 00:20:00+00:00
LINKUSDT,0.6634,1.9705,0.3366,2026-03-26 00:25:00+00:00
LINKUSDT,0.6633,1.9696,0.3367,2026-03-26 00:30:00+00:00
LINKUSDT,0.6629,1.9666,0.3371,2026-03-26 00:35:00+00:00
LINKUSDT,0.6627,1.9644,0.3373,2026-03-26 00:40:00+00:00
LINKUSDT,0.6626,1.9642,0.3374,2026-03-26 00:45:00+00:00
LINKUSDT,0.6626,1.9637,0.3374,2026-03-26 00:50:00+00:00
LINKUSDT,0.6631,1.9678,0.3369,2026-03-26 00:55:00+00:00
LINKUSDT,0.6627,1.9648,0.3373,2026-03-26 01:00:00+00:00
LINKUSDT,0.6624,1.9621,0.3376,2026-03-26 01:05:00+00:00
LINKUSDT,0.6625,1.9631,0.3375,2026-03-26 01:10:00+00:00
LINKUSDT,0.6623,1.9615,0.3377,2026-03-26 01:15:00+00:00
LINKUSDT,0.662,1.9582,0.338,2026-03-26 01:20:00+00:00
LINKUSDT,0.6618,1.9569,0.3382,2026-03-26 01:25:00+00:00
LINKUSDT,0.6618,1.9564,0.3382,2026-03-26 01:30:00+00:00
LINKUSDT,0.6618,1.957,0.3382,2026-03-26 01:35:00+00:00
LINKUSDT,0.6618,1.957,0.3382,2026-03-26 01:40:00+00:00
LINKUSDT,0.6616,1.9548,0.3384,2026-03-26 01:45:00+00:00
LINKUSDT,0.6614,1.953,0.3386,2026-03-26 01:50:00+00:00
LINKUSDT,0.6612,1.9512,0.3388,2026-03-26 01:55:00+00:00
LINKUSDT,0.6612,1.9513,0.3388,2026-03-26 02:00:00+00:00
LINKUSDT,0.661,1.9499,0.339,2026-03-26 02:05:00+00:00
LINKUSDT,0.6626,1.9638,0.3374,2026-03-26 02:10:00+00:00
LINKUSDT,0.6623,1.9616,0.3377,2026-03-26 02:15:00+00:00
LINKUSDT,0.6619,1.958,0.3381,2026-03-26 02:20:00+00:00
LINKUSDT,0.6614,1.9534,0.3386,2026-03-26 02:25:00+00:00
LINKUSDT,0.6629,1.9663,0.3371,2026-03-26 02:30:00+00:00
LINKUSDT,0.6641,1.977,0.3359,2026-03-26 02:35:00+00:00
LINKUSDT,0.6642,1.9781,0.3358,2026-03-26 02:40:00+00:00
LINKUSDT,0.6644,1.9796,0.3356,2026-03-26 02:45:00+00:00
LINKUSDT,0.6645,1.981,0.3355,2026-03-26 02:50:00+00:00
LINKUSDT,0.6648,1.9834,0.3352,2026-03-26 02:55:00+00:00
LINKUSDT,0.6649,1.9838,0.3351,2026-03-26 03:00:00+00:00
LINKUSDT,0.6643,1.9789,0.3357,2026-03-26 03:05:00+00:00
LINKUSDT,0.6638,1.9747,0.3362,2026-03-26 03:10:00+00:00
LINKUSDT,0.6637,1.9738,0.3363,2026-03-26 03:15:00+00:00
LINKUSDT,0.6641,1.9769,0.3359,2026-03-26 03:20:00+00:00
LINKUSDT,0.6631,1.9685,0.3369,2026-03-26 03:25:00+00:00
LINKUSDT,0.6625,1.9629,0.3375,2026-03-26 03:30:00+00:00
LINKUSDT,0.6623,1.9615,0.3377,2026-03-26 03:35:00+00:00
LINKUSDT,0.6625,1.9628,0.3375,2026-03-26 03:40:00+00:00
LINKUSDT,0.6623,1.9614,0.3377,2026-03-26 03:45:00+00:00
LINKUSDT,0.6624,1.9619,0.3376,2026-03-26 03:50:00+00:00
LINKUSDT,0.663,1.9676,0.337,2026-03-26 03:55:00+00:00
LINKUSDT,0.6631,1.9681,0.3369,2026-03-26 04:00:00+00:00
LINKUSDT,0.6632,1.9687,0.3368,2026-03-26 04:05:00+00:00
LINKUSDT,0.6627,1.9651,0.3373,2026-03-26 04:10:00+00:00
LINKUSDT,0.6627,1.9648,0.3373,2026-03-26 04:15:00+00:00
LINKUSDT,0.6627,1.965,0.3373,2026-03-26 04:20:00+00:00
LINKUSDT,0.6626,1.964,0.3374,2026-03-26 04:25:00+00:00
LINKUSDT,0.6626,1.964,0.3374,2026-03-26 04:30:00+00:00
LINKUSDT,0.6624,1.9617,0.3376,2026-03-26 04:35:00+00:00
LINKUSDT,0.6622,1.9607,0.3378,2026-03-26 04:40:00+00:00
LINKUSDT,0.6625,1.9628,0.3375,2026-03-26 04:45:00+00:00
LINKUSDT,0.6627,1.9643,0.3373,2026-03-26 04:50:00+00:00
LINKUSDT,0.6632,1.9696,0.3368,2026-03-26 04:55:00+00:00
LINKUSDT,0.6631,1.9682,0.3369,2026-03-26 05:00:00+00:00
LINKUSDT,0.6631,1.9681,0.3369,2026-03-26 05:05:00+00:00
LINKUSDT,0.6642,1.978,0.3358,2026-03-26 05:10:00+00:00
LINKUSDT,0.6638,1.9743,0.3362,2026-03-26 05:15:00+00:00
LINKUSDT,0.6634,1.9713,0.3366,2026-03-26 05:20:00+00:00
LINKUSDT,0.6641,1.9771,0.3359,2026-03-26 05:25:00+00:00
LINKUSDT,0.6648,1.9834,0.3352,2026-03-26 05:30:00+00:00
LINKUSDT,0.6644,1.9797,0.3356,2026-03-26 05:35:00+00:00
LINKUSDT,0.6645,1.9808,0.3355,2026-03-26 05:40:00+00:00
LINKUSDT,0.6652,1.9873,0.3348,2026-03-26 05:45:00+00:00
LINKUSDT,0.6662,1.9958,0.3338,2026-03-26 05:50:00+00:00
LINKUSDT,0.6738,2.0654,0.3262,2026-03-26 05:55:00+00:00
LINKUSDT,0.6845,2.1694,0.3155,2026-03-26 06:00:00+00:00
LINKUSDT,0.6824,2.1489,0.3176,2026-03-26 06:05:00+00:00
LINKUSDT,0.6825,2.1497,0.3175,2026-03-26 06:10:00+00:00
LINKUSDT,0.6831,2.1555,0.3169,2026-03-26 06:15:00+00:00
LINKUSDT,0.683,2.1545,0.317,2026-03-26 06:20:00+00:00
LINKUSDT,0.6827,2.1515,0.3173,2026-03-26 06:25:00+00:00
LINKUSDT,0.6818,2.143,0.3182,2026-03-26 06:30:00+00:00
LINKUSDT,0.682,2.1449,0.318,2026-03-26 06:35:00+00:00
LINKUSDT,0.6803,2.1275,0.3197,2026-03-26 06:40:00+00:00
LINKUSDT,0.68,2.1252,0.32,2026-03-26 06:45:00+00:00
LINKUSDT,0.6804,2.1292,0.3196,2026-03-26 06:50:00+00:00
LINKUSDT,0.6804,2.1289,0.3196,2026-03-26 06:55:00+00:00
LINKUSDT,0.681,2.1348,0.319,2026-03-26 07:00:00+00:00
LINKUSDT,0.6811,2.1355,0.3189,2026-03-26 07:05:00+00:00
LINKUSDT,0.6812,2.1365,0.3188,2026-03-26 07:10:00+00:00
LINKUSDT,0.6812,2.137,0.3188,2026-03-26 07:15:00+00:00
LINKUSDT,0.6809,2.1341,0.3191,2026-03-26 07:20:00+00:00
LINKUSDT,0.6814,2.1385,0.3186,2026-03-26 07:25:00+00:00
LINKUSDT,0.6815,2.1393,0.3185,2026-03-26 07:30:00+00:00
LINKUSDT,0.6813,2.1374,0.3187,2026-03-26 07:35:00+00:00
LINKUSDT,0.6831,2.1551,0.3169,2026-03-26 07:40:00+00:00
LINKUSDT,0.6829,2.1532,0.3171,2026-03-26 07:45:00+00:00
LINKUSDT,0.6829,2.1532,0.3171,2026-03-26 07:50:00+00:00
LINKUSDT,0.6827,2.1512,0.3173,2026-03-26 07:55:00+00:00
LINKUSDT,0.6824,2.149,0.3176,2026-03-26 08:00:00+00:00
LINKUSDT,0.6824,2.1481,0.3176,2026-03-26 08:05:00+00:00
LINKUSDT,0.6824,2.1486,0.3176,2026-03-26 08:10:00+00:00
LINKUSDT,0.6823,2.1475,0.3177,2026-03-26 08:15:00+00:00
