symbol,longAccount,longShortRatio,shortAccount,timestamp
OPUSDT,0.503,1.0121,0.497,2026-03-13 17:00:00+00:00
OPUSDT,0.5029,1.0117,0.4971,2026-03-13 18:00:00+00:00
OPUSDT,0.5039,1.0157,0.4961,2026-03-13 19:00:00+00:00
OPUSDT,0.5051,1.0206,0.4949,2026-03-13 20:00:00+00:00
OPUSDT,0.5079,1.0321,0.4921,2026-03-13 21:00:00+00:00
OPUSDT,0.5178,1.0738,0.4822,2026-03-13 22:00:00+00:00
OPUSDT,0.5231,1.0969,0.4769,2026-03-13 23:00:00+00:00
OPUSDT,0.5226,1.0947,0.4774,2026-03-14 00:00:00+00:00
OPUSDT,0.5287,1.1218,0.4713,2026-03-14 01:00:00+00:00
OPUSDT,0.5303,1.129,0.4697,2026-03-14 02:00:00+00:00
OPUSDT,0.5329,1.1409,0.4671,2026-03-14 03:00:00+00:00
OPUSDT,0.5368,1.1589,0.4632,2026-03-14 04:00:00+00:00
OPUSDT,0.5367,1.1584,0.4633,2026-03-14 05:00:00+00:00
OPUSDT,0.5315,1.1345,0.4685,2026-03-14 06:00:00+00:00
OPUSDT,0.5338,1.145,0.4662,2026-03-14 07:00:00+00:00
OPUSDT,0.5325,1.139,0.4675,2026-03-14 08:00:00+00:00
OPUSDT,0.5379,1.164,0.4621,2026-03-14 09:00:00+00:00
OPUSDT,0.5384,1.1664,0.4616,2026-03-14 10:00:00+00:00
OPUSDT,0.5359,1.1547,0.4641,2026-03-14 11:00:00+00:00
OPUSDT,0.539,1.1692,0.461,2026-03-14 12:00:00+00:00
OPUSDT,0.5438,1.192,0.4562,2026-03-14 13:00:00+00:00
OPUSDT,0.5441,1.1935,0.4559,2026-03-14 14:00:00+00:00
OPUSDT,0.5444,1.1949,0.4556,2026-03-14 15:00:00+00:00
OPUSDT,0.547,1.2075,0.453,2026-03-14 16:00:00+00:00
OPUSDT,0.5436,1.1911,0.4564,2026-03-14 17:00:00+00:00
OPUSDT,0.5477,1.2109,0.4523,2026-03-14 18:00:00+00:00
OPUSDT,0.5482,1.2134,0.4518,2026-03-14 19:00:00+00:00
OPUSDT,0.5487,1.2158,0.4513,2026-03-14 20:00:00+00:00
OPUSDT,0.5475,1.2099,0.4525,2026-03-14 21:00:00+00:00
OPUSDT,0.5495,1.2198,0.4505,2026-03-14 22:00:00+00:00
OPUSDT,0.5501,1.2227,0.4499,2026-03-14 23:00:00+00:00
OPUSDT,0.5521,1.2326,0.4479,2026-03-15 00:00:00+00:00
OPUSDT,0.547,1.2075,0.453,2026-03-15 01:00:00+00:00
OPUSDT,0.5473,1.209,0.4527,2026-03-15 02:00:00+00:00
OPUSDT,0.5461,1.2031,0.4539,2026-03-15 03:00:00+00:00
OPUSDT,0.5473,1.209,0.4527,2026-03-15 04:00:00+00:00
OPUSDT,0.5441,1.1935,0.4559,2026-03-15 05:00:00+00:00
OPUSDT,0.5444,1.1949,0.4556,2026-03-15 06:00:00+00:00
OPUSDT,0.5436,1.1911,0.4564,2026-03-15 07:00:00+00:00
OPUSDT,0.5461,1.2031,0.4539,2026-03-15 08:00:00+00:00
OPUSDT,0.5468,1.2065,0.4532,2026-03-15 09:00:00+00:00
OPUSDT,0.5463,1.2041,0.4537,2026-03-15 10:00:00+00:00
OPUSDT,0.5421,1.1839,0.4579,2026-03-15 11:00:00+00:00
OPUSDT,0.553,1.2371,0.447,2026-03-15 12:00:00+00:00
OPUSDT,0.5498,1.2212,0.4502,2026-03-15 13:00:00+00:00
OPUSDT,0.5466,1.2056,0.4534,2026-03-15 14:00:00+00:00
OPUSDT,0.5472,1.2085,0.4528,2026-03-15 15:00:00+00:00
OPUSDT,0.5473,1.209,0.4527,2026-03-15 16:00:00+00:00
OPUSDT,0.5426,1.1863,0.4574,2026-03-15 17:00:00+00:00
OPUSDT,0.5399,1.1734,0.4601,2026-03-15 18:00:00+00:00
OPUSDT,0.5416,1.1815,0.4584,2026-03-15 19:00:00+00:00
OPUSDT,0.5418,1.1825,0.4582,2026-03-15 20:00:00+00:00
OPUSDT,0.5442,1.1939,0.4558,2026-03-15 21:00:00+00:00
OPUSDT,0.5462,1.2036,0.4538,2026-03-15 22:00:00+00:00
OPUSDT,0.5484,1.2143,0.4516,2026-03-15 23:00:00+00:00
OPUSDT,0.5469,1.207,0.4531,2026-03-16 00:00:00+00:00
OPUSDT,0.5451,1.1983,0.4549,2026-03-16 01:00:00+00:00
OPUSDT,0.5449,1.1973,0.4551,2026-03-16 02:00:00+00:00
OPUSDT,0.5465,1.2051,0.4535,2026-03-16 03:00:00+00:00
OPUSDT,0.5472,1.2085,0.4528,2026-03-16 04:00:00+00:00
OPUSDT,0.5484,1.2143,0.4516,2026-03-16 05:00:00+00:00
OPUSDT,0.5489,1.2168,0.4511,2026-03-16 06:00:00+00:00
OPUSDT,0.5441,1.1935,0.4559,2026-03-16 07:00:00+00:00
OPUSDT,0.5411,1.1791,0.4589,2026-03-16 08:00:00+00:00
OPUSDT,0.541,1.1786,0.459,2026-03-16 09:00:00+00:00
OPUSDT,0.5387,1.1678,0.4613,2026-03-16 10:00:00+00:00
OPUSDT,0.5335,1.1436,0.4665,2026-03-16 11:00:00+00:00
OPUSDT,0.534,1.1459,0.466,2026-03-16 12:00:00+00:00
OPUSDT,0.5322,1.1377,0.4678,2026-03-16 13:00:00+00:00
OPUSDT,0.5344,1.1478,0.4656,2026-03-16 14:00:00+00:00
OPUSDT,0.5321,1.1372,0.4679,2026-03-16 15:00:00+00:00
OPUSDT,0.531,1.1322,0.469,2026-03-16 16:00:00+00:00
OPUSDT,0.5322,1.1377,0.4678,2026-03-16 17:00:00+00:00
OPUSDT,0.5326,1.1395,0.4674,2026-03-16 18:00:00+00:00
OPUSDT,0.5335,1.1436,0.4665,2026-03-16 19:00:00+00:00
OPUSDT,0.5319,1.1363,0.4681,2026-03-16 20:00:00+00:00
OPUSDT,0.5326,1.1395,0.4674,2026-03-16 21:00:00+00:00
OPUSDT,0.5343,1.1473,0.4657,2026-03-16 22:00:00+00:00
OPUSDT,0.533,1.1413,0.467,2026-03-16 23:00:00+00:00
OPUSDT,0.5325,1.139,0.4675,2026-03-17 00:00:00+00:00
OPUSDT,0.5325,1.139,0.4675,2026-03-17 01:00:00+00:00
OPUSDT,0.5313,1.1336,0.4687,2026-03-17 02:00:00+00:00
OPUSDT,0.5335,1.1436,0.4665,2026-03-17 03:00:00+00:00
OPUSDT,0.525,1.1053,0.475,2026-03-17 04:00:00+00:00
OPUSDT,0.5211,1.0881,0.4789,2026-03-17 05:00:00+00:00
OPUSDT,0.5199,1.0829,0.4801,2026-03-17 06:00:00+00:00
OPUSDT,0.5228,1.0956,0.4772,2026-03-17 07:00:00+00:00
OPUSDT,0.5213,1.089,0.4787,2026-03-17 08:00:00+00:00
OPUSDT,0.5245,1.103,0.4755,2026-03-17 09:00:00+00:00
OPUSDT,0.5234,1.0982,0.4766,2026-03-17 10:00:00+00:00
OPUSDT,0.5284,1.1204,0.4716,2026-03-17 11:00:00+00:00
OPUSDT,0.5302,1.1286,0.4698,2026-03-17 12:00:00+00:00
OPUSDT,0.5274,1.116,0.4726,2026-03-17 13:00:00+00:00
OPUSDT,0.5288,1.1222,0.4712,2026-03-17 14:00:00+00:00
OPUSDT,0.529,1.1231,0.471,2026-03-17 15:00:00+00:00
OPUSDT,0.526,1.1097,0.474,2026-03-17 16:00:00+00:00
OPUSDT,0.5284,1.1204,0.4716,2026-03-17 17:00:00+00:00
OPUSDT,0.5351,1.151,0.4649,2026-03-17 18:00:00+00:00
OPUSDT,0.5395,1.1716,0.4605,2026-03-17 19:00:00+00:00
OPUSDT,0.5391,1.1697,0.4609,2026-03-17 20:00:00+00:00
OPUSDT,0.5364,1.157,0.4636,2026-03-17 21:00:00+00:00
OPUSDT,0.5396,1.172,0.4604,2026-03-17 22:00:00+00:00
OPUSDT,0.5368,1.1589,0.4632,2026-03-17 23:00:00+00:00
OPUSDT,0.5337,1.1445,0.4663,2026-03-18 00:00:00+00:00
OPUSDT,0.5299,1.1272,0.4701,2026-03-18 01:00:00+00:00
OPUSDT,0.5358,1.1542,0.4642,2026-03-18 02:00:00+00:00
OPUSDT,0.5382,1.1654,0.4618,2026-03-18 03:00:00+00:00
OPUSDT,0.5399,1.1734,0.4601,2026-03-18 04:00:00+00:00
OPUSDT,0.5379,1.164,0.4621,2026-03-18 05:00:00+00:00
OPUSDT,0.5364,1.157,0.4636,2026-03-18 06:00:00+00:00
OPUSDT,0.5354,1.1524,0.4646,2026-03-18 07:00:00+00:00
OPUSDT,0.534,1.1459,0.466,2026-03-18 08:00:00+00:00
OPUSDT,0.5268,1.1133,0.4732,2026-03-18 09:00:00+00:00
OPUSDT,0.5285,1.1209,0.4715,2026-03-18 10:00:00+00:00
OPUSDT,0.527,1.1142,0.473,2026-03-18 11:00:00+00:00
OPUSDT,0.532,1.1368,0.468,2026-03-18 12:00:00+00:00
OPUSDT,0.5286,1.1213,0.4714,2026-03-18 13:00:00+00:00
OPUSDT,0.522,1.0921,0.478,2026-03-18 14:00:00+00:00
OPUSDT,0.5313,1.1336,0.4687,2026-03-18 15:00:00+00:00
OPUSDT,0.5342,1.1468,0.4658,2026-03-18 16:00:00+00:00
OPUSDT,0.5372,1.1608,0.4628,2026-03-18 17:00:00+00:00
OPUSDT,0.5369,1.1594,0.4631,2026-03-18 18:00:00+00:00
OPUSDT,0.5381,1.165,0.4619,2026-03-18 19:00:00+00:00
OPUSDT,0.5403,1.1753,0.4597,2026-03-18 20:00:00+00:00
OPUSDT,0.5413,1.1801,0.4587,2026-03-18 21:00:00+00:00
OPUSDT,0.5417,1.182,0.4583,2026-03-18 22:00:00+00:00
OPUSDT,0.5404,1.1758,0.4596,2026-03-18 23:00:00+00:00
OPUSDT,0.5442,1.1939,0.4558,2026-03-19 00:00:00+00:00
OPUSDT,0.5442,1.1939,0.4558,2026-03-19 01:00:00+00:00
OPUSDT,0.5446,1.1959,0.4554,2026-03-19 02:00:00+00:00
OPUSDT,0.5433,1.1896,0.4567,2026-03-19 03:00:00+00:00
OPUSDT,0.5356,1.1533,0.4644,2026-03-19 04:00:00+00:00
OPUSDT,0.5368,1.1589,0.4632,2026-03-19 05:00:00+00:00
OPUSDT,0.5403,1.1753,0.4597,2026-03-19 06:00:00+00:00
OPUSDT,0.5383,1.1659,0.4617,2026-03-19 07:00:00+00:00
OPUSDT,0.5378,1.1636,0.4622,2026-03-19 08:00:00+00:00
OPUSDT,0.5319,1.1363,0.4681,2026-03-19 09:00:00+00:00
OPUSDT,0.529,1.1231,0.471,2026-03-19 10:00:00+00:00
OPUSDT,0.5278,1.1177,0.4722,2026-03-19 11:00:00+00:00
OPUSDT,0.5251,1.1057,0.4749,2026-03-19 12:00:00+00:00
OPUSDT,0.5235,1.0986,0.4765,2026-03-19 13:00:00+00:00
OPUSDT,0.5234,1.0982,0.4766,2026-03-19 14:00:00+00:00
OPUSDT,0.5218,1.0912,0.4782,2026-03-19 15:00:00+00:00
OPUSDT,0.5199,1.0829,0.4801,2026-03-19 16:00:00+00:00
OPUSDT,0.5162,1.067,0.4838,2026-03-19 17:00:00+00:00
