symbol,sumOpenInterest,sumOpenInterestValue,CMCCirculatingSupply,timestamp
OPUSDT,143413470.0,18091263.6140373,2117847344.00000000,2026-03-13 17:00:00+00:00
OPUSDT,142196440.1,17626055.00421037,2117847344.00000000,2026-03-13 18:00:00+00:00
OPUSDT,142522985.7,17687102.52537,2117847344.00000000,2026-03-13 19:00:00+00:00
OPUSDT,142368209.3,17682131.59506,2117847344.00000000,2026-03-13 20:00:00+00:00
OPUSDT,141986625.8,17661252.08699564,2117847344.00000000,2026-03-13 21:00:00+00:00
OPUSDT,141355753.7,17542249.03417,2117847344.00000000,2026-03-13 22:00:00+00:00
OPUSDT,140077173.6,17234430.0731694,2117847344.00000000,2026-03-13 23:00:00+00:00
OPUSDT,139957867.1,17311247.22415323,2117847344.00000000,2026-03-14 00:00:00+00:00
OPUSDT,139645902.1,17112673.86418799,2117847344.00000000,2026-03-14 01:00:00+00:00
OPUSDT,139164095.0,17216446.6506816,2117847344.00000000,2026-03-14 02:00:00+00:00
OPUSDT,139950668.8,17401510.94280602,2117847344.00000000,2026-03-14 03:00:00+00:00
OPUSDT,141036379.8,17650701.5216062,2117847344.00000000,2026-03-14 04:00:00+00:00
OPUSDT,143341413.7,17846006.00565,2117847344.00000000,2026-03-14 05:00:00+00:00
OPUSDT,143066662.1,17661642.38557632,2117847344.00000000,2026-03-14 06:00:00+00:00
OPUSDT,140175075.3,17188661.62524759,2117847344.00000000,2026-03-14 07:00:00+00:00
OPUSDT,140053148.5,17164058.15542267,2117847344.00000000,2026-03-14 08:00:00+00:00
OPUSDT,139937506.3,17114357.02049,2117847344.00000000,2026-03-14 09:00:00+00:00
OPUSDT,139752878.5,17091777.04055,2117847344.00000000,2026-03-14 10:00:00+00:00
OPUSDT,139509971.2,17119148.58737677,2117847344.00000000,2026-03-14 11:00:00+00:00
OPUSDT,138441755.4,17105280.45743377,2117847344.00000000,2026-03-14 12:00:00+00:00
OPUSDT,136769110.9,16808923.72961,2117847344.00000000,2026-03-14 13:00:00+00:00
OPUSDT,136872851.4,16916634.45263281,2117847344.00000000,2026-03-14 14:00:00+00:00
OPUSDT,137106140.9,16891476.55888,2117847344.00000000,2026-03-14 15:00:00+00:00
OPUSDT,135971286.6,16667171.31133963,2117847344.00000000,2026-03-14 16:00:00+00:00
OPUSDT,135785963.7,16742409.32421,2117847344.00000000,2026-03-14 17:00:00+00:00
OPUSDT,135845222.2,16708962.3306,2117847344.00000000,2026-03-14 18:00:00+00:00
