symbol,sumOpenInterest,sumOpenInterestValue,CMCCirculatingSupply,timestamp
OPUSDT,139776201.4,15882372.80067002,2117847344.00000000,2026-03-25 22:40:00+00:00
OPUSDT,139684602.8,15855030.7474946,2117847344.00000000,2026-03-25 22:45:00+00:00
OPUSDT,139543175.3,15859046.98705118,2117847344.00000000,2026-03-25 22:50:00+00:00
OPUSDT,139620250.2,15860860.42272,2117847344.00000000,2026-03-25 22:55:00+00:00
OPUSDT,139530327.9,15822739.18386,2117847344.00000000,2026-03-25 23:00:00+00:00
OPUSDT,139495613.8,15790903.48216,2117847344.00000000,2026-03-25 23:05:00+00:00
OPUSDT,139550200.2,15804049.00863398,2117847344.00000000,2026-03-25 23:10:00+00:00
OPUSDT,139450133.9,15776844.29392379,2117847344.00000000,2026-03-25 23:15:00+00:00
OPUSDT,139450359.2,15785780.66144,2117847344.00000000,2026-03-25 23:20:00+00:00
OPUSDT,139329523.2,15778739.68472525,2117847344.00000000,2026-03-25 23:25:00+00:00
OPUSDT,139425242.9,15768994.97199,2117847344.00000000,2026-03-25 23:30:00+00:00
OPUSDT,139505558.9,15787460.46042603,2117847344.00000000,2026-03-25 23:35:00+00:00
OPUSDT,139467150.1,15765641.3975897,2117847344.00000000,2026-03-25 23:40:00+00:00
OPUSDT,139508608.9,15757586.6607647,2117847344.00000000,2026-03-25 23:45:00+00:00
OPUSDT,139642925.7,15800510.46434107,2117847344.00000000,2026-03-25 23:50:00+00:00
OPUSDT,139594394.7,15808774.84343403,2117847344.00000000,2026-03-25 23:55:00+00:00
OPUSDT,139687747.1,15840590.52114,2117847344.00000000,2026-03-26 00:00:00+00:00
OPUSDT,139494302.2,15832603.2997,2117847344.00000000,2026-03-26 00:05:00+00:00
OPUSDT,139475784.4,15805578.60148556,2117847344.00000000,2026-03-26 00:10:00+00:00
OPUSDT,139378189.7,15798124.75600005,2117847344.00000000,2026-03-26 00:15:00+00:00
OPUSDT,139546282.9,15796639.22428,2117847344.00000000,2026-03-26 00:20:00+00:00
OPUSDT,139300385.6,15775768.6692,2117847344.00000000,2026-03-26 00:25:00+00:00
OPUSDT,139428466.2,15783302.37384,2117847344.00000000,2026-03-26 00:30:00+00:00
OPUSDT,139378298.5,15749747.7305,2117847344.00000000,2026-03-26 00:35:00+00:00
OPUSDT,139575498.6,15813211.69690695,2117847344.00000000,2026-03-26 00:40:00+00:00
OPUSDT,139669997.0,15831256.15855726,2117847344.00000000,2026-03-26 00:45:00+00:00
OPUSDT,140229649.1,15916065.17285,2117847344.00000000,2026-03-26 00:50:00+00:00
OPUSDT,140126008.6,15855071.50549856,2117847344.00000000,2026-03-26 00:55:00+00:00
OPUSDT,140091056.1,15865688.94826591,2117847344.00000000,2026-03-26 01:00:00+00:00
OPUSDT,140005185.4,15884005.49908249,2117847344.00000000,2026-03-26 01:05:00+00:00
OPUSDT,139804062.9,15843537.28917132,2117847344.00000000,2026-03-26 01:10:00+00:00
OPUSDT,139854203.1,15878412.68043396,2117847344.00000000,2026-03-26 01:15:00+00:00
OPUSDT,139839242.0,15866399.52242382,2117847344.00000000,2026-03-26 01:20:00+00:00
OPUSDT,139790995.4,15845662.99980836,2117847344.00000000,2026-03-26 01:25:00+00:00
OPUSDT,139785233.4,15879602.51424,2117847344.00000000,2026-03-26 01:30:00+00:00
OPUSDT,139890172.9,15884282.9260907,2117847344.00000000,2026-03-26 01:35:00+00:00
OPUSDT,140045728.4,15948613.41741275,2117847344.00000000,2026-03-26 01:40:00+00:00
OPUSDT,139872752.8,15875557.4428,2117847344.00000000,2026-03-26 01:45:00+00:00
OPUSDT,139868269.4,15867555.83370824,2117847344.00000000,2026-03-26 01:50:00+00:00
OPUSDT,139727501.1,15845428.3816426,2117847344.00000000,2026-03-26 01:55:00+00:00
OPUSDT,139841139.4,15860679.94671624,2117847344.00000000,2026-03-26 02:00:00+00:00
OPUSDT,139837620.9,15850885.19126647,2117847344.00000000,2026-03-26 02:05:00+00:00
OPUSDT,140000593.5,15841604.75680404,2117847344.00000000,2026-03-26 02:10:00+00:00
OPUSDT,140138362.8,15827951.20996768,2117847344.00000000,2026-03-26 02:15:00+00:00
OPUSDT,140015865.1,15779787.99677,2117847344.00000000,2026-03-26 02:20:00+00:00
OPUSDT,140212273.3,15781082.04860669,2117847344.00000000,2026-03-26 02:25:00+00:00
OPUSDT,140147437.7,15787174.39984813,2117847344.00000000,2026-03-26 02:30:00+00:00
OPUSDT,139994032.8,15729368.34080338,2117847344.00000000,2026-03-26 02:35:00+00:00
OPUSDT,139996591.4,15720336.24540869,2117847344.00000000,2026-03-26 02:40:00+00:00
OPUSDT,140282548.4,15763627.11910962,2117847344.00000000,2026-03-26 02:45:00+00:00
OPUSDT,140291419.2,15795325.30996229,2117847344.00000000,2026-03-26 02:50:00+00:00
OPUSDT,140281877.1,15789220.46263116,2117847344.00000000,2026-03-26 02:55:00+00:00
OPUSDT,140451071.0,15821841.2383642,2117847344.00000000,2026-03-26 03:00:00+00:00
OPUSDT,140539892.5,15814578.86151203,2117847344.00000000,2026-03-26 03:05:00+00:00
OPUSDT,140781911.2,15824143.04195838,2117847344.00000000,2026-03-26 03:10:00+00:00
OPUSDT,140780771.5,15837836.79375,2117847344.00000000,2026-03-26 03:15:00+00:00
