symbol,longAccount,longShortRatio,shortAccount,timestamp
OPUSDT,0.6283,1.6905,0.3717,2026-03-13 17:00:00+00:00
OPUSDT,0.6285,1.6921,0.3715,2026-03-13 18:00:00+00:00
OPUSDT,0.6285,1.6919,0.3715,2026-03-13 19:00:00+00:00
OPUSDT,0.6283,1.6902,0.3717,2026-03-13 20:00:00+00:00
OPUSDT,0.629,1.6951,0.371,2026-03-13 21:00:00+00:00
OPUSDT,0.6316,1.7148,0.3684,2026-03-13 22:00:00+00:00
OPUSDT,0.6402,1.779,0.3598,2026-03-13 23:00:00+00:00
OPUSDT,0.6388,1.7689,0.3612,2026-03-14 00:00:00+00:00
OPUSDT,0.6382,1.7641,0.3618,2026-03-14 01:00:00+00:00
OPUSDT,0.6343,1.7345,0.3657,2026-03-14 02:00:00+00:00
OPUSDT,0.6317,1.7154,0.3683,2026-03-14 03:00:00+00:00
OPUSDT,0.6318,1.7161,0.3682,2026-03-14 04:00:00+00:00
OPUSDT,0.6377,1.7603,0.3623,2026-03-14 05:00:00+00:00
OPUSDT,0.6418,1.792,0.3582,2026-03-14 06:00:00+00:00
OPUSDT,0.6266,1.6782,0.3734,2026-03-14 07:00:00+00:00
OPUSDT,0.6289,1.6947,0.3711,2026-03-14 08:00:00+00:00
OPUSDT,0.6315,1.7139,0.3685,2026-03-14 09:00:00+00:00
OPUSDT,0.6342,1.7339,0.3658,2026-03-14 10:00:00+00:00
OPUSDT,0.6341,1.7329,0.3659,2026-03-14 11:00:00+00:00
OPUSDT,0.6304,1.7058,0.3696,2026-03-14 12:00:00+00:00
OPUSDT,0.6295,1.6991,0.3705,2026-03-14 13:00:00+00:00
OPUSDT,0.6289,1.6944,0.3711,2026-03-14 14:00:00+00:00
OPUSDT,0.6401,1.7784,0.3599,2026-03-14 15:00:00+00:00
OPUSDT,0.64,1.7776,0.36,2026-03-14 16:00:00+00:00
OPUSDT,0.6381,1.7635,0.3619,2026-03-14 17:00:00+00:00
OPUSDT,0.6385,1.7663,0.3615,2026-03-14 18:00:00+00:00
OPUSDT,0.6423,1.7958,0.3577,2026-03-14 19:00:00+00:00
OPUSDT,0.6435,1.8049,0.3565,2026-03-14 20:00:00+00:00
OPUSDT,0.6427,1.7985,0.3573,2026-03-14 21:00:00+00:00
OPUSDT,0.6404,1.781,0.3596,2026-03-14 22:00:00+00:00
OPUSDT,0.6373,1.757,0.3627,2026-03-14 23:00:00+00:00
OPUSDT,0.6357,1.7448,0.3643,2026-03-15 00:00:00+00:00
OPUSDT,0.6397,1.7758,0.3603,2026-03-15 01:00:00+00:00
OPUSDT,0.6286,1.6928,0.3714,2026-03-15 02:00:00+00:00
OPUSDT,0.6209,1.6375,0.3791,2026-03-15 03:00:00+00:00
OPUSDT,0.6193,1.6268,0.3807,2026-03-15 04:00:00+00:00
OPUSDT,0.6189,1.624,0.3811,2026-03-15 05:00:00+00:00
OPUSDT,0.6181,1.6184,0.3819,2026-03-15 06:00:00+00:00
OPUSDT,0.6104,1.5665,0.3896,2026-03-15 07:00:00+00:00
OPUSDT,0.6182,1.6189,0.3818,2026-03-15 08:00:00+00:00
OPUSDT,0.6136,1.5881,0.3864,2026-03-15 09:00:00+00:00
OPUSDT,0.614,1.5908,0.386,2026-03-15 10:00:00+00:00
OPUSDT,0.6169,1.6104,0.3831,2026-03-15 11:00:00+00:00
OPUSDT,0.6102,1.5653,0.3898,2026-03-15 12:00:00+00:00
OPUSDT,0.6072,1.5458,0.3928,2026-03-15 13:00:00+00:00
OPUSDT,0.6209,1.6376,0.3791,2026-03-15 14:00:00+00:00
OPUSDT,0.6184,1.6205,0.3816,2026-03-15 15:00:00+00:00
OPUSDT,0.6197,1.6292,0.3803,2026-03-15 16:00:00+00:00
OPUSDT,0.6143,1.5929,0.3857,2026-03-15 17:00:00+00:00
OPUSDT,0.6071,1.5451,0.3929,2026-03-15 18:00:00+00:00
OPUSDT,0.6056,1.5353,0.3944,2026-03-15 19:00:00+00:00
OPUSDT,0.6014,1.5085,0.3986,2026-03-15 20:00:00+00:00
OPUSDT,0.5954,1.4715,0.4046,2026-03-15 21:00:00+00:00
OPUSDT,0.5952,1.4705,0.4048,2026-03-15 22:00:00+00:00
OPUSDT,0.6006,1.5038,0.3994,2026-03-15 23:00:00+00:00
OPUSDT,0.6119,1.5767,0.3881,2026-03-16 00:00:00+00:00
OPUSDT,0.6112,1.5722,0.3888,2026-03-16 01:00:00+00:00
OPUSDT,0.607,1.5446,0.393,2026-03-16 02:00:00+00:00
OPUSDT,0.6085,1.5541,0.3915,2026-03-16 03:00:00+00:00
OPUSDT,0.6258,1.6721,0.3742,2026-03-16 04:00:00+00:00
OPUSDT,0.6252,1.668,0.3748,2026-03-16 05:00:00+00:00
OPUSDT,0.6296,1.6997,0.3704,2026-03-16 06:00:00+00:00
OPUSDT,0.6265,1.677,0.3735,2026-03-16 07:00:00+00:00
OPUSDT,0.6301,1.7034,0.3699,2026-03-16 08:00:00+00:00
OPUSDT,0.6183,1.6199,0.3817,2026-03-16 09:00:00+00:00
OPUSDT,0.6143,1.5925,0.3857,2026-03-16 10:00:00+00:00
OPUSDT,0.6165,1.6077,0.3835,2026-03-16 11:00:00+00:00
OPUSDT,0.615,1.5971,0.385,2026-03-16 12:00:00+00:00
OPUSDT,0.618,1.6175,0.382,2026-03-16 13:00:00+00:00
OPUSDT,0.6243,1.6619,0.3757,2026-03-16 14:00:00+00:00
OPUSDT,0.6215,1.6423,0.3785,2026-03-16 15:00:00+00:00
OPUSDT,0.6296,1.6999,0.3704,2026-03-16 16:00:00+00:00
OPUSDT,0.6175,1.6141,0.3825,2026-03-16 17:00:00+00:00
OPUSDT,0.6213,1.6405,0.3787,2026-03-16 18:00:00+00:00
OPUSDT,0.6171,1.612,0.3829,2026-03-16 19:00:00+00:00
OPUSDT,0.6085,1.5544,0.3915,2026-03-16 20:00:00+00:00
OPUSDT,0.6062,1.5393,0.3938,2026-03-16 21:00:00+00:00
OPUSDT,0.5971,1.482,0.4029,2026-03-16 22:00:00+00:00
OPUSDT,0.5988,1.4925,0.4012,2026-03-16 23:00:00+00:00
OPUSDT,0.6,1.4999,0.4,2026-03-17 00:00:00+00:00
OPUSDT,0.6007,1.5041,0.3993,2026-03-17 01:00:00+00:00
OPUSDT,0.6034,1.5214,0.3966,2026-03-17 02:00:00+00:00
