symbol,longAccount,longShortRatio,shortAccount,timestamp
OPUSDT,0.6114,1.573,0.3886,2026-03-25 22:40:00+00:00
OPUSDT,0.6114,1.5734,0.3886,2026-03-25 22:45:00+00:00
OPUSDT,0.6114,1.5736,0.3886,2026-03-25 22:50:00+00:00
OPUSDT,0.6113,1.5728,0.3887,2026-03-25 22:55:00+00:00
OPUSDT,0.6118,1.5761,0.3882,2026-03-25 23:00:00+00:00
OPUSDT,0.6121,1.5782,0.3879,2026-03-25 23:05:00+00:00
OPUSDT,0.6122,1.5789,0.3878,2026-03-25 23:10:00+00:00
OPUSDT,0.6124,1.5799,0.3876,2026-03-25 23:15:00+00:00
OPUSDT,0.6124,1.5801,0.3876,2026-03-25 23:20:00+00:00
OPUSDT,0.6123,1.5796,0.3877,2026-03-25 23:25:00+00:00
OPUSDT,0.6128,1.5825,0.3872,2026-03-25 23:30:00+00:00
OPUSDT,0.6127,1.5817,0.3873,2026-03-25 23:35:00+00:00
OPUSDT,0.6126,1.5816,0.3874,2026-03-25 23:40:00+00:00
OPUSDT,0.6127,1.5821,0.3873,2026-03-25 23:45:00+00:00
OPUSDT,0.6125,1.5806,0.3875,2026-03-25 23:50:00+00:00
OPUSDT,0.6123,1.5791,0.3877,2026-03-25 23:55:00+00:00
OPUSDT,0.6126,1.5811,0.3874,2026-03-26 00:00:00+00:00
OPUSDT,0.6132,1.5855,0.3868,2026-03-26 00:05:00+00:00
OPUSDT,0.6133,1.586,0.3867,2026-03-26 00:10:00+00:00
OPUSDT,0.6136,1.588,0.3864,2026-03-26 00:15:00+00:00
OPUSDT,0.6137,1.5885,0.3863,2026-03-26 00:20:00+00:00
OPUSDT,0.6147,1.5953,0.3853,2026-03-26 00:25:00+00:00
OPUSDT,0.6145,1.5943,0.3855,2026-03-26 00:30:00+00:00
OPUSDT,0.615,1.5971,0.385,2026-03-26 00:35:00+00:00
OPUSDT,0.6153,1.5997,0.3847,2026-03-26 00:40:00+00:00
OPUSDT,0.6153,1.5996,0.3847,2026-03-26 00:45:00+00:00
OPUSDT,0.6167,1.6089,0.3833,2026-03-26 00:50:00+00:00
OPUSDT,0.6164,1.6067,0.3836,2026-03-26 00:55:00+00:00
