symbol,fundingTime,fundingRate,markPrice
SOLUSDT,2026-03-14 00:00:00.001000+00:00,-2.65e-05,88.12
SOLUSDT,2026-03-14 08:00:00+00:00,-6.738e-05,87.28263723
SOLUSDT,2026-03-14 16:00:00.007000+00:00,-9.915e-05,86.68
SOLUSDT,2026-03-15 00:00:00+00:00,-0.00010764,88.0
SOLUSDT,2026-03-15 08:00:00+00:00,-5.506e-05,88.181874
SOLUSDT,2026-03-15 16:00:00+00:00,1.663e-05,87.86
SOLUSDT,2026-03-16 00:00:00+00:00,9.583e-05,92.29
SOLUSDT,2026-03-16 08:00:00.010000+00:00,0.0001,93.54
SOLUSDT,2026-03-16 16:00:00+00:00,5.241e-05,93.14
SOLUSDT,2026-03-17 00:00:00+00:00,8.675e-05,96.15546577
SOLUSDT,2026-03-17 08:00:00.002000+00:00,4.97e-06,94.38
SOLUSDT,2026-03-17 16:00:00.011000+00:00,-1.43e-05,93.77
SOLUSDT,2026-03-18 00:00:00.002000+00:00,-8.83e-06,94.57
SOLUSDT,2026-03-18 08:00:00.002000+00:00,-4.951e-05,93.89326824
SOLUSDT,2026-03-18 16:00:00.005000+00:00,-6.465e-05,89.31735445
SOLUSDT,2026-03-19 00:00:00+00:00,-0.00010064,90.03196863
SOLUSDT,2026-03-19 08:00:00.003000+00:00,-1.65e-06,89.38274806
SOLUSDT,2026-03-19 16:00:00.003000+00:00,-3.8e-06,87.57162408
SOLUSDT,2026-03-20 00:00:00.002000+00:00,3.87e-06,88.85
SOLUSDT,2026-03-20 08:00:00+00:00,-4.929e-05,89.32032084
SOLUSDT,2026-03-20 16:00:00+00:00,-6.064e-05,88.9143686
SOLUSDT,2026-03-21 00:00:00+00:00,2.431e-05,89.81
SOLUSDT,2026-03-21 08:00:00+00:00,-1.16e-05,90.09
SOLUSDT,2026-03-21 16:00:00.014000+00:00,-0.00012136,89.78
SOLUSDT,2026-03-22 00:00:00.012000+00:00,-0.00012994,87.51
SOLUSDT,2026-03-22 08:00:00.007000+00:00,-0.00013452,87.65
SOLUSDT,2026-03-22 16:00:00.002000+00:00,-0.00012882,87.52921056
SOLUSDT,2026-03-23 00:00:00+00:00,-6.305e-05,86.17476311
SOLUSDT,2026-03-23 08:00:00.003000+00:00,-1.921e-05,85.93
SOLUSDT,2026-03-23 16:00:00.002000+00:00,4.974e-05,89.91
SOLUSDT,2026-03-24 00:00:00+00:00,0.0001,91.4
SOLUSDT,2026-03-24 08:00:00+00:00,2.758e-05,91.7
SOLUSDT,2026-03-24 16:00:00.003000+00:00,-0.00011027,89.69
SOLUSDT,2026-03-25 00:00:00+00:00,-4.578e-05,90.75217934
SOLUSDT,2026-03-25 08:00:00+00:00,6.687e-05,91.78
SOLUSDT,2026-03-25 16:00:00.013000+00:00,9.615e-05,91.73664664
SOLUSDT,2026-03-26 00:00:00.001000+00:00,8.033e-05,91.65490413
SOLUSDT,2026-03-26 08:00:00.001000+00:00,-0.00019611,89.04
SOLUSDT,2026-03-26 16:00:00+00:00,-0.00022349,87.47489853
SOLUSDT,2026-03-27 00:00:00.006000+00:00,-0.00022517,86.47056766
SOLUSDT,2026-03-27 08:00:00+00:00,-0.00019053,85.86
SOLUSDT,2026-03-27 16:00:00+00:00,-0.0003981,83.25108506
