open_time,open,high,low,close,volume,close_time,quote_volume,trade_count,taker_buy_base_vol,taker_buy_quote_vol
2026-03-13 17:00:00+00:00,89.56,90.14,88.52,88.82,1526137.26,2026-03-13 17:59:59.999000+00:00,136160192.231,128825,792545.3,70707832.0148
2026-03-13 18:00:00+00:00,88.83,89.08,88.3,88.77,1194861.7,2026-03-13 18:59:59.999000+00:00,105983871.7388,96793,632449.05,56109132.1465
2026-03-13 19:00:00+00:00,88.76,89.0,88.3,88.86,919401.37,2026-03-13 19:59:59.999000+00:00,81549069.4521,81060,470543.02,41748807.1362
2026-03-13 20:00:00+00:00,88.86,89.06,88.48,88.84,683066.53,2026-03-13 20:59:59.999000+00:00,60648426.3789,55157,354754.5,31499052.2842
2026-03-13 21:00:00+00:00,88.84,89.09,88.24,88.53,509743.73,2026-03-13 21:59:59.999000+00:00,45191394.9016,49841,228611.84,20268608.7691
2026-03-13 22:00:00+00:00,88.52,88.61,87.68,87.97,960928.26,2026-03-13 22:59:59.999000+00:00,84538281.2486,85463,478026.93,42048814.8348
2026-03-13 23:00:00+00:00,87.96,88.21,87.75,88.12,385291.1,2026-03-13 23:59:59.999000+00:00,33920722.8407,43745,217517.5,19150568.7778
2026-03-14 00:00:00+00:00,88.11,88.33,87.79,87.89,489478.88,2026-03-14 00:59:59.999000+00:00,43091169.8456,47521,248974.33,21922406.3961
2026-03-14 01:00:00+00:00,87.88,88.33,87.75,88.19,439669.85,2026-03-14 01:59:59.999000+00:00,38712385.4367,41620,248107.52,21847506.5607
2026-03-14 02:00:00+00:00,88.19,88.28,87.93,88.18,236784.34,2026-03-14 02:59:59.999000+00:00,20864661.4863,29041,128507.41,11324358.6911
2026-03-14 03:00:00+00:00,88.18,88.57,88.17,88.35,450142.49,2026-03-14 03:59:59.999000+00:00,39795275.5245,41658,239140.63,21141829.717
2026-03-14 04:00:00+00:00,88.35,88.66,88.16,88.2,461409.08,2026-03-14 04:59:59.999000+00:00,40805680.7115,40797,223090.14,19733394.7166
2026-03-14 05:00:00+00:00,88.2,88.35,87.83,88.03,553314.35,2026-03-14 05:59:59.999000+00:00,48742293.5808,44161,239519.36,21099196.7525
2026-03-14 06:00:00+00:00,88.02,88.05,86.87,87.2,1117172.4,2026-03-14 06:59:59.999000+00:00,97607061.525,85835,526565.29,45997083.8247
2026-03-14 07:00:00+00:00,87.2,87.38,87.11,87.27,366247.24,2026-03-14 07:59:59.999000+00:00,31959037.6185,38102,202998.4,17716145.8866
2026-03-14 08:00:00+00:00,87.27,87.51,87.01,87.08,410260.54,2026-03-14 08:59:59.999000+00:00,35800389.5773,38895,179268.55,15648080.5008
2026-03-14 09:00:00+00:00,87.09,87.26,86.56,86.78,605017.16,2026-03-14 09:59:59.999000+00:00,52579260.2391,50099,258038.16,22431390.9284
2026-03-14 10:00:00+00:00,86.79,86.88,86.41,86.6,582525.49,2026-03-14 10:59:59.999000+00:00,50461055.9089,46752,256483.83,22222705.0705
2026-03-14 11:00:00+00:00,86.61,86.96,86.58,86.9,484615.4,2026-03-14 11:59:59.999000+00:00,42065652.5022,40613,283897.43,24643591.7299
2026-03-14 12:00:00+00:00,86.9,87.07,86.74,87.04,516965.0,2026-03-14 12:59:59.999000+00:00,44929496.0733,45343,276367.03,24021103.301
2026-03-14 13:00:00+00:00,87.05,87.31,86.96,87.04,470622.97,2026-03-14 13:59:59.999000+00:00,41014731.2917,42134,243308.98,21206030.2974
2026-03-14 14:00:00+00:00,87.04,87.18,86.57,86.66,501222.51,2026-03-14 14:59:59.999000+00:00,43517825.7048,47086,220222.0,19121811.2116
2026-03-14 15:00:00+00:00,86.65,86.87,86.57,86.67,299611.17,2026-03-14 15:59:59.999000+00:00,25983632.2034,32770,160268.57,13899977.5063
2026-03-14 16:00:00+00:00,86.67,87.07,86.57,87.01,370203.82,2026-03-14 16:59:59.999000+00:00,32146063.6061,34439,219011.91,19018136.4807
2026-03-14 17:00:00+00:00,87.01,87.04,86.77,86.82,221405.09,2026-03-14 17:59:59.999000+00:00,19246329.3341,23121,90478.48,7865723.9798
2026-03-14 18:00:00+00:00,86.82,87.06,86.73,86.98,207747.06,2026-03-14 18:59:59.999000+00:00,18048271.0719,20725,122850.19,10673850.0255
2026-03-14 19:00:00+00:00,86.97,87.03,86.84,86.95,171697.32,2026-03-14 19:59:59.999000+00:00,14924821.0747,20181,95081.52,8265420.3365
2026-03-14 20:00:00+00:00,86.96,87.1,86.82,87.02,209036.54,2026-03-14 20:59:59.999000+00:00,18174995.1545,22796,125649.98,10925991.3335
2026-03-14 21:00:00+00:00,87.02,87.29,86.8,87.22,220991.0,2026-03-14 21:59:59.999000+00:00,19237279.7109,27286,119100.88,10369302.2809
2026-03-14 22:00:00+00:00,87.22,87.41,87.15,87.25,268532.07,2026-03-14 22:59:59.999000+00:00,23437511.0012,37265,144321.99,12596943.425
2026-03-14 23:00:00+00:00,87.26,88.12,87.25,87.99,817996.88,2026-03-14 23:59:59.999000+00:00,71874561.2171,76974,433315.01,38069272.2334
2026-03-15 00:00:00+00:00,88.0,88.16,87.62,87.7,455938.67,2026-03-15 00:59:59.999000+00:00,40070138.9374,50191,209957.66,18457158.5467
2026-03-15 01:00:00+00:00,87.7,87.86,87.51,87.62,376521.98,2026-03-15 01:59:59.999000+00:00,33009596.4587,41683,173361.9,15201009.0473
