symbol,longAccount,longShortRatio,shortAccount,timestamp
SOLUSDT,0.6204,1.6344,0.3796,2026-03-13 17:00:00+00:00
SOLUSDT,0.624,1.6596,0.376,2026-03-13 18:00:00+00:00
SOLUSDT,0.6298,1.7012,0.3702,2026-03-13 19:00:00+00:00
SOLUSDT,0.6335,1.7285,0.3665,2026-03-13 20:00:00+00:00
SOLUSDT,0.6388,1.7685,0.3612,2026-03-13 21:00:00+00:00
SOLUSDT,0.6406,1.7824,0.3594,2026-03-13 22:00:00+00:00
SOLUSDT,0.6443,1.8114,0.3557,2026-03-13 23:00:00+00:00
SOLUSDT,0.6489,1.8482,0.3511,2026-03-14 00:00:00+00:00
SOLUSDT,0.6514,1.8686,0.3486,2026-03-14 01:00:00+00:00
SOLUSDT,0.6537,1.8877,0.3463,2026-03-14 02:00:00+00:00
SOLUSDT,0.6548,1.8969,0.3452,2026-03-14 03:00:00+00:00
SOLUSDT,0.6672,2.0048,0.3328,2026-03-14 04:00:00+00:00
SOLUSDT,0.6706,2.0358,0.3294,2026-03-14 05:00:00+00:00
SOLUSDT,0.6677,2.0093,0.3323,2026-03-14 06:00:00+00:00
SOLUSDT,0.67,2.0303,0.33,2026-03-14 07:00:00+00:00
SOLUSDT,0.6702,2.0321,0.3298,2026-03-14 08:00:00+00:00
SOLUSDT,0.6705,2.0349,0.3295,2026-03-14 09:00:00+00:00
SOLUSDT,0.6716,2.0451,0.3284,2026-03-14 10:00:00+00:00
SOLUSDT,0.6718,2.0469,0.3282,2026-03-14 11:00:00+00:00
SOLUSDT,0.6799,2.124,0.3201,2026-03-14 12:00:00+00:00
SOLUSDT,0.6833,2.1576,0.3167,2026-03-14 13:00:00+00:00
SOLUSDT,0.6882,2.2072,0.3118,2026-03-14 14:00:00+00:00
SOLUSDT,0.6861,2.1857,0.3139,2026-03-14 15:00:00+00:00
SOLUSDT,0.6869,2.1939,0.3131,2026-03-14 16:00:00+00:00
SOLUSDT,0.6905,2.231,0.3095,2026-03-14 17:00:00+00:00
SOLUSDT,0.6894,2.2196,0.3106,2026-03-14 18:00:00+00:00
SOLUSDT,0.689,2.2154,0.311,2026-03-14 19:00:00+00:00
SOLUSDT,0.6929,2.2563,0.3071,2026-03-14 20:00:00+00:00
SOLUSDT,0.6943,2.2712,0.3057,2026-03-14 21:00:00+00:00
SOLUSDT,0.6954,2.283,0.3046,2026-03-14 22:00:00+00:00
SOLUSDT,0.6963,2.2927,0.3037,2026-03-14 23:00:00+00:00
SOLUSDT,0.7011,2.3456,0.2989,2026-03-15 00:00:00+00:00
SOLUSDT,0.6976,2.3069,0.3024,2026-03-15 01:00:00+00:00
SOLUSDT,0.6965,2.2949,0.3035,2026-03-15 02:00:00+00:00
SOLUSDT,0.7017,2.3523,0.2983,2026-03-15 03:00:00+00:00
SOLUSDT,0.7024,2.3602,0.2976,2026-03-15 04:00:00+00:00
SOLUSDT,0.7005,2.3389,0.2995,2026-03-15 05:00:00+00:00
SOLUSDT,0.6994,2.3267,0.3006,2026-03-15 06:00:00+00:00
SOLUSDT,0.6971,2.3014,0.3029,2026-03-15 07:00:00+00:00
SOLUSDT,0.6953,2.2819,0.3047,2026-03-15 08:00:00+00:00
SOLUSDT,0.6947,2.2755,0.3053,2026-03-15 09:00:00+00:00
SOLUSDT,0.6959,2.2884,0.3041,2026-03-15 10:00:00+00:00
SOLUSDT,0.6953,2.2819,0.3047,2026-03-15 11:00:00+00:00
SOLUSDT,0.6922,2.2489,0.3078,2026-03-15 12:00:00+00:00
SOLUSDT,0.691,2.2362,0.309,2026-03-15 13:00:00+00:00
SOLUSDT,0.6881,2.2062,0.3119,2026-03-15 14:00:00+00:00
SOLUSDT,0.6851,2.1756,0.3149,2026-03-15 15:00:00+00:00
SOLUSDT,0.6857,2.1817,0.3143,2026-03-15 16:00:00+00:00
SOLUSDT,0.6867,2.1918,0.3133,2026-03-15 17:00:00+00:00
SOLUSDT,0.6883,2.2082,0.3117,2026-03-15 18:00:00+00:00
SOLUSDT,0.6888,2.2134,0.3112,2026-03-15 19:00:00+00:00
SOLUSDT,0.689,2.2154,0.311,2026-03-15 20:00:00+00:00
SOLUSDT,0.6857,2.1817,0.3143,2026-03-15 21:00:00+00:00
SOLUSDT,0.6787,2.1124,0.3213,2026-03-15 22:00:00+00:00
SOLUSDT,0.6524,1.8769,0.3476,2026-03-15 23:00:00+00:00
SOLUSDT,0.6261,1.6745,0.3739,2026-03-16 00:00:00+00:00
SOLUSDT,0.614,1.5907,0.386,2026-03-16 01:00:00+00:00
SOLUSDT,0.6083,1.553,0.3917,2026-03-16 02:00:00+00:00
SOLUSDT,0.6083,1.553,0.3917,2026-03-16 03:00:00+00:00
SOLUSDT,0.6013,1.5082,0.3987,2026-03-16 04:00:00+00:00
SOLUSDT,0.5982,1.4888,0.4018,2026-03-16 05:00:00+00:00
SOLUSDT,0.5932,1.4582,0.4068,2026-03-16 06:00:00+00:00
SOLUSDT,0.5874,1.4237,0.4126,2026-03-16 07:00:00+00:00
SOLUSDT,0.5803,1.3827,0.4197,2026-03-16 08:00:00+00:00
SOLUSDT,0.5759,1.3579,0.4241,2026-03-16 09:00:00+00:00
SOLUSDT,0.5785,1.3725,0.4215,2026-03-16 10:00:00+00:00
SOLUSDT,0.5773,1.3657,0.4227,2026-03-16 11:00:00+00:00
