symbol,longAccount,longShortRatio,shortAccount,timestamp
SOLUSDT,0.6487,1.8466,0.3513,2026-03-25 22:40:00+00:00
SOLUSDT,0.6498,1.8555,0.3502,2026-03-25 22:45:00+00:00
SOLUSDT,0.6504,1.8604,0.3496,2026-03-25 22:50:00+00:00
SOLUSDT,0.6501,1.858,0.3499,2026-03-25 22:55:00+00:00
SOLUSDT,0.6501,1.858,0.3499,2026-03-25 23:00:00+00:00
SOLUSDT,0.6505,1.8612,0.3495,2026-03-25 23:05:00+00:00
SOLUSDT,0.6508,1.8637,0.3492,2026-03-25 23:10:00+00:00
SOLUSDT,0.6509,1.8645,0.3491,2026-03-25 23:15:00+00:00
SOLUSDT,0.6511,1.8662,0.3489,2026-03-25 23:20:00+00:00
SOLUSDT,0.6511,1.8662,0.3489,2026-03-25 23:25:00+00:00
SOLUSDT,0.651,1.8653,0.349,2026-03-25 23:30:00+00:00
SOLUSDT,0.651,1.8653,0.349,2026-03-25 23:35:00+00:00
SOLUSDT,0.651,1.8653,0.349,2026-03-25 23:40:00+00:00
SOLUSDT,0.6508,1.8637,0.3492,2026-03-25 23:45:00+00:00
SOLUSDT,0.651,1.8653,0.349,2026-03-25 23:50:00+00:00
SOLUSDT,0.651,1.8653,0.349,2026-03-25 23:55:00+00:00
SOLUSDT,0.6512,1.867,0.3488,2026-03-26 00:00:00+00:00
SOLUSDT,0.6535,1.886,0.3465,2026-03-26 00:05:00+00:00
SOLUSDT,0.6533,1.8843,0.3467,2026-03-26 00:10:00+00:00
SOLUSDT,0.653,1.8818,0.347,2026-03-26 00:15:00+00:00
SOLUSDT,0.6533,1.8843,0.3467,2026-03-26 00:20:00+00:00
SOLUSDT,0.6535,1.886,0.3465,2026-03-26 00:25:00+00:00
SOLUSDT,0.6534,1.8852,0.3466,2026-03-26 00:30:00+00:00
SOLUSDT,0.6534,1.8852,0.3466,2026-03-26 00:35:00+00:00
SOLUSDT,0.6537,1.8877,0.3463,2026-03-26 00:40:00+00:00
SOLUSDT,0.6536,1.8868,0.3464,2026-03-26 00:45:00+00:00
SOLUSDT,0.6546,1.8952,0.3454,2026-03-26 00:50:00+00:00
SOLUSDT,0.655,1.8986,0.345,2026-03-26 00:55:00+00:00
SOLUSDT,0.6553,1.9011,0.3447,2026-03-26 01:00:00+00:00
SOLUSDT,0.6534,1.8852,0.3466,2026-03-26 01:05:00+00:00
SOLUSDT,0.6535,1.886,0.3465,2026-03-26 01:10:00+00:00
SOLUSDT,0.6533,1.8843,0.3467,2026-03-26 01:15:00+00:00
SOLUSDT,0.6535,1.886,0.3465,2026-03-26 01:20:00+00:00
SOLUSDT,0.6535,1.886,0.3465,2026-03-26 01:25:00+00:00
SOLUSDT,0.6533,1.8843,0.3467,2026-03-26 01:30:00+00:00
SOLUSDT,0.6535,1.886,0.3465,2026-03-26 01:35:00+00:00
SOLUSDT,0.6541,1.891,0.3459,2026-03-26 01:40:00+00:00
SOLUSDT,0.6546,1.8952,0.3454,2026-03-26 01:45:00+00:00
SOLUSDT,0.6546,1.8952,0.3454,2026-03-26 01:50:00+00:00
SOLUSDT,0.6544,1.8935,0.3456,2026-03-26 01:55:00+00:00
SOLUSDT,0.6545,1.8944,0.3455,2026-03-26 02:00:00+00:00
SOLUSDT,0.655,1.8986,0.345,2026-03-26 02:05:00+00:00
SOLUSDT,0.6553,1.9011,0.3447,2026-03-26 02:10:00+00:00
SOLUSDT,0.6551,1.8994,0.3449,2026-03-26 02:15:00+00:00
SOLUSDT,0.6554,1.9019,0.3446,2026-03-26 02:20:00+00:00
SOLUSDT,0.6553,1.9011,0.3447,2026-03-26 02:25:00+00:00
SOLUSDT,0.6551,1.8994,0.3449,2026-03-26 02:30:00+00:00
SOLUSDT,0.6563,1.9095,0.3437,2026-03-26 02:35:00+00:00
SOLUSDT,0.6572,1.9172,0.3428,2026-03-26 02:40:00+00:00
SOLUSDT,0.6582,1.9257,0.3418,2026-03-26 02:45:00+00:00
SOLUSDT,0.6585,1.9283,0.3415,2026-03-26 02:50:00+00:00
SOLUSDT,0.6591,1.9334,0.3409,2026-03-26 02:55:00+00:00
SOLUSDT,0.6591,1.9334,0.3409,2026-03-26 03:00:00+00:00
SOLUSDT,0.6591,1.9334,0.3409,2026-03-26 03:05:00+00:00
SOLUSDT,0.6588,1.9308,0.3412,2026-03-26 03:10:00+00:00
SOLUSDT,0.6594,1.936,0.3406,2026-03-26 03:15:00+00:00
SOLUSDT,0.6599,1.9403,0.3401,2026-03-26 03:20:00+00:00
