symbol,sumOpenInterest,sumOpenInterestValue,CMCCirculatingSupply,timestamp
SOLUSDT,9892670.04,885888602.082,571115766.28898330,2026-03-13 17:00:00+00:00
SOLUSDT,9860709.4,875926816.002,571115766.28898330,2026-03-13 18:00:00+00:00
SOLUSDT,9854289.17,874765249.6209,571115766.28898330,2026-03-13 19:00:00+00:00
SOLUSDT,9788670.24,869625464.1216,571115766.28898330,2026-03-13 20:00:00+00:00
SOLUSDT,9755681.06,866816476.4642886,571115766.28898330,2026-03-13 21:00:00+00:00
SOLUSDT,9639433.14,853282621.5528,571115766.28898330,2026-03-13 22:00:00+00:00
SOLUSDT,9640856.69,848090352.3999627,571115766.28898330,2026-03-13 23:00:00+00:00
SOLUSDT,9600995.54,846002361.1582878,571115766.28898330,2026-03-14 00:00:00+00:00
SOLUSDT,9591250.28,843125381.462353,571115766.28898330,2026-03-14 01:00:00+00:00
SOLUSDT,9590145.42,845850826.044,571115766.28898330,2026-03-14 02:00:00+00:00
SOLUSDT,9599897.39,846518951.8502,571236099.00980090,2026-03-14 03:00:00+00:00
SOLUSDT,9570862.21,845681384.8756,571236099.00980090,2026-03-14 04:00:00+00:00
SOLUSDT,9547416.7,842082152.94,571236099.00980090,2026-03-14 05:00:00+00:00
SOLUSDT,9571377.56,842568366.6068,571236099.00980090,2026-03-14 06:00:00+00:00
SOLUSDT,9522783.51,830345494.7044388,571236099.00980090,2026-03-14 07:00:00+00:00
SOLUSDT,9526875.9,831531615.8366144,571236099.00980090,2026-03-14 08:00:00+00:00
SOLUSDT,9530470.21,830010520.6577646,571236099.00980090,2026-03-14 09:00:00+00:00
SOLUSDT,9505903.16,825101476.8532798,571236099.00980090,2026-03-14 10:00:00+00:00
SOLUSDT,9481106.4,821063814.24,571236099.00980090,2026-03-14 11:00:00+00:00
SOLUSDT,9480420.53,823943348.2623,571236099.00980090,2026-03-14 12:00:00+00:00
SOLUSDT,9499394.06,826946378.4391003,571236099.00980090,2026-03-14 13:00:00+00:00
SOLUSDT,9473948.23,824733300.7806374,571236099.00980090,2026-03-14 14:00:00+00:00
SOLUSDT,9468454.58,820525653.9894586,571236099.00980090,2026-03-14 15:00:00+00:00
SOLUSDT,9476943.91,821389420.3689675,571236099.00980090,2026-03-14 16:00:00+00:00
SOLUSDT,9485969.64,825469078.0728,571236099.00980090,2026-03-14 17:00:00+00:00
SOLUSDT,9473613.2,822593834.156,571236099.00980090,2026-03-14 18:00:00+00:00
SOLUSDT,9481742.95,824640268.3134141,571236099.00980090,2026-03-14 19:00:00+00:00
SOLUSDT,9479295.91,824294961.8063866,571236099.00980090,2026-03-14 20:00:00+00:00
SOLUSDT,9471503.76,824399687.2704,571236099.00980090,2026-03-14 21:00:00+00:00
SOLUSDT,9452615.48,824490959.8822861,571236099.00980090,2026-03-14 22:00:00+00:00
SOLUSDT,9465547.33,825963660.0158,571236099.00980090,2026-03-14 23:00:00+00:00
SOLUSDT,9429570.27,829802183.76,571236099.00980090,2026-03-15 00:00:00+00:00
SOLUSDT,9396121.99,824027109.7432431,571236099.00980090,2026-03-15 01:00:00+00:00
SOLUSDT,9377687.06,821735753.3517809,571236099.00980090,2026-03-15 02:00:00+00:00
SOLUSDT,9376105.8,827347575.792,571235325.87533100,2026-03-15 03:00:00+00:00
SOLUSDT,9375733.61,823194602.6767292,571235325.87533100,2026-03-15 04:00:00+00:00
SOLUSDT,9372620.63,827414949.2164,571235325.87533100,2026-03-15 05:00:00+00:00
SOLUSDT,9384015.45,828327043.7715,571235325.87533100,2026-03-15 06:00:00+00:00
SOLUSDT,9391657.92,829377310.9152,571235325.87533100,2026-03-15 07:00:00+00:00
SOLUSDT,9382710.57,827367418.0626,571235325.87533100,2026-03-15 08:00:00+00:00
SOLUSDT,9396263.77,831005567.8188,571235325.87533100,2026-03-15 09:00:00+00:00
SOLUSDT,9392198.22,831137111.4340011,571235325.87533100,2026-03-15 10:00:00+00:00
