buySellRatio,sellVol,buyVol,timestamp
1.0888,875376.16,953119.12,2026-03-13 16:00:00+00:00
1.0686,750731.98,802214.87,2026-03-13 17:00:00+00:00
1.1127,577302.8,642372.68,2026-03-13 18:00:00+00:00
1.0358,457930.32,474332.69,2026-03-13 19:00:00+00:00
1.0633,339334.35,360811.72,2026-03-13 20:00:00+00:00
0.8142,291221.81,237108.12,2026-03-13 21:00:00+00:00
0.9876,490705.49,484616.61,2026-03-13 22:00:00+00:00
1.2658,175593.16,222272.0,2026-03-13 23:00:00+00:00
1.016,249916.27,253915.9,2026-03-14 00:00:00+00:00
1.277,196219.06,250577.52,2026-03-14 01:00:00+00:00
1.1813,110978.1,131099.18,2026-03-14 02:00:00+00:00
1.1137,218476.2,243313.59,2026-03-14 03:00:00+00:00
0.9181,246026.9,225880.02,2026-03-14 04:00:00+00:00
0.7591,321878.11,244345.83,2026-03-14 05:00:00+00:00
0.8969,599742.77,537922.9,2026-03-14 06:00:00+00:00
1.2338,168881.18,208364.98,2026-03-14 07:00:00+00:00
0.7819,238341.89,186366.7,2026-03-14 08:00:00+00:00
0.7491,353961.86,265141.15,2026-03-14 09:00:00+00:00
0.767,346337.13,265653.39,2026-03-14 10:00:00+00:00
1.3284,221095.31,293708.71,2026-03-14 11:00:00+00:00
1.0837,261531.25,283423.29,2026-03-14 12:00:00+00:00
0.9968,249099.95,248311.47,2026-03-14 13:00:00+00:00
0.7651,296251.04,226658.78,2026-03-14 14:00:00+00:00
1.1069,148814.24,164724.61,2026-03-14 15:00:00+00:00
1.3701,162092.98,222090.58,2026-03-14 16:00:00+00:00
0.6626,139402.83,92361.54,2026-03-14 17:00:00+00:00
1.3889,90479.2,125669.69,2026-03-14 18:00:00+00:00
1.197,81999.88,98157.75,2026-03-14 19:00:00+00:00
1.442,89365.12,128867.15,2026-03-14 20:00:00+00:00
1.1347,107974.94,122518.71,2026-03-14 21:00:00+00:00
1.1109,133029.9,147787.45,2026-03-14 22:00:00+00:00
1.0807,405819.79,438563.93,2026-03-14 23:00:00+00:00
0.8408,255517.9,214848.88,2026-03-15 00:00:00+00:00
0.8382,210773.8,176665.55,2026-03-15 01:00:00+00:00
1.1805,420633.05,496552.73,2026-03-15 02:00:00+00:00
0.6581,306447.21,201659.72,2026-03-15 03:00:00+00:00
