buySellRatio,sellVol,buyVol,timestamp
1.266,40314.0,51039.0,2026-03-25 22:35:00+00:00
0.8328,74132.31,61738.23,2026-03-25 22:40:00+00:00
1.3561,39672.4,53799.23,2026-03-25 22:45:00+00:00
0.8002,36852.41,29487.92,2026-03-25 22:50:00+00:00
0.9966,18046.04,17985.17,2026-03-25 22:55:00+00:00
1.3981,14816.35,20714.22,2026-03-25 23:00:00+00:00
0.7045,12741.56,8976.68,2026-03-25 23:05:00+00:00
0.485,12609.45,6115.05,2026-03-25 23:10:00+00:00
0.5389,31863.47,17171.28,2026-03-25 23:15:00+00:00
0.5859,25967.05,15215.12,2026-03-25 23:20:00+00:00
1.163,12652.78,14715.6,2026-03-25 23:25:00+00:00
1.4662,8614.31,12630.04,2026-03-25 23:30:00+00:00
1.5295,13191.3,20176.74,2026-03-25 23:35:00+00:00
1.1486,13946.19,16019.0,2026-03-25 23:40:00+00:00
0.6223,13831.08,8606.4,2026-03-25 23:45:00+00:00
1.0903,15956.78,17396.98,2026-03-25 23:50:00+00:00
1.0295,10105.2,10403.22,2026-03-25 23:55:00+00:00
0.7689,37426.28,28776.65,2026-03-26 00:00:00+00:00
0.9737,18670.68,18179.89,2026-03-26 00:05:00+00:00
1.1609,15023.24,17440.99,2026-03-26 00:10:00+00:00
0.7465,27375.74,20435.32,2026-03-26 00:15:00+00:00
0.6892,23685.1,16323.44,2026-03-26 00:20:00+00:00
1.0511,10463.35,10997.9,2026-03-26 00:25:00+00:00
1.3024,14828.44,19312.24,2026-03-26 00:30:00+00:00
0.9349,17879.73,16716.58,2026-03-26 00:35:00+00:00
0.6609,16538.74,10930.07,2026-03-26 00:40:00+00:00
1.0205,26233.48,26771.53,2026-03-26 00:45:00+00:00
0.4099,38527.72,15791.06,2026-03-26 00:50:00+00:00
1.3199,16412.51,21662.42,2026-03-26 00:55:00+00:00
3.1366,14340.3,44979.07,2026-03-26 01:00:00+00:00
0.7258,14379.09,10436.71,2026-03-26 01:05:00+00:00
