symbol,longAccount,longShortRatio,shortAccount,timestamp
SOLUSDT,0.5795,1.378,0.4205,2026-03-13 17:00:00+00:00
SOLUSDT,0.5876,1.4248,0.4124,2026-03-13 18:00:00+00:00
SOLUSDT,0.5877,1.4252,0.4123,2026-03-13 19:00:00+00:00
SOLUSDT,0.5883,1.4289,0.4117,2026-03-13 20:00:00+00:00
SOLUSDT,0.5863,1.4172,0.4137,2026-03-13 21:00:00+00:00
SOLUSDT,0.588,1.4272,0.412,2026-03-13 22:00:00+00:00
SOLUSDT,0.5895,1.4359,0.4105,2026-03-13 23:00:00+00:00
SOLUSDT,0.5909,1.4443,0.4091,2026-03-14 00:00:00+00:00
SOLUSDT,0.5912,1.4463,0.4088,2026-03-14 01:00:00+00:00
SOLUSDT,0.5938,1.4616,0.4062,2026-03-14 02:00:00+00:00
SOLUSDT,0.5915,1.4479,0.4085,2026-03-14 03:00:00+00:00
SOLUSDT,0.5889,1.4327,0.4111,2026-03-14 04:00:00+00:00
SOLUSDT,0.5922,1.4521,0.4078,2026-03-14 05:00:00+00:00
SOLUSDT,0.5881,1.428,0.4119,2026-03-14 06:00:00+00:00
SOLUSDT,0.5955,1.4724,0.4045,2026-03-14 07:00:00+00:00
SOLUSDT,0.5967,1.4793,0.4033,2026-03-14 08:00:00+00:00
SOLUSDT,0.5951,1.4697,0.4049,2026-03-14 09:00:00+00:00
SOLUSDT,0.5957,1.4736,0.4043,2026-03-14 10:00:00+00:00
SOLUSDT,0.5918,1.4498,0.4082,2026-03-14 11:00:00+00:00
SOLUSDT,0.5935,1.4598,0.4065,2026-03-14 12:00:00+00:00
SOLUSDT,0.5919,1.4503,0.4081,2026-03-14 13:00:00+00:00
SOLUSDT,0.5909,1.4443,0.4091,2026-03-14 14:00:00+00:00
SOLUSDT,0.5917,1.4493,0.4083,2026-03-14 15:00:00+00:00
SOLUSDT,0.5917,1.4492,0.4083,2026-03-14 16:00:00+00:00
SOLUSDT,0.5905,1.4423,0.4095,2026-03-14 17:00:00+00:00
SOLUSDT,0.5892,1.4344,0.4108,2026-03-14 18:00:00+00:00
SOLUSDT,0.5891,1.4337,0.4109,2026-03-14 19:00:00+00:00
SOLUSDT,0.5881,1.4275,0.4119,2026-03-14 20:00:00+00:00
SOLUSDT,0.5876,1.425,0.4124,2026-03-14 21:00:00+00:00
SOLUSDT,0.5876,1.4245,0.4124,2026-03-14 22:00:00+00:00
SOLUSDT,0.5864,1.4179,0.4136,2026-03-14 23:00:00+00:00
SOLUSDT,0.5843,1.4057,0.4157,2026-03-15 00:00:00+00:00
SOLUSDT,0.5856,1.4133,0.4144,2026-03-15 01:00:00+00:00
SOLUSDT,0.583,1.3981,0.417,2026-03-15 02:00:00+00:00
SOLUSDT,0.5829,1.3975,0.4171,2026-03-15 03:00:00+00:00
SOLUSDT,0.5847,1.4081,0.4153,2026-03-15 04:00:00+00:00
SOLUSDT,0.5846,1.4072,0.4154,2026-03-15 05:00:00+00:00
SOLUSDT,0.5815,1.3892,0.4185,2026-03-15 06:00:00+00:00
SOLUSDT,0.5791,1.376,0.4209,2026-03-15 07:00:00+00:00
SOLUSDT,0.5778,1.3684,0.4222,2026-03-15 08:00:00+00:00
SOLUSDT,0.5757,1.357,0.4243,2026-03-15 09:00:00+00:00
SOLUSDT,0.5759,1.3582,0.4241,2026-03-15 10:00:00+00:00
SOLUSDT,0.5766,1.3619,0.4234,2026-03-15 11:00:00+00:00
SOLUSDT,0.5749,1.3526,0.4251,2026-03-15 12:00:00+00:00
SOLUSDT,0.5751,1.3534,0.4249,2026-03-15 13:00:00+00:00
SOLUSDT,0.5762,1.3596,0.4238,2026-03-15 14:00:00+00:00
SOLUSDT,0.5755,1.3555,0.4245,2026-03-15 15:00:00+00:00
SOLUSDT,0.5748,1.352,0.4252,2026-03-15 16:00:00+00:00
SOLUSDT,0.5763,1.3601,0.4237,2026-03-15 17:00:00+00:00
SOLUSDT,0.5776,1.3672,0.4224,2026-03-15 18:00:00+00:00
SOLUSDT,0.5744,1.3498,0.4256,2026-03-15 19:00:00+00:00
SOLUSDT,0.575,1.3527,0.425,2026-03-15 20:00:00+00:00
SOLUSDT,0.5741,1.3481,0.4259,2026-03-15 21:00:00+00:00
SOLUSDT,0.5647,1.2974,0.4353,2026-03-15 22:00:00+00:00
SOLUSDT,0.5657,1.3026,0.4343,2026-03-15 23:00:00+00:00
SOLUSDT,0.5649,1.2982,0.4351,2026-03-16 00:00:00+00:00
SOLUSDT,0.565,1.2987,0.435,2026-03-16 01:00:00+00:00
SOLUSDT,0.5676,1.3126,0.4324,2026-03-16 02:00:00+00:00
SOLUSDT,0.5695,1.3231,0.4305,2026-03-16 03:00:00+00:00
SOLUSDT,0.5735,1.3444,0.4265,2026-03-16 04:00:00+00:00
SOLUSDT,0.5707,1.3293,0.4293,2026-03-16 05:00:00+00:00
SOLUSDT,0.5775,1.3668,0.4225,2026-03-16 06:00:00+00:00
SOLUSDT,0.5814,1.3887,0.4186,2026-03-16 07:00:00+00:00
SOLUSDT,0.5813,1.3885,0.4187,2026-03-16 08:00:00+00:00
SOLUSDT,0.5822,1.3937,0.4178,2026-03-16 09:00:00+00:00
SOLUSDT,0.5879,1.4268,0.4121,2026-03-16 10:00:00+00:00
SOLUSDT,0.5847,1.4078,0.4153,2026-03-16 11:00:00+00:00
SOLUSDT,0.5834,1.4001,0.4166,2026-03-16 12:00:00+00:00
SOLUSDT,0.581,1.3868,0.419,2026-03-16 13:00:00+00:00
SOLUSDT,0.5809,1.3863,0.4191,2026-03-16 14:00:00+00:00
SOLUSDT,0.5879,1.4266,0.4121,2026-03-16 15:00:00+00:00
SOLUSDT,0.585,1.4095,0.415,2026-03-16 16:00:00+00:00
SOLUSDT,0.5862,1.4169,0.4138,2026-03-16 17:00:00+00:00
SOLUSDT,0.5852,1.4106,0.4148,2026-03-16 18:00:00+00:00
SOLUSDT,0.5886,1.4306,0.4114,2026-03-16 19:00:00+00:00
SOLUSDT,0.5868,1.4203,0.4132,2026-03-16 20:00:00+00:00
SOLUSDT,0.5874,1.4238,0.4126,2026-03-16 21:00:00+00:00
SOLUSDT,0.5857,1.414,0.4143,2026-03-16 22:00:00+00:00
SOLUSDT,0.5859,1.415,0.4141,2026-03-16 23:00:00+00:00
SOLUSDT,0.5846,1.4071,0.4154,2026-03-17 00:00:00+00:00
SOLUSDT,0.5879,1.4263,0.4121,2026-03-17 01:00:00+00:00
SOLUSDT,0.5892,1.4341,0.4108,2026-03-17 02:00:00+00:00
SOLUSDT,0.594,1.4628,0.406,2026-03-17 03:00:00+00:00
SOLUSDT,0.6021,1.5133,0.3979,2026-03-17 04:00:00+00:00
SOLUSDT,0.6022,1.5136,0.3978,2026-03-17 05:00:00+00:00
SOLUSDT,0.601,1.5063,0.399,2026-03-17 06:00:00+00:00
SOLUSDT,0.6012,1.5078,0.3988,2026-03-17 07:00:00+00:00
SOLUSDT,0.6014,1.5088,0.3986,2026-03-17 08:00:00+00:00
SOLUSDT,0.5985,1.4907,0.4015,2026-03-17 09:00:00+00:00
SOLUSDT,0.5978,1.4863,0.4022,2026-03-17 10:00:00+00:00
SOLUSDT,0.5987,1.4918,0.4013,2026-03-17 11:00:00+00:00
SOLUSDT,0.5999,1.4995,0.4001,2026-03-17 12:00:00+00:00
SOLUSDT,0.6008,1.5052,0.3992,2026-03-17 13:00:00+00:00
SOLUSDT,0.5999,1.4992,0.4001,2026-03-17 14:00:00+00:00
SOLUSDT,0.5965,1.478,0.4035,2026-03-17 15:00:00+00:00
SOLUSDT,0.5982,1.4889,0.4018,2026-03-17 16:00:00+00:00
SOLUSDT,0.596,1.4752,0.404,2026-03-17 17:00:00+00:00
SOLUSDT,0.5956,1.4727,0.4044,2026-03-17 18:00:00+00:00
SOLUSDT,0.5942,1.4643,0.4058,2026-03-17 19:00:00+00:00
SOLUSDT,0.5949,1.4684,0.4051,2026-03-17 20:00:00+00:00
SOLUSDT,0.5965,1.4782,0.4035,2026-03-17 21:00:00+00:00
SOLUSDT,0.5962,1.4766,0.4038,2026-03-17 22:00:00+00:00
SOLUSDT,0.5941,1.4635,0.4059,2026-03-17 23:00:00+00:00
SOLUSDT,0.5938,1.4621,0.4062,2026-03-18 00:00:00+00:00
SOLUSDT,0.5958,1.474,0.4042,2026-03-18 01:00:00+00:00
SOLUSDT,0.5961,1.476,0.4039,2026-03-18 02:00:00+00:00
SOLUSDT,0.5916,1.4488,0.4084,2026-03-18 03:00:00+00:00
SOLUSDT,0.5932,1.4583,0.4068,2026-03-18 04:00:00+00:00
SOLUSDT,0.5955,1.4719,0.4045,2026-03-18 05:00:00+00:00
SOLUSDT,0.5993,1.4959,0.4007,2026-03-18 06:00:00+00:00
SOLUSDT,0.5961,1.4761,0.4039,2026-03-18 07:00:00+00:00
SOLUSDT,0.5964,1.4776,0.4036,2026-03-18 08:00:00+00:00
SOLUSDT,0.5952,1.4706,0.4048,2026-03-18 09:00:00+00:00
SOLUSDT,0.595,1.4689,0.405,2026-03-18 10:00:00+00:00
SOLUSDT,0.5961,1.4761,0.4039,2026-03-18 11:00:00+00:00
SOLUSDT,0.6006,1.5039,0.3994,2026-03-18 12:00:00+00:00
SOLUSDT,0.6103,1.5662,0.3897,2026-03-18 13:00:00+00:00
SOLUSDT,0.6116,1.5746,0.3884,2026-03-18 14:00:00+00:00
SOLUSDT,0.6186,1.6219,0.3814,2026-03-18 15:00:00+00:00
SOLUSDT,0.6195,1.6281,0.3805,2026-03-18 16:00:00+00:00
SOLUSDT,0.6202,1.6329,0.3798,2026-03-18 17:00:00+00:00
SOLUSDT,0.6144,1.5933,0.3856,2026-03-18 18:00:00+00:00
SOLUSDT,0.6119,1.5766,0.3881,2026-03-18 19:00:00+00:00
SOLUSDT,0.6129,1.5836,0.3871,2026-03-18 20:00:00+00:00
SOLUSDT,0.6124,1.5801,0.3876,2026-03-18 21:00:00+00:00
SOLUSDT,0.6104,1.5666,0.3896,2026-03-18 22:00:00+00:00
SOLUSDT,0.6102,1.5651,0.3898,2026-03-18 23:00:00+00:00
SOLUSDT,0.6108,1.5694,0.3892,2026-03-19 00:00:00+00:00
SOLUSDT,0.6101,1.5647,0.3899,2026-03-19 01:00:00+00:00
SOLUSDT,0.6098,1.5626,0.3902,2026-03-19 02:00:00+00:00
SOLUSDT,0.6069,1.544,0.3931,2026-03-19 03:00:00+00:00
SOLUSDT,0.5913,1.4465,0.4087,2026-03-19 04:00:00+00:00
SOLUSDT,0.582,1.3922,0.418,2026-03-19 05:00:00+00:00
SOLUSDT,0.5822,1.3937,0.4178,2026-03-19 06:00:00+00:00
SOLUSDT,0.5832,1.3994,0.4168,2026-03-19 07:00:00+00:00
SOLUSDT,0.6004,1.5024,0.3996,2026-03-19 08:00:00+00:00
SOLUSDT,0.5975,1.4847,0.4025,2026-03-19 09:00:00+00:00
SOLUSDT,0.5945,1.4663,0.4055,2026-03-19 10:00:00+00:00
SOLUSDT,0.591,1.4447,0.409,2026-03-19 11:00:00+00:00
SOLUSDT,0.591,1.4451,0.409,2026-03-19 12:00:00+00:00
SOLUSDT,0.596,1.4754,0.404,2026-03-19 13:00:00+00:00
SOLUSDT,0.5955,1.4724,0.4045,2026-03-19 14:00:00+00:00
SOLUSDT,0.5925,1.4538,0.4075,2026-03-19 15:00:00+00:00
SOLUSDT,0.5935,1.4598,0.4065,2026-03-19 16:00:00+00:00
SOLUSDT,0.5918,1.45,0.4082,2026-03-19 17:00:00+00:00
SOLUSDT,0.5932,1.4584,0.4068,2026-03-19 18:00:00+00:00
SOLUSDT,0.5925,1.4539,0.4075,2026-03-19 19:00:00+00:00
SOLUSDT,0.5848,1.4086,0.4152,2026-03-19 20:00:00+00:00
SOLUSDT,0.5849,1.409,0.4151,2026-03-19 21:00:00+00:00
SOLUSDT,0.5833,1.3999,0.4167,2026-03-19 22:00:00+00:00
SOLUSDT,0.5834,1.4003,0.4166,2026-03-19 23:00:00+00:00
SOLUSDT,0.5833,1.3998,0.4167,2026-03-20 00:00:00+00:00
SOLUSDT,0.5849,1.409,0.4151,2026-03-20 01:00:00+00:00
SOLUSDT,0.5835,1.4009,0.4165,2026-03-20 02:00:00+00:00
SOLUSDT,0.5838,1.4027,0.4162,2026-03-20 03:00:00+00:00
SOLUSDT,0.5827,1.3964,0.4173,2026-03-20 04:00:00+00:00
SOLUSDT,0.5856,1.4129,0.4144,2026-03-20 05:00:00+00:00
SOLUSDT,0.582,1.3921,0.418,2026-03-20 06:00:00+00:00
SOLUSDT,0.582,1.3921,0.418,2026-03-20 07:00:00+00:00
SOLUSDT,0.5818,1.3909,0.4182,2026-03-20 08:00:00+00:00
SOLUSDT,0.5829,1.3972,0.4171,2026-03-20 09:00:00+00:00
SOLUSDT,0.584,1.404,0.416,2026-03-20 10:00:00+00:00
SOLUSDT,0.5843,1.4055,0.4157,2026-03-20 11:00:00+00:00
SOLUSDT,0.584,1.4038,0.416,2026-03-20 12:00:00+00:00
SOLUSDT,0.5832,1.3995,0.4168,2026-03-20 13:00:00+00:00
SOLUSDT,0.5827,1.3965,0.4173,2026-03-20 14:00:00+00:00
SOLUSDT,0.5842,1.4049,0.4158,2026-03-20 15:00:00+00:00
SOLUSDT,0.5869,1.4204,0.4131,2026-03-20 16:00:00+00:00
