symbol,longAccount,longShortRatio,shortAccount,timestamp
SOLUSDT,0.564,1.2934,0.436,2026-03-25 22:40:00+00:00
SOLUSDT,0.5638,1.2925,0.4362,2026-03-25 22:45:00+00:00
SOLUSDT,0.5635,1.291,0.4365,2026-03-25 22:50:00+00:00
SOLUSDT,0.5634,1.2904,0.4366,2026-03-25 22:55:00+00:00
SOLUSDT,0.5634,1.2907,0.4366,2026-03-25 23:00:00+00:00
SOLUSDT,0.5635,1.2908,0.4365,2026-03-25 23:05:00+00:00
SOLUSDT,0.5633,1.2897,0.4367,2026-03-25 23:10:00+00:00
SOLUSDT,0.5631,1.2889,0.4369,2026-03-25 23:15:00+00:00
SOLUSDT,0.5629,1.2878,0.4371,2026-03-25 23:20:00+00:00
SOLUSDT,0.5628,1.2875,0.4372,2026-03-25 23:25:00+00:00
SOLUSDT,0.563,1.2884,0.437,2026-03-25 23:30:00+00:00
SOLUSDT,0.5631,1.2888,0.4369,2026-03-25 23:35:00+00:00
SOLUSDT,0.5636,1.2913,0.4364,2026-03-25 23:40:00+00:00
SOLUSDT,0.5638,1.2923,0.4362,2026-03-25 23:45:00+00:00
SOLUSDT,0.5638,1.2926,0.4362,2026-03-25 23:50:00+00:00
SOLUSDT,0.5637,1.2921,0.4363,2026-03-25 23:55:00+00:00
SOLUSDT,0.5637,1.2921,0.4363,2026-03-26 00:00:00+00:00
SOLUSDT,0.5635,1.2912,0.4365,2026-03-26 00:05:00+00:00
SOLUSDT,0.5634,1.2906,0.4366,2026-03-26 00:10:00+00:00
SOLUSDT,0.5635,1.2907,0.4365,2026-03-26 00:15:00+00:00
SOLUSDT,0.5633,1.2897,0.4367,2026-03-26 00:20:00+00:00
SOLUSDT,0.5634,1.2904,0.4366,2026-03-26 00:25:00+00:00
SOLUSDT,0.5634,1.2904,0.4366,2026-03-26 00:30:00+00:00
SOLUSDT,0.5635,1.2908,0.4365,2026-03-26 00:35:00+00:00
SOLUSDT,0.5635,1.2908,0.4365,2026-03-26 00:40:00+00:00
SOLUSDT,0.5633,1.2897,0.4367,2026-03-26 00:45:00+00:00
SOLUSDT,0.5626,1.2865,0.4374,2026-03-26 00:50:00+00:00
SOLUSDT,0.564,1.2935,0.436,2026-03-26 00:55:00+00:00
SOLUSDT,0.5635,1.2908,0.4365,2026-03-26 01:00:00+00:00
SOLUSDT,0.5629,1.2879,0.4371,2026-03-26 01:05:00+00:00
SOLUSDT,0.5629,1.2879,0.4371,2026-03-26 01:10:00+00:00
SOLUSDT,0.5629,1.2879,0.4371,2026-03-26 01:15:00+00:00
SOLUSDT,0.5627,1.287,0.4373,2026-03-26 01:20:00+00:00
SOLUSDT,0.5627,1.287,0.4373,2026-03-26 01:25:00+00:00
SOLUSDT,0.5626,1.2862,0.4374,2026-03-26 01:30:00+00:00
SOLUSDT,0.5626,1.2864,0.4374,2026-03-26 01:35:00+00:00
SOLUSDT,0.5626,1.2861,0.4374,2026-03-26 01:40:00+00:00
SOLUSDT,0.5629,1.288,0.4371,2026-03-26 01:45:00+00:00
SOLUSDT,0.563,1.2882,0.437,2026-03-26 01:50:00+00:00
SOLUSDT,0.5625,1.2859,0.4375,2026-03-26 01:55:00+00:00
SOLUSDT,0.5624,1.2854,0.4376,2026-03-26 02:00:00+00:00
SOLUSDT,0.5623,1.2846,0.4377,2026-03-26 02:05:00+00:00
SOLUSDT,0.5621,1.2838,0.4379,2026-03-26 02:10:00+00:00
SOLUSDT,0.5622,1.2844,0.4378,2026-03-26 02:15:00+00:00
SOLUSDT,0.5629,1.2876,0.4371,2026-03-26 02:20:00+00:00
SOLUSDT,0.5644,1.2955,0.4356,2026-03-26 02:25:00+00:00
SOLUSDT,0.564,1.2938,0.436,2026-03-26 02:30:00+00:00
SOLUSDT,0.5644,1.2955,0.4356,2026-03-26 02:35:00+00:00
SOLUSDT,0.5648,1.2978,0.4352,2026-03-26 02:40:00+00:00
SOLUSDT,0.565,1.299,0.435,2026-03-26 02:45:00+00:00
SOLUSDT,0.5655,1.3014,0.4345,2026-03-26 02:50:00+00:00
SOLUSDT,0.5652,1.2999,0.4348,2026-03-26 02:55:00+00:00
SOLUSDT,0.5652,1.2998,0.4348,2026-03-26 03:00:00+00:00
SOLUSDT,0.5649,1.2985,0.4351,2026-03-26 03:05:00+00:00
SOLUSDT,0.565,1.2986,0.435,2026-03-26 03:10:00+00:00
SOLUSDT,0.566,1.3042,0.434,2026-03-26 03:15:00+00:00
SOLUSDT,0.566,1.3039,0.434,2026-03-26 03:20:00+00:00
SOLUSDT,0.5657,1.3024,0.4343,2026-03-26 03:25:00+00:00
SOLUSDT,0.5662,1.3054,0.4338,2026-03-26 03:30:00+00:00
SOLUSDT,0.5661,1.3049,0.4339,2026-03-26 03:35:00+00:00
SOLUSDT,0.5656,1.3021,0.4344,2026-03-26 03:40:00+00:00
SOLUSDT,0.5663,1.3057,0.4337,2026-03-26 03:45:00+00:00
SOLUSDT,0.5664,1.306,0.4336,2026-03-26 03:50:00+00:00
SOLUSDT,0.5668,1.3085,0.4332,2026-03-26 03:55:00+00:00
SOLUSDT,0.5667,1.3081,0.4333,2026-03-26 04:00:00+00:00
SOLUSDT,0.5662,1.3051,0.4338,2026-03-26 04:05:00+00:00
SOLUSDT,0.5655,1.3013,0.4345,2026-03-26 04:10:00+00:00
SOLUSDT,0.5656,1.3018,0.4344,2026-03-26 04:15:00+00:00
SOLUSDT,0.5652,1.3001,0.4348,2026-03-26 04:20:00+00:00
SOLUSDT,0.5655,1.3017,0.4345,2026-03-26 04:25:00+00:00
SOLUSDT,0.5654,1.3009,0.4346,2026-03-26 04:30:00+00:00
SOLUSDT,0.565,1.2991,0.435,2026-03-26 04:35:00+00:00
SOLUSDT,0.5652,1.2998,0.4348,2026-03-26 04:40:00+00:00
SOLUSDT,0.5655,1.3018,0.4345,2026-03-26 04:45:00+00:00
SOLUSDT,0.5655,1.3015,0.4345,2026-03-26 04:50:00+00:00
SOLUSDT,0.5655,1.3017,0.4345,2026-03-26 04:55:00+00:00
SOLUSDT,0.5654,1.3012,0.4346,2026-03-26 05:00:00+00:00
SOLUSDT,0.5653,1.3005,0.4347,2026-03-26 05:05:00+00:00
