symbol,longAccount,longShortRatio,shortAccount,timestamp
SUIUSDT,0.6541,1.891,0.3459,2026-03-13 17:00:00+00:00
SUIUSDT,0.6538,1.8885,0.3462,2026-03-13 18:00:00+00:00
SUIUSDT,0.6567,1.9129,0.3433,2026-03-13 19:00:00+00:00
SUIUSDT,0.6554,1.9019,0.3446,2026-03-13 20:00:00+00:00
SUIUSDT,0.6559,1.9061,0.3441,2026-03-13 21:00:00+00:00
SUIUSDT,0.6583,1.9265,0.3417,2026-03-13 22:00:00+00:00
SUIUSDT,0.6588,1.9308,0.3412,2026-03-13 23:00:00+00:00
SUIUSDT,0.6607,1.9472,0.3393,2026-03-14 00:00:00+00:00
SUIUSDT,0.6591,1.9334,0.3409,2026-03-14 01:00:00+00:00
SUIUSDT,0.6612,1.9516,0.3388,2026-03-14 02:00:00+00:00
SUIUSDT,0.6612,1.9516,0.3388,2026-03-14 03:00:00+00:00
SUIUSDT,0.6645,1.9806,0.3355,2026-03-14 04:00:00+00:00
SUIUSDT,0.6702,2.0321,0.3298,2026-03-14 05:00:00+00:00
SUIUSDT,0.6663,1.9967,0.3337,2026-03-14 06:00:00+00:00
SUIUSDT,0.6658,1.9922,0.3342,2026-03-14 07:00:00+00:00
SUIUSDT,0.6672,2.0048,0.3328,2026-03-14 08:00:00+00:00
SUIUSDT,0.6655,1.9895,0.3345,2026-03-14 09:00:00+00:00
SUIUSDT,0.6644,1.9797,0.3356,2026-03-14 10:00:00+00:00
SUIUSDT,0.664,1.9762,0.336,2026-03-14 11:00:00+00:00
SUIUSDT,0.6651,1.986,0.3349,2026-03-14 12:00:00+00:00
SUIUSDT,0.6635,1.9718,0.3365,2026-03-14 13:00:00+00:00
SUIUSDT,0.6615,1.9542,0.3385,2026-03-14 14:00:00+00:00
SUIUSDT,0.6654,1.9886,0.3346,2026-03-14 15:00:00+00:00
SUIUSDT,0.6631,1.9682,0.3369,2026-03-14 16:00:00+00:00
SUIUSDT,0.6622,1.9603,0.3378,2026-03-14 17:00:00+00:00
SUIUSDT,0.6619,1.9577,0.3381,2026-03-14 18:00:00+00:00
SUIUSDT,0.6623,1.9612,0.3377,2026-03-14 19:00:00+00:00
SUIUSDT,0.6633,1.97,0.3367,2026-03-14 20:00:00+00:00
SUIUSDT,0.6621,1.9595,0.3379,2026-03-14 21:00:00+00:00
SUIUSDT,0.662,1.9586,0.338,2026-03-14 22:00:00+00:00
SUIUSDT,0.6646,1.9815,0.3354,2026-03-14 23:00:00+00:00
SUIUSDT,0.6685,2.0166,0.3315,2026-03-15 00:00:00+00:00
SUIUSDT,0.666,1.994,0.334,2026-03-15 01:00:00+00:00
SUIUSDT,0.6685,2.0166,0.3315,2026-03-15 02:00:00+00:00
SUIUSDT,0.6622,1.9603,0.3378,2026-03-15 03:00:00+00:00
SUIUSDT,0.6621,1.9595,0.3379,2026-03-15 04:00:00+00:00
SUIUSDT,0.6667,2.0003,0.3333,2026-03-15 05:00:00+00:00
SUIUSDT,0.6643,1.9789,0.3357,2026-03-15 06:00:00+00:00
SUIUSDT,0.6638,1.9744,0.3362,2026-03-15 07:00:00+00:00
SUIUSDT,0.6643,1.9789,0.3357,2026-03-15 08:00:00+00:00
SUIUSDT,0.663,1.9674,0.337,2026-03-15 09:00:00+00:00
SUIUSDT,0.664,1.9762,0.336,2026-03-15 10:00:00+00:00
SUIUSDT,0.6646,1.9815,0.3354,2026-03-15 11:00:00+00:00
SUIUSDT,0.6631,1.9682,0.3369,2026-03-15 12:00:00+00:00
SUIUSDT,0.664,1.9762,0.336,2026-03-15 13:00:00+00:00
SUIUSDT,0.665,1.9851,0.335,2026-03-15 14:00:00+00:00
