symbol,longAccount,longShortRatio,shortAccount,timestamp
SUIUSDT,0.6098,1.5628,0.3902,2026-03-25 22:40:00+00:00
SUIUSDT,0.6096,1.5615,0.3904,2026-03-25 22:45:00+00:00
SUIUSDT,0.6095,1.5608,0.3905,2026-03-25 22:50:00+00:00
SUIUSDT,0.6095,1.5608,0.3905,2026-03-25 22:55:00+00:00
SUIUSDT,0.6094,1.5602,0.3906,2026-03-25 23:00:00+00:00
SUIUSDT,0.6088,1.5562,0.3912,2026-03-25 23:05:00+00:00
SUIUSDT,0.6087,1.5556,0.3913,2026-03-25 23:10:00+00:00
SUIUSDT,0.6089,1.5569,0.3911,2026-03-25 23:15:00+00:00
SUIUSDT,0.6088,1.5562,0.3912,2026-03-25 23:20:00+00:00
SUIUSDT,0.6087,1.5556,0.3913,2026-03-25 23:25:00+00:00
SUIUSDT,0.6091,1.5582,0.3909,2026-03-25 23:30:00+00:00
SUIUSDT,0.6089,1.5569,0.3911,2026-03-25 23:35:00+00:00
SUIUSDT,0.6084,1.5536,0.3916,2026-03-25 23:40:00+00:00
SUIUSDT,0.6091,1.5582,0.3909,2026-03-25 23:45:00+00:00
SUIUSDT,0.6093,1.5595,0.3907,2026-03-25 23:50:00+00:00
SUIUSDT,0.6093,1.5595,0.3907,2026-03-25 23:55:00+00:00
SUIUSDT,0.6095,1.5608,0.3905,2026-03-26 00:00:00+00:00
SUIUSDT,0.6106,1.5681,0.3894,2026-03-26 00:05:00+00:00
SUIUSDT,0.6114,1.5733,0.3886,2026-03-26 00:10:00+00:00
SUIUSDT,0.6111,1.5714,0.3889,2026-03-26 00:15:00+00:00
SUIUSDT,0.6113,1.5727,0.3887,2026-03-26 00:20:00+00:00
SUIUSDT,0.6111,1.5714,0.3889,2026-03-26 00:25:00+00:00
SUIUSDT,0.6111,1.5714,0.3889,2026-03-26 00:30:00+00:00
SUIUSDT,0.6118,1.576,0.3882,2026-03-26 00:35:00+00:00
SUIUSDT,0.6117,1.5753,0.3883,2026-03-26 00:40:00+00:00
SUIUSDT,0.6107,1.5687,0.3893,2026-03-26 00:45:00+00:00
