symbol,sumOpenInterest,sumOpenInterestValue,CMCCirculatingSupply,timestamp
SUIUSDT,90911824.2,88172215.46921608,3899984688.41544340,2026-03-25 22:40:00+00:00
SUIUSDT,90868617.1,88260687.78923,3899984688.41544340,2026-03-25 22:45:00+00:00
SUIUSDT,90812394.9,88228813.14130926,3899984688.41544340,2026-03-25 22:50:00+00:00
SUIUSDT,90814809.1,88172098.15519,3899984688.41544340,2026-03-25 22:55:00+00:00
SUIUSDT,90840506.8,88206132.1028,3899984688.41544340,2026-03-25 23:00:00+00:00
SUIUSDT,90812892.1,88142993.07226,3899984688.41544340,2026-03-25 23:05:00+00:00
SUIUSDT,90781618.9,88045150.43321736,3899984688.41544340,2026-03-25 23:10:00+00:00
SUIUSDT,90745182.8,87986529.24288,3899984688.41544340,2026-03-25 23:15:00+00:00
SUIUSDT,90750157.5,87945914.10813975,3899984688.41544340,2026-03-25 23:20:00+00:00
SUIUSDT,90703008.8,88000059.13776,3899984688.41544340,2026-03-25 23:25:00+00:00
SUIUSDT,90680937.4,87860760.24686,3899984688.41544340,2026-03-25 23:30:00+00:00
SUIUSDT,90654457.3,87789776.44932,3899984688.41544340,2026-03-25 23:35:00+00:00
SUIUSDT,90606287.5,87600190.14796574,3899984688.41544340,2026-03-25 23:40:00+00:00
SUIUSDT,90601771.2,87554540.99082303,3899984688.41544340,2026-03-25 23:45:00+00:00
SUIUSDT,90551741.4,87482037.36654,3899984688.41544340,2026-03-25 23:50:00+00:00
SUIUSDT,90554703.1,87650489.71163975,3899984688.41544340,2026-03-25 23:55:00+00:00
SUIUSDT,90554674.2,87675035.56044,3899984688.41544340,2026-03-26 00:00:00+00:00
SUIUSDT,90618494.0,87809320.686,3899984688.41544340,2026-03-26 00:05:00+00:00
SUIUSDT,90648899.8,87704409.60309248,3899984688.41544340,2026-03-26 00:10:00+00:00
SUIUSDT,90678497.6,87740514.27776,3899984688.41544340,2026-03-26 00:15:00+00:00
SUIUSDT,90688334.1,87728182.53482528,3899984688.41544340,2026-03-26 00:20:00+00:00
SUIUSDT,90659060.8,87821432.19696,3899984688.41544340,2026-03-26 00:25:00+00:00
SUIUSDT,90668098.3,87866454.06253,3899984688.41544340,2026-03-26 00:30:00+00:00
SUIUSDT,90672623.3,87771812.94794537,3899984688.41544340,2026-03-26 00:35:00+00:00
SUIUSDT,90649315.5,87745709.1453564,3899984688.41544340,2026-03-26 00:40:00+00:00
SUIUSDT,90616539.4,87718196.57225282,3899984688.41544340,2026-03-26 00:45:00+00:00
SUIUSDT,90665080.8,87845396.78712,3899984688.41544340,2026-03-26 00:50:00+00:00
SUIUSDT,90659192.4,87595248.0424838,3899984688.41544340,2026-03-26 00:55:00+00:00
SUIUSDT,90701976.6,87636249.79092,3899984688.41544340,2026-03-26 01:00:00+00:00
SUIUSDT,90647607.8,87707482.55471757,3899984688.41544340,2026-03-26 01:05:00+00:00
SUIUSDT,90618076.3,87564247.12869,3899984688.41544340,2026-03-26 01:10:00+00:00
SUIUSDT,90590001.3,87530230.69839115,3899984688.41544340,2026-03-26 01:15:00+00:00
SUIUSDT,90724773.9,87481544.6826228,3899984688.41544340,2026-03-26 01:20:00+00:00
SUIUSDT,90700329.3,87586065.46823752,3899984688.41544340,2026-03-26 01:25:00+00:00
SUIUSDT,90703559.4,87755693.7195,3899984688.41544340,2026-03-26 01:30:00+00:00
SUIUSDT,90693564.5,87872994.64405,3899984688.41544340,2026-03-26 01:35:00+00:00
SUIUSDT,90687535.5,87830878.13175,3899984688.41544340,2026-03-26 01:40:00+00:00
