buySellRatio,sellVol,buyVol,timestamp
1.1712,6153908.1,7207496.2,2026-03-13 16:00:00+00:00
0.6889,9397346.6,6473484.2,2026-03-13 17:00:00+00:00
1.1307,3900136.8,4409797.7,2026-03-13 18:00:00+00:00
0.9582,2412425.9,2311553.8,2026-03-13 19:00:00+00:00
1.3939,2111519.0,2943223.7,2026-03-13 20:00:00+00:00
0.8595,2799295.5,2406037.1,2026-03-13 21:00:00+00:00
0.619,5332787.0,3300750.7,2026-03-13 22:00:00+00:00
1.1109,1936272.9,2150978.7,2026-03-13 23:00:00+00:00
0.798,3299043.9,2632634.2,2026-03-14 00:00:00+00:00
0.9206,3003763.9,2765415.0,2026-03-14 01:00:00+00:00
0.951,3234344.5,3075965.6,2026-03-14 02:00:00+00:00
1.2237,2777725.7,3399108.8,2026-03-14 03:00:00+00:00
1.0556,4154103.5,4385040.9,2026-03-14 04:00:00+00:00
0.9023,2699769.4,2435976.2,2026-03-14 05:00:00+00:00
0.664,5694548.2,3781346.3,2026-03-14 06:00:00+00:00
1.0574,2162917.9,2286973.4,2026-03-14 07:00:00+00:00
1.1772,1403249.7,1651971.3,2026-03-14 08:00:00+00:00
1.0231,2094360.1,2142722.9,2026-03-14 09:00:00+00:00
0.8309,3493070.3,2902372.7,2026-03-14 10:00:00+00:00
1.271,1560394.6,1983220.4,2026-03-14 11:00:00+00:00
0.9534,1619869.0,1544425.3,2026-03-14 12:00:00+00:00
1.1645,3591351.2,4182052.8,2026-03-14 13:00:00+00:00
0.6873,5778558.4,3971732.7,2026-03-14 14:00:00+00:00
1.2976,1914965.6,2484877.9,2026-03-14 15:00:00+00:00
1.5705,2328318.8,3656638.7,2026-03-14 16:00:00+00:00
0.7778,2090179.5,1625770.2,2026-03-14 17:00:00+00:00
1.2594,1318579.5,1660673.3,2026-03-14 18:00:00+00:00
0.8774,1327233.0,1164518.0,2026-03-14 19:00:00+00:00
1.1718,1522072.5,1783552.2,2026-03-14 20:00:00+00:00
1.6415,939262.5,1541803.1,2026-03-14 21:00:00+00:00
1.1712,1108662.3,1298510.7,2026-03-14 22:00:00+00:00
1.5544,2975673.4,4625261.1,2026-03-14 23:00:00+00:00
0.8386,2335437.6,1958563.1,2026-03-15 00:00:00+00:00
1.0368,2165610.7,2245296.1,2026-03-15 01:00:00+00:00
1.2269,4551030.9,5583635.3,2026-03-15 02:00:00+00:00
1.055,3300424.8,3481908.3,2026-03-15 03:00:00+00:00
0.8565,4859518.5,4161938.0,2026-03-15 04:00:00+00:00
1.1526,3221617.7,3713102.6,2026-03-15 05:00:00+00:00
0.8789,3000387.9,2637015.7,2026-03-15 06:00:00+00:00
1.0849,1890918.0,2051466.6,2026-03-15 07:00:00+00:00
1.6292,1628416.4,2653007.2,2026-03-15 08:00:00+00:00
1.1272,2236666.7,2521222.4,2026-03-15 09:00:00+00:00
1.0048,1664812.2,1672868.5,2026-03-15 10:00:00+00:00
1.4437,1516597.4,2189493.0,2026-03-15 11:00:00+00:00
1.1416,1625865.8,1856151.1,2026-03-15 12:00:00+00:00
0.8009,6504179.5,5209108.1,2026-03-15 13:00:00+00:00
1.1307,3018091.9,3412627.6,2026-03-15 14:00:00+00:00
0.9934,2024525.4,2011146.0,2026-03-15 15:00:00+00:00
1.1695,2279192.3,2665535.6,2026-03-15 16:00:00+00:00
1.4459,2773732.4,4010489.3,2026-03-15 17:00:00+00:00
0.8215,3206379.2,2634195.1,2026-03-15 18:00:00+00:00
1.0774,1698652.9,1830152.9,2026-03-15 19:00:00+00:00
0.939,2588605.5,2430768.2,2026-03-15 20:00:00+00:00
0.9545,2669603.7,2548216.3,2026-03-15 21:00:00+00:00
1.1784,7761969.5,9146728.1,2026-03-15 22:00:00+00:00
0.877,6780636.9,5946581.3,2026-03-15 23:00:00+00:00
0.7849,4271354.8,3352423.6,2026-03-16 00:00:00+00:00
