buySellRatio,sellVol,buyVol,timestamp
0.5531,579820.6,320713.4,2026-03-25 22:35:00+00:00
1.3949,367489.1,512600.7,2026-03-25 22:40:00+00:00
0.8866,116170.9,103002.5,2026-03-25 22:45:00+00:00
1.4235,95403.4,135805.5,2026-03-25 22:50:00+00:00
1.1544,86117.0,99411.2,2026-03-25 22:55:00+00:00
0.8066,134074.3,108138.2,2026-03-25 23:00:00+00:00
0.6129,97399.1,59699.4,2026-03-25 23:05:00+00:00
1.2658,76302.1,96583.0,2026-03-25 23:10:00+00:00
0.505,169146.8,85416.5,2026-03-25 23:15:00+00:00
1.8413,55788.0,102720.0,2026-03-25 23:20:00+00:00
0.5222,146167.1,76333.4,2026-03-25 23:25:00+00:00
0.9078,108330.7,98341.1,2026-03-25 23:30:00+00:00
1.9722,86664.3,170920.5,2026-03-25 23:35:00+00:00
0.8577,94539.1,81082.0,2026-03-25 23:40:00+00:00
0.6507,121887.2,79315.0,2026-03-25 23:45:00+00:00
2.0282,57197.1,116006.2,2026-03-25 23:50:00+00:00
2.02,63265.1,127798.0,2026-03-25 23:55:00+00:00
1.7238,163754.0,282280.9,2026-03-26 00:00:00+00:00
1.0389,119051.5,123679.3,2026-03-26 00:05:00+00:00
1.1219,114877.5,128877.9,2026-03-26 00:10:00+00:00
0.7872,175916.9,138480.4,2026-03-26 00:15:00+00:00
0.7545,206985.2,156173.3,2026-03-26 00:20:00+00:00
1.3163,48257.0,63518.7,2026-03-26 00:25:00+00:00
0.7351,108548.2,79797.8,2026-03-26 00:30:00+00:00
0.989,90747.6,89744.9,2026-03-26 00:35:00+00:00
1.0198,66965.3,68289.0,2026-03-26 00:40:00+00:00
0.5594,200128.4,111955.0,2026-03-26 00:45:00+00:00
0.8689,136027.2,118199.3,2026-03-26 00:50:00+00:00
0.7569,172776.6,130772.6,2026-03-26 00:55:00+00:00
1.2124,116370.1,141090.8,2026-03-26 01:00:00+00:00
1.057,91021.1,96211.1,2026-03-26 01:05:00+00:00
1.3459,67796.4,91245.6,2026-03-26 01:10:00+00:00
