symbol,longAccount,longShortRatio,shortAccount,timestamp
SUIUSDT,0.5972,1.4829,0.4028,2026-03-13 17:00:00+00:00
SUIUSDT,0.608,1.5509,0.392,2026-03-13 18:00:00+00:00
SUIUSDT,0.6082,1.5524,0.3918,2026-03-13 19:00:00+00:00
SUIUSDT,0.6097,1.5624,0.3903,2026-03-13 20:00:00+00:00
SUIUSDT,0.6071,1.5449,0.3929,2026-03-13 21:00:00+00:00
SUIUSDT,0.6069,1.5436,0.3931,2026-03-13 22:00:00+00:00
SUIUSDT,0.6067,1.5429,0.3933,2026-03-13 23:00:00+00:00
SUIUSDT,0.6079,1.5503,0.3921,2026-03-14 00:00:00+00:00
SUIUSDT,0.6098,1.5628,0.3902,2026-03-14 01:00:00+00:00
SUIUSDT,0.6079,1.5501,0.3921,2026-03-14 02:00:00+00:00
SUIUSDT,0.6076,1.5485,0.3924,2026-03-14 03:00:00+00:00
SUIUSDT,0.6082,1.5524,0.3918,2026-03-14 04:00:00+00:00
SUIUSDT,0.604,1.5252,0.396,2026-03-14 05:00:00+00:00
SUIUSDT,0.602,1.5126,0.398,2026-03-14 06:00:00+00:00
SUIUSDT,0.5994,1.4961,0.4006,2026-03-14 07:00:00+00:00
SUIUSDT,0.5981,1.4879,0.4019,2026-03-14 08:00:00+00:00
SUIUSDT,0.5975,1.4845,0.4025,2026-03-14 09:00:00+00:00
SUIUSDT,0.5948,1.4682,0.4052,2026-03-14 10:00:00+00:00
SUIUSDT,0.5923,1.4527,0.4077,2026-03-14 11:00:00+00:00
SUIUSDT,0.5933,1.4589,0.4067,2026-03-14 12:00:00+00:00
SUIUSDT,0.5924,1.4533,0.4076,2026-03-14 13:00:00+00:00
SUIUSDT,0.5952,1.4705,0.4048,2026-03-14 14:00:00+00:00
SUIUSDT,0.586,1.4152,0.414,2026-03-14 15:00:00+00:00
SUIUSDT,0.5861,1.4162,0.4139,2026-03-14 16:00:00+00:00
SUIUSDT,0.585,1.4097,0.415,2026-03-14 17:00:00+00:00
SUIUSDT,0.5835,1.401,0.4165,2026-03-14 18:00:00+00:00
SUIUSDT,0.5848,1.4083,0.4152,2026-03-14 19:00:00+00:00
SUIUSDT,0.5838,1.4027,0.4162,2026-03-14 20:00:00+00:00
SUIUSDT,0.5852,1.4108,0.4148,2026-03-14 21:00:00+00:00
SUIUSDT,0.584,1.4039,0.416,2026-03-14 22:00:00+00:00
SUIUSDT,0.5824,1.3948,0.4176,2026-03-14 23:00:00+00:00
SUIUSDT,0.5806,1.3845,0.4194,2026-03-15 00:00:00+00:00
