symbol,longAccount,longShortRatio,shortAccount,timestamp
SUIUSDT,0.4953,0.9815,0.5047,2026-03-25 22:40:00+00:00
SUIUSDT,0.4959,0.9838,0.5041,2026-03-25 22:45:00+00:00
SUIUSDT,0.4958,0.9833,0.5042,2026-03-25 22:50:00+00:00
SUIUSDT,0.4955,0.9823,0.5045,2026-03-25 22:55:00+00:00
SUIUSDT,0.4952,0.9812,0.5048,2026-03-25 23:00:00+00:00
SUIUSDT,0.4952,0.9811,0.5048,2026-03-25 23:05:00+00:00
SUIUSDT,0.4954,0.9817,0.5046,2026-03-25 23:10:00+00:00
SUIUSDT,0.4955,0.9822,0.5045,2026-03-25 23:15:00+00:00
SUIUSDT,0.4951,0.9807,0.5049,2026-03-25 23:20:00+00:00
SUIUSDT,0.4952,0.9808,0.5048,2026-03-25 23:25:00+00:00
SUIUSDT,0.4951,0.9805,0.5049,2026-03-25 23:30:00+00:00
SUIUSDT,0.4952,0.981,0.5048,2026-03-25 23:35:00+00:00
SUIUSDT,0.4958,0.9832,0.5042,2026-03-25 23:40:00+00:00
SUIUSDT,0.4957,0.983,0.5043,2026-03-25 23:45:00+00:00
SUIUSDT,0.4955,0.982,0.5045,2026-03-25 23:50:00+00:00
SUIUSDT,0.4956,0.9826,0.5044,2026-03-25 23:55:00+00:00
SUIUSDT,0.4957,0.9828,0.5043,2026-03-26 00:00:00+00:00
SUIUSDT,0.4963,0.9851,0.5037,2026-03-26 00:05:00+00:00
SUIUSDT,0.4964,0.9858,0.5036,2026-03-26 00:10:00+00:00
SUIUSDT,0.4963,0.9854,0.5037,2026-03-26 00:15:00+00:00
SUIUSDT,0.4968,0.9873,0.5032,2026-03-26 00:20:00+00:00
SUIUSDT,0.4968,0.9874,0.5032,2026-03-26 00:25:00+00:00
SUIUSDT,0.4971,0.9884,0.5029,2026-03-26 00:30:00+00:00
SUIUSDT,0.497,0.988,0.503,2026-03-26 00:35:00+00:00
SUIUSDT,0.497,0.9879,0.503,2026-03-26 00:40:00+00:00
SUIUSDT,0.497,0.9881,0.503,2026-03-26 00:45:00+00:00
SUIUSDT,0.498,0.992,0.502,2026-03-26 00:50:00+00:00
SUIUSDT,0.4983,0.9933,0.5017,2026-03-26 00:55:00+00:00
SUIUSDT,0.4977,0.9909,0.5023,2026-03-26 01:00:00+00:00
SUIUSDT,0.4976,0.9904,0.5024,2026-03-26 01:05:00+00:00
SUIUSDT,0.4978,0.9913,0.5022,2026-03-26 01:10:00+00:00
SUIUSDT,0.498,0.9922,0.502,2026-03-26 01:15:00+00:00
