symbol,longAccount,longShortRatio,shortAccount,timestamp
TAOUSDT,0.5537,1.2406,0.4463,2026-03-13 17:00:00+00:00
TAOUSDT,0.5484,1.2143,0.4516,2026-03-13 18:00:00+00:00
TAOUSDT,0.551,1.2272,0.449,2026-03-13 19:00:00+00:00
TAOUSDT,0.5579,1.2619,0.4421,2026-03-13 20:00:00+00:00
TAOUSDT,0.5505,1.2247,0.4495,2026-03-13 21:00:00+00:00
TAOUSDT,0.5489,1.2168,0.4511,2026-03-13 22:00:00+00:00
TAOUSDT,0.5478,1.2114,0.4522,2026-03-13 23:00:00+00:00
TAOUSDT,0.5514,1.2292,0.4486,2026-03-14 00:00:00+00:00
TAOUSDT,0.5619,1.2826,0.4381,2026-03-14 01:00:00+00:00
TAOUSDT,0.5573,1.2589,0.4427,2026-03-14 02:00:00+00:00
TAOUSDT,0.555,1.2472,0.445,2026-03-14 03:00:00+00:00
TAOUSDT,0.5631,1.2889,0.4369,2026-03-14 04:00:00+00:00
TAOUSDT,0.5606,1.2758,0.4394,2026-03-14 05:00:00+00:00
TAOUSDT,0.5605,1.2753,0.4395,2026-03-14 06:00:00+00:00
TAOUSDT,0.5608,1.2769,0.4392,2026-03-14 07:00:00+00:00
TAOUSDT,0.5573,1.2589,0.4427,2026-03-14 08:00:00+00:00
TAOUSDT,0.5543,1.2437,0.4457,2026-03-14 09:00:00+00:00
TAOUSDT,0.5609,1.2774,0.4391,2026-03-14 10:00:00+00:00
TAOUSDT,0.5565,1.2548,0.4435,2026-03-14 11:00:00+00:00
TAOUSDT,0.5611,1.2784,0.4389,2026-03-14 12:00:00+00:00
TAOUSDT,0.5609,1.2774,0.4391,2026-03-14 13:00:00+00:00
TAOUSDT,0.5646,1.2967,0.4354,2026-03-14 14:00:00+00:00
TAOUSDT,0.5607,1.2763,0.4393,2026-03-14 15:00:00+00:00
TAOUSDT,0.5664,1.3063,0.4336,2026-03-14 16:00:00+00:00
TAOUSDT,0.558,1.2624,0.442,2026-03-14 17:00:00+00:00
TAOUSDT,0.5554,1.2492,0.4446,2026-03-14 18:00:00+00:00
TAOUSDT,0.5551,1.2477,0.4449,2026-03-14 19:00:00+00:00
TAOUSDT,0.5541,1.2427,0.4459,2026-03-14 20:00:00+00:00
