symbol,longAccount,longShortRatio,shortAccount,timestamp
TAOUSDT,0.4691,0.8836,0.5309,2026-03-25 22:40:00+00:00
TAOUSDT,0.4694,0.8847,0.5306,2026-03-25 22:45:00+00:00
TAOUSDT,0.4689,0.8829,0.5311,2026-03-25 22:50:00+00:00
TAOUSDT,0.4689,0.8829,0.5311,2026-03-25 22:55:00+00:00
TAOUSDT,0.4692,0.8839,0.5308,2026-03-25 23:00:00+00:00
TAOUSDT,0.468,0.8797,0.532,2026-03-25 23:05:00+00:00
TAOUSDT,0.469,0.8832,0.531,2026-03-25 23:10:00+00:00
TAOUSDT,0.4709,0.89,0.5291,2026-03-25 23:15:00+00:00
TAOUSDT,0.4716,0.8925,0.5284,2026-03-25 23:20:00+00:00
TAOUSDT,0.472,0.8939,0.528,2026-03-25 23:25:00+00:00
TAOUSDT,0.4726,0.8961,0.5274,2026-03-25 23:30:00+00:00
TAOUSDT,0.4742,0.9019,0.5258,2026-03-25 23:35:00+00:00
TAOUSDT,0.4798,0.9223,0.5202,2026-03-25 23:40:00+00:00
TAOUSDT,0.48,0.9231,0.52,2026-03-25 23:45:00+00:00
TAOUSDT,0.4799,0.9227,0.5201,2026-03-25 23:50:00+00:00
TAOUSDT,0.4805,0.9249,0.5195,2026-03-25 23:55:00+00:00
TAOUSDT,0.4745,0.9029,0.5255,2026-03-26 00:00:00+00:00
TAOUSDT,0.4842,0.9387,0.5158,2026-03-26 00:05:00+00:00
TAOUSDT,0.4845,0.9399,0.5155,2026-03-26 00:10:00+00:00
TAOUSDT,0.4842,0.9387,0.5158,2026-03-26 00:15:00+00:00
TAOUSDT,0.4798,0.9223,0.5202,2026-03-26 00:20:00+00:00
TAOUSDT,0.4801,0.9234,0.5199,2026-03-26 00:25:00+00:00
TAOUSDT,0.4807,0.9257,0.5193,2026-03-26 00:30:00+00:00
TAOUSDT,0.4824,0.932,0.5176,2026-03-26 00:35:00+00:00
TAOUSDT,0.4839,0.9376,0.5161,2026-03-26 00:40:00+00:00
TAOUSDT,0.4864,0.947,0.5136,2026-03-26 00:45:00+00:00
TAOUSDT,0.4933,0.9736,0.5067,2026-03-26 00:50:00+00:00
TAOUSDT,0.4945,0.9782,0.5055,2026-03-26 00:55:00+00:00
TAOUSDT,0.4931,0.9728,0.5069,2026-03-26 01:00:00+00:00
TAOUSDT,0.4943,0.9775,0.5057,2026-03-26 01:05:00+00:00
TAOUSDT,0.489,0.9569,0.511,2026-03-26 01:10:00+00:00
TAOUSDT,0.4911,0.965,0.5089,2026-03-26 01:15:00+00:00
TAOUSDT,0.4902,0.9616,0.5098,2026-03-26 01:20:00+00:00
TAOUSDT,0.4909,0.9643,0.5091,2026-03-26 01:25:00+00:00
TAOUSDT,0.4892,0.9577,0.5108,2026-03-26 01:30:00+00:00
TAOUSDT,0.4924,0.9701,0.5076,2026-03-26 01:35:00+00:00
TAOUSDT,0.4923,0.9697,0.5077,2026-03-26 01:40:00+00:00
TAOUSDT,0.4936,0.9747,0.5064,2026-03-26 01:45:00+00:00
TAOUSDT,0.4987,0.9948,0.5013,2026-03-26 01:50:00+00:00
TAOUSDT,0.4991,0.9964,0.5009,2026-03-26 01:55:00+00:00
TAOUSDT,0.4987,0.9948,0.5013,2026-03-26 02:00:00+00:00
TAOUSDT,0.4978,0.9912,0.5022,2026-03-26 02:05:00+00:00
TAOUSDT,0.4925,0.9704,0.5075,2026-03-26 02:10:00+00:00
TAOUSDT,0.4991,0.9964,0.5009,2026-03-26 02:15:00+00:00
TAOUSDT,0.4985,0.994,0.5015,2026-03-26 02:20:00+00:00
TAOUSDT,0.4975,0.99,0.5025,2026-03-26 02:25:00+00:00
TAOUSDT,0.4951,0.9806,0.5049,2026-03-26 02:30:00+00:00
TAOUSDT,0.4943,0.9775,0.5057,2026-03-26 02:35:00+00:00
TAOUSDT,0.4895,0.9589,0.5105,2026-03-26 02:40:00+00:00
TAOUSDT,0.4953,0.9814,0.5047,2026-03-26 02:45:00+00:00
TAOUSDT,0.4959,0.9837,0.5041,2026-03-26 02:50:00+00:00
