symbol,sumOpenInterest,sumOpenInterestValue,CMCCirculatingSupply,timestamp
TAOUSDT,222315.559,52448686.67928,10759833.46769933,2026-03-13 17:00:00+00:00
TAOUSDT,218634.534,51243562.07892,10759833.46769933,2026-03-13 18:00:00+00:00
TAOUSDT,219277.405,50855998.28898246,10759833.46769933,2026-03-13 19:00:00+00:00
TAOUSDT,219103.36,50284221.12,10759833.46769933,2026-03-13 20:00:00+00:00
TAOUSDT,219032.267,51452014.62291253,10759833.46769933,2026-03-13 21:00:00+00:00
TAOUSDT,217782.457,50632772.47378584,10759833.46769933,2026-03-13 22:00:00+00:00
TAOUSDT,218303.433,50866882.92333,10759833.46769933,2026-03-13 23:00:00+00:00
TAOUSDT,218584.355,51523431.03132521,10759833.46769933,2026-03-14 00:00:00+00:00
TAOUSDT,218570.316,51153290.62968096,10759833.46769933,2026-03-14 01:00:00+00:00
TAOUSDT,218908.998,51837326.37112676,10759833.46769933,2026-03-14 02:00:00+00:00
TAOUSDT,222958.923,53630642.69548794,10762778.72120584,2026-03-14 03:00:00+00:00
TAOUSDT,223514.797,54398825.28027161,10762778.72120584,2026-03-14 04:00:00+00:00
TAOUSDT,223899.066,54376127.16876,10762778.72120584,2026-03-14 05:00:00+00:00
TAOUSDT,225779.045,54972681.8766,10762778.72120584,2026-03-14 06:00:00+00:00
TAOUSDT,226093.795,53973233.45028536,10762778.72120584,2026-03-14 07:00:00+00:00
TAOUSDT,226929.3,53243283.79918111,10762778.72120584,2026-03-14 08:00:00+00:00
TAOUSDT,228778.487,54600273.70742,10762778.72120584,2026-03-14 09:00:00+00:00
TAOUSDT,228392.462,53908610.35562763,10762778.72120584,2026-03-14 10:00:00+00:00
TAOUSDT,229150.188,53772383.11608,10762778.72120584,2026-03-14 11:00:00+00:00
TAOUSDT,229233.856,53926678.11313305,10762778.72120584,2026-03-14 12:00:00+00:00
TAOUSDT,228368.792,53920155.47912,10762778.72120584,2026-03-14 13:00:00+00:00
TAOUSDT,227487.964,53520365.74964793,10762778.72120584,2026-03-14 14:00:00+00:00
TAOUSDT,227955.326,53587738.03608,10762778.72120584,2026-03-14 15:00:00+00:00
TAOUSDT,227967.272,53302909.72019265,10762778.72120584,2026-03-14 16:00:00+00:00
TAOUSDT,225404.22,53303748.15456798,10762778.72120584,2026-03-14 17:00:00+00:00
TAOUSDT,225888.396,53650110.31761552,10762778.72120584,2026-03-14 18:00:00+00:00
TAOUSDT,226937.359,54106405.13278,10762778.72120584,2026-03-14 19:00:00+00:00
TAOUSDT,226593.375,53874840.84,10762778.72120584,2026-03-14 20:00:00+00:00
TAOUSDT,227131.576,54380709.48677295,10762778.72120584,2026-03-14 21:00:00+00:00
TAOUSDT,232338.314,57292492.53215005,10762778.72120584,2026-03-14 22:00:00+00:00
TAOUSDT,232294.771,56642756.96064,10762778.72120584,2026-03-14 23:00:00+00:00
TAOUSDT,234684.351,58483369.19404626,10762778.72120584,2026-03-15 00:00:00+00:00
TAOUSDT,234901.128,58692395.84208,10762778.72120584,2026-03-15 01:00:00+00:00
