buySellRatio,sellVol,buyVol,timestamp
1.1659,36632.109,42708.897,2026-03-13 16:00:00+00:00
0.9168,34106.206,31269.46,2026-03-13 17:00:00+00:00
0.855,18304.286,15650.532,2026-03-13 18:00:00+00:00
0.8167,15932.487,13011.292,2026-03-13 19:00:00+00:00
1.3586,13548.129,18406.938,2026-03-13 20:00:00+00:00
0.9773,16463.192,16088.992,2026-03-13 21:00:00+00:00
0.9584,14806.419,14190.536,2026-03-13 22:00:00+00:00
1.1015,22874.711,25196.455,2026-03-13 23:00:00+00:00
0.8611,27676.189,23833.247,2026-03-14 00:00:00+00:00
0.9589,20400.793,19562.218,2026-03-14 01:00:00+00:00
1.3927,15310.893,21323.466,2026-03-14 02:00:00+00:00
0.9905,29795.567,29513.051,2026-03-14 03:00:00+00:00
0.9375,14119.257,13236.618,2026-03-14 04:00:00+00:00
0.9952,13141.363,13078.568,2026-03-14 05:00:00+00:00
0.8311,29937.877,24881.515,2026-03-14 06:00:00+00:00
0.7633,21859.55,16686.418,2026-03-14 07:00:00+00:00
1.1214,15431.973,17305.958,2026-03-14 08:00:00+00:00
0.7976,17055.891,13604.4,2026-03-14 09:00:00+00:00
0.8389,10860.188,9110.383,2026-03-14 10:00:00+00:00
0.9903,11540.496,11428.709,2026-03-14 11:00:00+00:00
0.9567,11102.849,10622.022,2026-03-14 12:00:00+00:00
0.96,13409.447,12873.477,2026-03-14 13:00:00+00:00
1.0118,10883.28,11011.518,2026-03-14 14:00:00+00:00
0.8052,11388.835,9170.72,2026-03-14 15:00:00+00:00
1.1356,16154.119,18343.874,2026-03-14 16:00:00+00:00
1.0894,19251.492,20973.351,2026-03-14 17:00:00+00:00
1.0308,12511.745,12896.981,2026-03-14 18:00:00+00:00
0.8304,7484.098,6214.869,2026-03-14 19:00:00+00:00
0.9623,10169.708,9786.697,2026-03-14 20:00:00+00:00
1.3107,32246.914,42266.887,2026-03-14 21:00:00+00:00
1.0616,19048.49,20221.292,2026-03-14 22:00:00+00:00
1.0158,21164.636,21499.2,2026-03-14 23:00:00+00:00
1.0269,40588.098,41680.479,2026-03-15 00:00:00+00:00
1.002,59512.634,59629.142,2026-03-15 01:00:00+00:00
1.0273,37353.717,38372.825,2026-03-15 02:00:00+00:00
0.9993,53106.612,53068.911,2026-03-15 03:00:00+00:00
0.9634,51098.775,49230.635,2026-03-15 04:00:00+00:00
0.8929,34078.061,30429.18,2026-03-15 05:00:00+00:00
0.8335,34436.511,28702.432,2026-03-15 06:00:00+00:00
1.0565,24573.231,25962.269,2026-03-15 07:00:00+00:00
1.1961,28524.848,34119.273,2026-03-15 08:00:00+00:00
0.9704,43948.962,42649.352,2026-03-15 09:00:00+00:00
0.9028,29938.288,27027.134,2026-03-15 10:00:00+00:00
0.8979,35433.281,31814.405,2026-03-15 11:00:00+00:00
0.9353,37938.822,35482.599,2026-03-15 12:00:00+00:00
0.9552,30043.378,28697.054,2026-03-15 13:00:00+00:00
1.0503,74914.736,78682.14,2026-03-15 14:00:00+00:00
0.9761,77034.661,75192.405,2026-03-15 15:00:00+00:00
0.9762,61587.904,60123.873,2026-03-15 16:00:00+00:00
1.293,60504.723,78234.957,2026-03-15 17:00:00+00:00
1.1847,103475.508,122591.021,2026-03-15 18:00:00+00:00
0.8847,86883.785,76864.413,2026-03-15 19:00:00+00:00
1.1719,51824.249,60730.487,2026-03-15 20:00:00+00:00
1.0896,58870.368,64143.003,2026-03-15 21:00:00+00:00
0.9385,49781.268,46718.846,2026-03-15 22:00:00+00:00
0.9871,34358.002,33915.375,2026-03-15 23:00:00+00:00
0.8603,64781.315,55733.912,2026-03-16 00:00:00+00:00
0.8413,41589.213,34987.175,2026-03-16 01:00:00+00:00
0.9919,31080.245,30827.736,2026-03-16 02:00:00+00:00
1.1525,42438.835,48911.332,2026-03-16 03:00:00+00:00
1.0947,28150.634,30817.141,2026-03-16 04:00:00+00:00
1.0314,25121.35,25909.495,2026-03-16 05:00:00+00:00
0.6892,39492.809,27220.2,2026-03-16 06:00:00+00:00
1.0494,21596.493,22663.039,2026-03-16 07:00:00+00:00
1.1189,30816.112,34480.893,2026-03-16 08:00:00+00:00
1.1369,65624.139,74609.391,2026-03-16 09:00:00+00:00
1.0755,77725.802,83597.961,2026-03-16 10:00:00+00:00
1.0347,66513.312,68819.278,2026-03-16 11:00:00+00:00
1.0984,60245.807,66174.31,2026-03-16 12:00:00+00:00
1.196,65139.461,77907.035,2026-03-16 13:00:00+00:00
1.0146,78630.933,79775.823,2026-03-16 14:00:00+00:00
0.9842,51663.477,50848.913,2026-03-16 15:00:00+00:00
0.917,36646.418,33603.405,2026-03-16 16:00:00+00:00
1.0398,36059.438,37496.385,2026-03-16 17:00:00+00:00
0.7602,59906.865,45540.642,2026-03-16 18:00:00+00:00
1.0938,35391.865,38712.982,2026-03-16 19:00:00+00:00
1.0701,15420.912,16502.31,2026-03-16 20:00:00+00:00
1.0405,39354.539,40949.325,2026-03-16 21:00:00+00:00
1.2099,23658.466,28624.521,2026-03-16 22:00:00+00:00
1.0351,15337.161,15875.133,2026-03-16 23:00:00+00:00
0.9108,34361.11,31296.493,2026-03-17 00:00:00+00:00
1.0429,22399.745,23361.532,2026-03-17 01:00:00+00:00
1.1553,22308.97,25772.525,2026-03-17 02:00:00+00:00
0.9028,33036.434,29826.504,2026-03-17 03:00:00+00:00
0.8829,27884.257,24619.539,2026-03-17 04:00:00+00:00
0.9356,43530.591,40727.836,2026-03-17 05:00:00+00:00
1.0401,24085.887,25052.357,2026-03-17 06:00:00+00:00
