buySellRatio,sellVol,buyVol,timestamp
1.5475,4303.474,6659.642,2026-03-25 22:35:00+00:00
0.9317,11304.987,10532.339,2026-03-25 22:40:00+00:00
0.6722,4364.384,2933.853,2026-03-25 22:45:00+00:00
1.0217,1872.642,1913.347,2026-03-25 22:50:00+00:00
1.2334,1818.011,2242.257,2026-03-25 22:55:00+00:00
1.0592,3243.255,3435.107,2026-03-25 23:00:00+00:00
2.1272,2213.733,4709.036,2026-03-25 23:05:00+00:00
0.9191,4589.332,4217.986,2026-03-25 23:10:00+00:00
0.8568,5824.562,4990.226,2026-03-25 23:15:00+00:00
1.2466,2435.535,3036.065,2026-03-25 23:20:00+00:00
1.1064,2144.964,2373.206,2026-03-25 23:25:00+00:00
1.0185,2769.01,2820.244,2026-03-25 23:30:00+00:00
0.592,5371.735,3179.899,2026-03-25 23:35:00+00:00
1.0656,3249.465,3462.622,2026-03-25 23:40:00+00:00
2.1144,1994.588,4217.4,2026-03-25 23:45:00+00:00
1.3051,1982.745,2587.756,2026-03-25 23:50:00+00:00
1.8857,1521.499,2869.072,2026-03-25 23:55:00+00:00
0.5188,7542.517,3913.412,2026-03-26 00:00:00+00:00
1.223,2817.217,3445.532,2026-03-26 00:05:00+00:00
1.3279,2701.037,3586.649,2026-03-26 00:10:00+00:00
1.3072,4485.922,5863.867,2026-03-26 00:15:00+00:00
1.7002,3217.666,5470.699,2026-03-26 00:20:00+00:00
1.8005,6486.556,11679.276,2026-03-26 00:25:00+00:00
1.0465,3751.728,3926.139,2026-03-26 00:30:00+00:00
1.4184,6136.132,8703.305,2026-03-26 00:35:00+00:00
1.0979,3748.23,4114.995,2026-03-26 00:40:00+00:00
0.7749,3005.284,2328.801,2026-03-26 00:45:00+00:00
0.7346,3832.321,2815.232,2026-03-26 00:50:00+00:00
1.3856,3230.522,4476.28,2026-03-26 00:55:00+00:00
1.5453,2782.514,4299.883,2026-03-26 01:00:00+00:00
1.6529,3975.335,6570.925,2026-03-26 01:05:00+00:00
1.503,4367.415,6564.018,2026-03-26 01:10:00+00:00
