symbol,longAccount,longShortRatio,shortAccount,timestamp
TAOUSDT,0.5219,1.0915,0.4781,2026-03-13 17:00:00+00:00
TAOUSDT,0.5211,1.0881,0.4789,2026-03-13 18:00:00+00:00
TAOUSDT,0.526,1.1099,0.474,2026-03-13 19:00:00+00:00
TAOUSDT,0.5279,1.118,0.4721,2026-03-13 20:00:00+00:00
TAOUSDT,0.5347,1.1491,0.4653,2026-03-13 21:00:00+00:00
TAOUSDT,0.5301,1.1281,0.4699,2026-03-13 22:00:00+00:00
TAOUSDT,0.5262,1.1107,0.4738,2026-03-13 23:00:00+00:00
TAOUSDT,0.5237,1.0993,0.4763,2026-03-14 00:00:00+00:00
TAOUSDT,0.5279,1.1181,0.4721,2026-03-14 01:00:00+00:00
TAOUSDT,0.5276,1.1169,0.4724,2026-03-14 02:00:00+00:00
TAOUSDT,0.5269,1.1139,0.4731,2026-03-14 03:00:00+00:00
TAOUSDT,0.5259,1.1095,0.4741,2026-03-14 04:00:00+00:00
TAOUSDT,0.5266,1.1126,0.4734,2026-03-14 05:00:00+00:00
TAOUSDT,0.5274,1.1161,0.4726,2026-03-14 06:00:00+00:00
TAOUSDT,0.5254,1.1071,0.4746,2026-03-14 07:00:00+00:00
TAOUSDT,0.5269,1.1139,0.4731,2026-03-14 08:00:00+00:00
TAOUSDT,0.5353,1.1519,0.4647,2026-03-14 09:00:00+00:00
TAOUSDT,0.5323,1.138,0.4677,2026-03-14 10:00:00+00:00
TAOUSDT,0.5319,1.1364,0.4681,2026-03-14 11:00:00+00:00
TAOUSDT,0.5357,1.1538,0.4643,2026-03-14 12:00:00+00:00
TAOUSDT,0.5358,1.1544,0.4642,2026-03-14 13:00:00+00:00
TAOUSDT,0.5379,1.164,0.4621,2026-03-14 14:00:00+00:00
TAOUSDT,0.5372,1.161,0.4628,2026-03-14 15:00:00+00:00
TAOUSDT,0.534,1.1457,0.466,2026-03-14 16:00:00+00:00
TAOUSDT,0.5324,1.1387,0.4676,2026-03-14 17:00:00+00:00
TAOUSDT,0.5295,1.1252,0.4705,2026-03-14 18:00:00+00:00
TAOUSDT,0.5204,1.0852,0.4796,2026-03-14 19:00:00+00:00
TAOUSDT,0.5224,1.0938,0.4776,2026-03-14 20:00:00+00:00
TAOUSDT,0.5168,1.0695,0.4832,2026-03-14 21:00:00+00:00
TAOUSDT,0.5153,1.0633,0.4847,2026-03-14 22:00:00+00:00
TAOUSDT,0.5173,1.0718,0.4827,2026-03-14 23:00:00+00:00
TAOUSDT,0.5177,1.0735,0.4823,2026-03-15 00:00:00+00:00
TAOUSDT,0.5172,1.0715,0.4828,2026-03-15 01:00:00+00:00
TAOUSDT,0.5117,1.0481,0.4883,2026-03-15 02:00:00+00:00
TAOUSDT,0.5205,1.0855,0.4795,2026-03-15 03:00:00+00:00
TAOUSDT,0.5209,1.0872,0.4791,2026-03-15 04:00:00+00:00
TAOUSDT,0.5202,1.0843,0.4798,2026-03-15 05:00:00+00:00
TAOUSDT,0.5165,1.0682,0.4835,2026-03-15 06:00:00+00:00
TAOUSDT,0.5183,1.076,0.4817,2026-03-15 07:00:00+00:00
TAOUSDT,0.5273,1.1155,0.4727,2026-03-15 08:00:00+00:00
TAOUSDT,0.533,1.1415,0.467,2026-03-15 09:00:00+00:00
TAOUSDT,0.5214,1.0894,0.4786,2026-03-15 10:00:00+00:00
TAOUSDT,0.5169,1.0701,0.4831,2026-03-15 11:00:00+00:00
TAOUSDT,0.5273,1.1155,0.4727,2026-03-15 12:00:00+00:00
TAOUSDT,0.5322,1.1378,0.4678,2026-03-15 13:00:00+00:00
TAOUSDT,0.5342,1.1471,0.4658,2026-03-15 14:00:00+00:00
TAOUSDT,0.5288,1.1221,0.4712,2026-03-15 15:00:00+00:00
TAOUSDT,0.521,1.0877,0.479,2026-03-15 16:00:00+00:00
TAOUSDT,0.5268,1.1131,0.4732,2026-03-15 17:00:00+00:00
TAOUSDT,0.5191,1.0793,0.4809,2026-03-15 18:00:00+00:00
TAOUSDT,0.5066,1.0267,0.4934,2026-03-15 19:00:00+00:00
TAOUSDT,0.5096,1.039,0.4904,2026-03-15 20:00:00+00:00
TAOUSDT,0.5062,1.025,0.4938,2026-03-15 21:00:00+00:00
TAOUSDT,0.4977,0.9907,0.5023,2026-03-15 22:00:00+00:00
TAOUSDT,0.5036,1.0144,0.4964,2026-03-15 23:00:00+00:00
