symbol,longAccount,longShortRatio,shortAccount,timestamp
TAOUSDT,0.5368,1.1588,0.4632,2026-03-25 22:40:00+00:00
TAOUSDT,0.5359,1.1548,0.4641,2026-03-25 22:45:00+00:00
TAOUSDT,0.5358,1.1541,0.4642,2026-03-25 22:50:00+00:00
TAOUSDT,0.5356,1.1535,0.4644,2026-03-25 22:55:00+00:00
TAOUSDT,0.5358,1.1544,0.4642,2026-03-25 23:00:00+00:00
TAOUSDT,0.5348,1.1496,0.4652,2026-03-25 23:05:00+00:00
TAOUSDT,0.5345,1.1484,0.4655,2026-03-25 23:10:00+00:00
TAOUSDT,0.5339,1.1454,0.4661,2026-03-25 23:15:00+00:00
TAOUSDT,0.5364,1.1568,0.4636,2026-03-25 23:20:00+00:00
TAOUSDT,0.5358,1.1543,0.4642,2026-03-25 23:25:00+00:00
TAOUSDT,0.5364,1.1572,0.4636,2026-03-25 23:30:00+00:00
TAOUSDT,0.536,1.155,0.464,2026-03-25 23:35:00+00:00
TAOUSDT,0.5362,1.1562,0.4638,2026-03-25 23:40:00+00:00
TAOUSDT,0.5372,1.1609,0.4628,2026-03-25 23:45:00+00:00
TAOUSDT,0.5377,1.1632,0.4623,2026-03-25 23:50:00+00:00
TAOUSDT,0.5376,1.1625,0.4624,2026-03-25 23:55:00+00:00
TAOUSDT,0.5386,1.1672,0.4614,2026-03-26 00:00:00+00:00
TAOUSDT,0.5361,1.1558,0.4639,2026-03-26 00:05:00+00:00
TAOUSDT,0.5353,1.1521,0.4647,2026-03-26 00:10:00+00:00
TAOUSDT,0.5343,1.1472,0.4657,2026-03-26 00:15:00+00:00
TAOUSDT,0.5342,1.1471,0.4658,2026-03-26 00:20:00+00:00
TAOUSDT,0.5326,1.1396,0.4674,2026-03-26 00:25:00+00:00
TAOUSDT,0.5366,1.1579,0.4634,2026-03-26 00:30:00+00:00
TAOUSDT,0.5363,1.1565,0.4637,2026-03-26 00:35:00+00:00
TAOUSDT,0.537,1.16,0.463,2026-03-26 00:40:00+00:00
TAOUSDT,0.5371,1.1601,0.4629,2026-03-26 00:45:00+00:00
TAOUSDT,0.5371,1.1604,0.4629,2026-03-26 00:50:00+00:00
TAOUSDT,0.5366,1.1582,0.4634,2026-03-26 00:55:00+00:00
TAOUSDT,0.5368,1.1587,0.4632,2026-03-26 01:00:00+00:00
TAOUSDT,0.5364,1.1568,0.4636,2026-03-26 01:05:00+00:00
TAOUSDT,0.537,1.1596,0.463,2026-03-26 01:10:00+00:00
TAOUSDT,0.535,1.1503,0.465,2026-03-26 01:15:00+00:00
TAOUSDT,0.5351,1.151,0.4649,2026-03-26 01:20:00+00:00
