symbol,fundingTime,fundingRate,markPrice
XRPUSDT,2026-03-14 00:00:00.001000+00:00,-3.777e-05,1.3981446
XRPUSDT,2026-03-14 08:00:00+00:00,-4.684e-05,1.3935
XRPUSDT,2026-03-14 16:00:00.007000+00:00,-8.856e-05,1.38949373
XRPUSDT,2026-03-15 00:00:00+00:00,-9.162e-05,1.4056
XRPUSDT,2026-03-15 08:00:00+00:00,3.192e-05,1.407
XRPUSDT,2026-03-15 16:00:00+00:00,8.806e-05,1.415
XRPUSDT,2026-03-16 00:00:00+00:00,9.386e-05,1.44851544
XRPUSDT,2026-03-16 08:00:00.010000+00:00,0.0001,1.4823039
XRPUSDT,2026-03-16 16:00:00+00:00,8.1e-07,1.4924
XRPUSDT,2026-03-17 00:00:00+00:00,3.052e-05,1.54213789
XRPUSDT,2026-03-17 08:00:00.002000+00:00,6.496e-05,1.5292
XRPUSDT,2026-03-17 16:00:00.011000+00:00,-3.703e-05,1.51271044
XRPUSDT,2026-03-18 00:00:00.002000+00:00,1.516e-05,1.51768199
XRPUSDT,2026-03-18 08:00:00.002000+00:00,-1.504e-05,1.51918009
XRPUSDT,2026-03-18 16:00:00.005000+00:00,-2.566e-05,1.44029461
XRPUSDT,2026-03-19 00:00:00+00:00,-6.332e-05,1.464
XRPUSDT,2026-03-19 08:00:00.003000+00:00,8.54e-05,1.46087644
XRPUSDT,2026-03-19 16:00:00.003000+00:00,0.0001,1.4311
XRPUSDT,2026-03-20 00:00:00.002000+00:00,-4.789e-05,1.4469
XRPUSDT,2026-03-20 08:00:00+00:00,-3.629e-05,1.4538
XRPUSDT,2026-03-20 16:00:00+00:00,-3.11e-05,1.4367193
XRPUSDT,2026-03-21 00:00:00+00:00,2.181e-05,1.4445
XRPUSDT,2026-03-21 08:00:00+00:00,4.19e-06,1.4433
XRPUSDT,2026-03-21 16:00:00.014000+00:00,-4.751e-05,1.43733676
XRPUSDT,2026-03-22 00:00:00.012000+00:00,-9.004e-05,1.40808564
XRPUSDT,2026-03-22 08:00:00.007000+00:00,-3.671e-05,1.4027
XRPUSDT,2026-03-22 16:00:00.002000+00:00,-4.342e-05,1.392
XRPUSDT,2026-03-23 00:00:00+00:00,3.651e-05,1.3841
XRPUSDT,2026-03-23 08:00:00.003000+00:00,5.738e-05,1.3719
XRPUSDT,2026-03-23 16:00:00.002000+00:00,-4.575e-05,1.43085224
XRPUSDT,2026-03-24 00:00:00+00:00,6.649e-05,1.4316
XRPUSDT,2026-03-24 08:00:00+00:00,1.359e-05,1.4306979
XRPUSDT,2026-03-24 16:00:00.003000+00:00,-9.75e-05,1.4001506
XRPUSDT,2026-03-25 00:00:00+00:00,-9.143e-05,1.41502791
XRPUSDT,2026-03-25 08:00:00+00:00,3.239e-05,1.4193
XRPUSDT,2026-03-25 16:00:00.013000+00:00,-2.97e-05,1.4066
XRPUSDT,2026-03-26 00:00:00.001000+00:00,-5.926e-05,1.41382861
XRPUSDT,2026-03-26 08:00:00.001000+00:00,-0.0001033,1.3849
XRPUSDT,2026-03-26 16:00:00+00:00,-0.00014672,1.3598
XRPUSDT,2026-03-27 00:00:00.006000+00:00,-0.00017883,1.36008873
XRPUSDT,2026-03-27 08:00:00+00:00,-5.512e-05,1.35828487
XRPUSDT,2026-03-27 16:00:00+00:00,-2.744e-05,1.33473951
