symbol,longAccount,longShortRatio,shortAccount,timestamp
XRPUSDT,0.6817,2.1417,0.3183,2026-03-13 17:00:00+00:00
XRPUSDT,0.686,2.1847,0.314,2026-03-13 18:00:00+00:00
XRPUSDT,0.7007,2.3411,0.2993,2026-03-13 19:00:00+00:00
XRPUSDT,0.7029,2.3659,0.2971,2026-03-13 20:00:00+00:00
XRPUSDT,0.7058,2.399,0.2942,2026-03-13 21:00:00+00:00
XRPUSDT,0.7061,2.4025,0.2939,2026-03-13 22:00:00+00:00
XRPUSDT,0.7065,2.4072,0.2935,2026-03-13 23:00:00+00:00
XRPUSDT,0.7073,2.4165,0.2927,2026-03-14 00:00:00+00:00
XRPUSDT,0.7076,2.42,0.2924,2026-03-14 01:00:00+00:00
XRPUSDT,0.7074,2.4176,0.2926,2026-03-14 02:00:00+00:00
XRPUSDT,0.7071,2.4141,0.2929,2026-03-14 03:00:00+00:00
XRPUSDT,0.7125,2.4783,0.2875,2026-03-14 04:00:00+00:00
XRPUSDT,0.7158,2.5186,0.2842,2026-03-14 05:00:00+00:00
XRPUSDT,0.7146,2.5039,0.2854,2026-03-14 06:00:00+00:00
XRPUSDT,0.7125,2.4783,0.2875,2026-03-14 07:00:00+00:00
XRPUSDT,0.7111,2.4614,0.2889,2026-03-14 08:00:00+00:00
XRPUSDT,0.7112,2.4626,0.2888,2026-03-14 09:00:00+00:00
XRPUSDT,0.7116,2.4674,0.2884,2026-03-14 10:00:00+00:00
XRPUSDT,0.712,2.4722,0.288,2026-03-14 11:00:00+00:00
XRPUSDT,0.7135,2.4904,0.2865,2026-03-14 12:00:00+00:00
XRPUSDT,0.7145,2.5026,0.2855,2026-03-14 13:00:00+00:00
XRPUSDT,0.7163,2.5249,0.2837,2026-03-14 14:00:00+00:00
XRPUSDT,0.7175,2.5398,0.2825,2026-03-14 15:00:00+00:00
XRPUSDT,0.717,2.5336,0.283,2026-03-14 16:00:00+00:00
XRPUSDT,0.7177,2.5423,0.2823,2026-03-14 17:00:00+00:00
XRPUSDT,0.7183,2.5499,0.2817,2026-03-14 18:00:00+00:00
XRPUSDT,0.718,2.5461,0.282,2026-03-14 19:00:00+00:00
XRPUSDT,0.7186,2.5537,0.2814,2026-03-14 20:00:00+00:00
XRPUSDT,0.7183,2.5499,0.2817,2026-03-14 21:00:00+00:00
XRPUSDT,0.7185,2.5524,0.2815,2026-03-14 22:00:00+00:00
XRPUSDT,0.7189,2.5575,0.2811,2026-03-14 23:00:00+00:00
XRPUSDT,0.7224,2.6023,0.2776,2026-03-15 00:00:00+00:00
XRPUSDT,0.7181,2.5474,0.2819,2026-03-15 01:00:00+00:00
XRPUSDT,0.7182,2.5486,0.2818,2026-03-15 02:00:00+00:00
XRPUSDT,0.7176,2.5411,0.2824,2026-03-15 03:00:00+00:00
XRPUSDT,0.7157,2.5174,0.2843,2026-03-15 04:00:00+00:00
XRPUSDT,0.7148,2.5063,0.2852,2026-03-15 05:00:00+00:00
XRPUSDT,0.7153,2.5125,0.2847,2026-03-15 06:00:00+00:00
XRPUSDT,0.7153,2.5125,0.2847,2026-03-15 07:00:00+00:00
XRPUSDT,0.7161,2.5224,0.2839,2026-03-15 08:00:00+00:00
XRPUSDT,0.7159,2.5199,0.2841,2026-03-15 09:00:00+00:00
XRPUSDT,0.7149,2.5075,0.2851,2026-03-15 10:00:00+00:00
XRPUSDT,0.7144,2.5014,0.2856,2026-03-15 11:00:00+00:00
XRPUSDT,0.7123,2.4758,0.2877,2026-03-15 12:00:00+00:00
XRPUSDT,0.711,2.4602,0.289,2026-03-15 13:00:00+00:00
XRPUSDT,0.7075,2.4188,0.2925,2026-03-15 14:00:00+00:00
XRPUSDT,0.708,2.4247,0.292,2026-03-15 15:00:00+00:00
XRPUSDT,0.7074,2.4176,0.2926,2026-03-15 16:00:00+00:00
XRPUSDT,0.697,2.3003,0.303,2026-03-15 17:00:00+00:00
XRPUSDT,0.6986,2.3179,0.3014,2026-03-15 18:00:00+00:00
XRPUSDT,0.7028,2.3647,0.2972,2026-03-15 19:00:00+00:00
XRPUSDT,0.7039,2.3772,0.2961,2026-03-15 20:00:00+00:00
XRPUSDT,0.7033,2.3704,0.2967,2026-03-15 21:00:00+00:00
XRPUSDT,0.7032,2.3693,0.2968,2026-03-15 22:00:00+00:00
XRPUSDT,0.6964,2.2938,0.3036,2026-03-15 23:00:00+00:00
XRPUSDT,0.6929,2.2563,0.3071,2026-03-16 00:00:00+00:00
XRPUSDT,0.6895,2.2206,0.3105,2026-03-16 01:00:00+00:00
XRPUSDT,0.6872,2.1969,0.3128,2026-03-16 02:00:00+00:00
XRPUSDT,0.6872,2.1969,0.3128,2026-03-16 03:00:00+00:00
XRPUSDT,0.6874,2.199,0.3126,2026-03-16 04:00:00+00:00
XRPUSDT,0.6873,2.198,0.3127,2026-03-16 05:00:00+00:00
XRPUSDT,0.6831,2.1556,0.3169,2026-03-16 06:00:00+00:00
XRPUSDT,0.6784,2.1095,0.3216,2026-03-16 07:00:00+00:00
XRPUSDT,0.6768,2.0941,0.3232,2026-03-16 08:00:00+00:00
XRPUSDT,0.6726,2.0544,0.3274,2026-03-16 09:00:00+00:00
XRPUSDT,0.6748,2.075,0.3252,2026-03-16 10:00:00+00:00
XRPUSDT,0.6741,2.0684,0.3259,2026-03-16 11:00:00+00:00
XRPUSDT,0.6751,2.0779,0.3249,2026-03-16 12:00:00+00:00
XRPUSDT,0.6739,2.0665,0.3261,2026-03-16 13:00:00+00:00
XRPUSDT,0.6783,2.1085,0.3217,2026-03-16 14:00:00+00:00
XRPUSDT,0.6727,2.0553,0.3273,2026-03-16 15:00:00+00:00
XRPUSDT,0.6659,1.9931,0.3341,2026-03-16 16:00:00+00:00
XRPUSDT,0.6653,1.9878,0.3347,2026-03-16 17:00:00+00:00
XRPUSDT,0.6653,1.9878,0.3347,2026-03-16 18:00:00+00:00
XRPUSDT,0.6684,2.0157,0.3316,2026-03-16 19:00:00+00:00
XRPUSDT,0.6647,1.9824,0.3353,2026-03-16 20:00:00+00:00
XRPUSDT,0.6648,1.9833,0.3352,2026-03-16 21:00:00+00:00
XRPUSDT,0.6692,2.023,0.3308,2026-03-16 22:00:00+00:00
XRPUSDT,0.6707,2.0367,0.3293,2026-03-16 23:00:00+00:00
XRPUSDT,0.6699,2.0294,0.3301,2026-03-17 00:00:00+00:00
XRPUSDT,0.6681,2.013,0.3319,2026-03-17 01:00:00+00:00
XRPUSDT,0.673,2.0581,0.327,2026-03-17 02:00:00+00:00
XRPUSDT,0.6709,2.0386,0.3291,2026-03-17 03:00:00+00:00
XRPUSDT,0.6697,2.0276,0.3303,2026-03-17 04:00:00+00:00
XRPUSDT,0.6683,2.0148,0.3317,2026-03-17 05:00:00+00:00
XRPUSDT,0.6681,2.013,0.3319,2026-03-17 06:00:00+00:00
XRPUSDT,0.6701,2.0312,0.3299,2026-03-17 07:00:00+00:00
XRPUSDT,0.6715,2.0441,0.3285,2026-03-17 08:00:00+00:00
XRPUSDT,0.6725,2.0534,0.3275,2026-03-17 09:00:00+00:00
XRPUSDT,0.6717,2.046,0.3283,2026-03-17 10:00:00+00:00
XRPUSDT,0.6688,2.0193,0.3312,2026-03-17 11:00:00+00:00
XRPUSDT,0.672,2.0488,0.328,2026-03-17 12:00:00+00:00
XRPUSDT,0.669,2.0211,0.331,2026-03-17 13:00:00+00:00
XRPUSDT,0.67,2.0303,0.33,2026-03-17 14:00:00+00:00
XRPUSDT,0.6738,2.0656,0.3262,2026-03-17 15:00:00+00:00
XRPUSDT,0.673,2.0581,0.327,2026-03-17 16:00:00+00:00
XRPUSDT,0.6746,2.0731,0.3254,2026-03-17 17:00:00+00:00
XRPUSDT,0.6759,2.0855,0.3241,2026-03-17 18:00:00+00:00
XRPUSDT,0.6751,2.0779,0.3249,2026-03-17 19:00:00+00:00
XRPUSDT,0.6731,2.059,0.3269,2026-03-17 20:00:00+00:00
XRPUSDT,0.6701,2.0312,0.3299,2026-03-17 21:00:00+00:00
XRPUSDT,0.6715,2.0441,0.3285,2026-03-17 22:00:00+00:00
XRPUSDT,0.6683,2.0148,0.3317,2026-03-17 23:00:00+00:00
XRPUSDT,0.6645,1.9806,0.3355,2026-03-18 00:00:00+00:00
XRPUSDT,0.6616,1.9551,0.3384,2026-03-18 01:00:00+00:00
XRPUSDT,0.6644,1.9797,0.3356,2026-03-18 02:00:00+00:00
XRPUSDT,0.6658,1.9922,0.3342,2026-03-18 03:00:00+00:00
XRPUSDT,0.6655,1.9895,0.3345,2026-03-18 04:00:00+00:00
XRPUSDT,0.6646,1.9815,0.3354,2026-03-18 05:00:00+00:00
XRPUSDT,0.6658,1.9922,0.3342,2026-03-18 06:00:00+00:00
XRPUSDT,0.6681,2.013,0.3319,2026-03-18 07:00:00+00:00
XRPUSDT,0.6684,2.0157,0.3316,2026-03-18 08:00:00+00:00
XRPUSDT,0.6677,2.0093,0.3323,2026-03-18 09:00:00+00:00
XRPUSDT,0.6695,2.0257,0.3305,2026-03-18 10:00:00+00:00
XRPUSDT,0.6705,2.0349,0.3295,2026-03-18 11:00:00+00:00
XRPUSDT,0.6702,2.0321,0.3298,2026-03-18 12:00:00+00:00
XRPUSDT,0.6786,2.1114,0.3214,2026-03-18 13:00:00+00:00
XRPUSDT,0.685,2.1746,0.315,2026-03-18 14:00:00+00:00
XRPUSDT,0.6849,2.1736,0.3151,2026-03-18 15:00:00+00:00
XRPUSDT,0.7033,2.3704,0.2967,2026-03-18 16:00:00+00:00
XRPUSDT,0.7042,2.3807,0.2958,2026-03-18 17:00:00+00:00
XRPUSDT,0.7128,2.4819,0.2872,2026-03-18 18:00:00+00:00
XRPUSDT,0.7078,2.4223,0.2922,2026-03-18 19:00:00+00:00
XRPUSDT,0.7106,2.4554,0.2894,2026-03-18 20:00:00+00:00
XRPUSDT,0.7074,2.4176,0.2926,2026-03-18 21:00:00+00:00
XRPUSDT,0.7113,2.4638,0.2887,2026-03-18 22:00:00+00:00
XRPUSDT,0.7089,2.4352,0.2911,2026-03-18 23:00:00+00:00
XRPUSDT,0.7083,2.4282,0.2917,2026-03-19 00:00:00+00:00
XRPUSDT,0.7094,2.4412,0.2906,2026-03-19 01:00:00+00:00
XRPUSDT,0.7111,2.4614,0.2889,2026-03-19 02:00:00+00:00
XRPUSDT,0.7117,2.4686,0.2883,2026-03-19 03:00:00+00:00
XRPUSDT,0.7106,2.4554,0.2894,2026-03-19 04:00:00+00:00
XRPUSDT,0.7119,2.471,0.2881,2026-03-19 05:00:00+00:00
XRPUSDT,0.7095,2.4423,0.2905,2026-03-19 06:00:00+00:00
XRPUSDT,0.7078,2.4223,0.2922,2026-03-19 07:00:00+00:00
XRPUSDT,0.6993,2.3256,0.3007,2026-03-19 08:00:00+00:00
XRPUSDT,0.6986,2.3179,0.3014,2026-03-19 09:00:00+00:00
XRPUSDT,0.6997,2.33,0.3003,2026-03-19 10:00:00+00:00
XRPUSDT,0.6981,2.3124,0.3019,2026-03-19 11:00:00+00:00
XRPUSDT,0.6989,2.3212,0.3011,2026-03-19 12:00:00+00:00
XRPUSDT,0.6967,2.2971,0.3033,2026-03-19 13:00:00+00:00
XRPUSDT,0.6994,2.3267,0.3006,2026-03-19 14:00:00+00:00
XRPUSDT,0.7018,2.3535,0.2982,2026-03-19 15:00:00+00:00
XRPUSDT,0.704,2.3784,0.296,2026-03-19 16:00:00+00:00
XRPUSDT,0.7058,2.399,0.2942,2026-03-19 17:00:00+00:00
XRPUSDT,0.7047,2.3864,0.2953,2026-03-19 18:00:00+00:00
XRPUSDT,0.7052,2.3921,0.2948,2026-03-19 19:00:00+00:00
XRPUSDT,0.7091,2.4376,0.2909,2026-03-19 20:00:00+00:00
XRPUSDT,0.7102,2.4507,0.2898,2026-03-19 21:00:00+00:00
XRPUSDT,0.7112,2.4626,0.2888,2026-03-19 22:00:00+00:00
XRPUSDT,0.7103,2.4518,0.2897,2026-03-19 23:00:00+00:00
XRPUSDT,0.7107,2.4566,0.2893,2026-03-20 00:00:00+00:00
XRPUSDT,0.7113,2.4638,0.2887,2026-03-20 01:00:00+00:00
XRPUSDT,0.7158,2.5186,0.2842,2026-03-20 02:00:00+00:00
XRPUSDT,0.7167,2.5298,0.2833,2026-03-20 03:00:00+00:00
XRPUSDT,0.7181,2.5474,0.2819,2026-03-20 04:00:00+00:00
XRPUSDT,0.7194,2.5638,0.2806,2026-03-20 05:00:00+00:00
XRPUSDT,0.7171,2.5348,0.2829,2026-03-20 06:00:00+00:00
XRPUSDT,0.7169,2.5323,0.2831,2026-03-20 07:00:00+00:00
XRPUSDT,0.7162,2.5236,0.2838,2026-03-20 08:00:00+00:00
XRPUSDT,0.7191,2.56,0.2809,2026-03-20 09:00:00+00:00
XRPUSDT,0.721,2.5842,0.279,2026-03-20 10:00:00+00:00
XRPUSDT,0.7215,2.5907,0.2785,2026-03-20 11:00:00+00:00
XRPUSDT,0.7217,2.5932,0.2783,2026-03-20 12:00:00+00:00
XRPUSDT,0.7213,2.5881,0.2787,2026-03-20 13:00:00+00:00
XRPUSDT,0.7193,2.5625,0.2807,2026-03-20 14:00:00+00:00
XRPUSDT,0.7185,2.5524,0.2815,2026-03-20 15:00:00+00:00
XRPUSDT,0.7195,2.5651,0.2805,2026-03-20 16:00:00+00:00
XRPUSDT,0.7196,2.5663,0.2804,2026-03-20 17:00:00+00:00
XRPUSDT,0.7198,2.5689,0.2802,2026-03-20 18:00:00+00:00
XRPUSDT,0.7197,2.5676,0.2803,2026-03-20 19:00:00+00:00
XRPUSDT,0.7193,2.5625,0.2807,2026-03-20 20:00:00+00:00
XRPUSDT,0.7182,2.5486,0.2818,2026-03-20 21:00:00+00:00
XRPUSDT,0.7215,2.5907,0.2785,2026-03-20 22:00:00+00:00
XRPUSDT,0.7216,2.592,0.2784,2026-03-20 23:00:00+00:00
XRPUSDT,0.7219,2.5958,0.2781,2026-03-21 00:00:00+00:00
XRPUSDT,0.7215,2.5907,0.2785,2026-03-21 01:00:00+00:00
XRPUSDT,0.7233,2.614,0.2767,2026-03-21 02:00:00+00:00
XRPUSDT,0.7229,2.6088,0.2771,2026-03-21 03:00:00+00:00
XRPUSDT,0.7224,2.6023,0.2776,2026-03-21 04:00:00+00:00
XRPUSDT,0.7236,2.6179,0.2764,2026-03-21 05:00:00+00:00
XRPUSDT,0.7232,2.6127,0.2768,2026-03-21 06:00:00+00:00
XRPUSDT,0.723,2.6101,0.277,2026-03-21 07:00:00+00:00
XRPUSDT,0.7238,2.6206,0.2762,2026-03-21 08:00:00+00:00
XRPUSDT,0.7213,2.5881,0.2787,2026-03-21 09:00:00+00:00
XRPUSDT,0.7188,2.5562,0.2812,2026-03-21 10:00:00+00:00
XRPUSDT,0.7182,2.5486,0.2818,2026-03-21 11:00:00+00:00
XRPUSDT,0.7194,2.5638,0.2806,2026-03-21 12:00:00+00:00
XRPUSDT,0.7185,2.5524,0.2815,2026-03-21 13:00:00+00:00
XRPUSDT,0.7185,2.5524,0.2815,2026-03-21 14:00:00+00:00
XRPUSDT,0.7188,2.5562,0.2812,2026-03-21 15:00:00+00:00
XRPUSDT,0.7201,2.5727,0.2799,2026-03-21 16:00:00+00:00
XRPUSDT,0.7193,2.5625,0.2807,2026-03-21 17:00:00+00:00
XRPUSDT,0.7168,2.5311,0.2832,2026-03-21 18:00:00+00:00
XRPUSDT,0.7181,2.5474,0.2819,2026-03-21 19:00:00+00:00
XRPUSDT,0.7179,2.5448,0.2821,2026-03-21 20:00:00+00:00
XRPUSDT,0.7167,2.5298,0.2833,2026-03-21 21:00:00+00:00
XRPUSDT,0.7166,2.5286,0.2834,2026-03-21 22:00:00+00:00
XRPUSDT,0.7159,2.5199,0.2841,2026-03-21 23:00:00+00:00
XRPUSDT,0.7226,2.6049,0.2774,2026-03-22 00:00:00+00:00
XRPUSDT,0.7203,2.5753,0.2797,2026-03-22 01:00:00+00:00
XRPUSDT,0.7212,2.5868,0.2788,2026-03-22 02:00:00+00:00
XRPUSDT,0.721,2.5842,0.279,2026-03-22 03:00:00+00:00
XRPUSDT,0.719,2.5587,0.281,2026-03-22 04:00:00+00:00
XRPUSDT,0.7178,2.5436,0.2822,2026-03-22 05:00:00+00:00
XRPUSDT,0.7164,2.5261,0.2836,2026-03-22 06:00:00+00:00
XRPUSDT,0.716,2.5211,0.284,2026-03-22 07:00:00+00:00
XRPUSDT,0.7168,2.5311,0.2832,2026-03-22 08:00:00+00:00
XRPUSDT,0.716,2.5211,0.284,2026-03-22 09:00:00+00:00
XRPUSDT,0.7152,2.5112,0.2848,2026-03-22 10:00:00+00:00
XRPUSDT,0.7149,2.5075,0.2851,2026-03-22 11:00:00+00:00
XRPUSDT,0.7152,2.5112,0.2848,2026-03-22 12:00:00+00:00
XRPUSDT,0.7147,2.5051,0.2853,2026-03-22 13:00:00+00:00
XRPUSDT,0.7126,2.4795,0.2874,2026-03-22 14:00:00+00:00
XRPUSDT,0.7122,2.4746,0.2878,2026-03-22 15:00:00+00:00
XRPUSDT,0.7133,2.488,0.2867,2026-03-22 16:00:00+00:00
XRPUSDT,0.7122,2.4746,0.2878,2026-03-22 17:00:00+00:00
XRPUSDT,0.7118,2.4698,0.2882,2026-03-22 18:00:00+00:00
XRPUSDT,0.7112,2.4626,0.2888,2026-03-22 19:00:00+00:00
XRPUSDT,0.7104,2.453,0.2896,2026-03-22 20:00:00+00:00
XRPUSDT,0.7095,2.4423,0.2905,2026-03-22 21:00:00+00:00
XRPUSDT,0.7074,2.4176,0.2926,2026-03-22 22:00:00+00:00
XRPUSDT,0.7074,2.4176,0.2926,2026-03-22 23:00:00+00:00
XRPUSDT,0.7075,2.4188,0.2925,2026-03-23 00:00:00+00:00
XRPUSDT,0.7076,2.42,0.2924,2026-03-23 01:00:00+00:00
XRPUSDT,0.7067,2.4095,0.2933,2026-03-23 02:00:00+00:00
XRPUSDT,0.7056,2.3967,0.2944,2026-03-23 03:00:00+00:00
