symbol,longAccount,longShortRatio,shortAccount,timestamp
XRPUSDT,0.697,2.3003,0.303,2026-03-25 22:40:00+00:00
XRPUSDT,0.6988,2.3201,0.3012,2026-03-25 22:45:00+00:00
XRPUSDT,0.6992,2.3245,0.3008,2026-03-25 22:50:00+00:00
XRPUSDT,0.6992,2.3245,0.3008,2026-03-25 22:55:00+00:00
XRPUSDT,0.6991,2.3234,0.3009,2026-03-25 23:00:00+00:00
XRPUSDT,0.6988,2.3201,0.3012,2026-03-25 23:05:00+00:00
XRPUSDT,0.6991,2.3234,0.3009,2026-03-25 23:10:00+00:00
XRPUSDT,0.699,2.3223,0.301,2026-03-25 23:15:00+00:00
XRPUSDT,0.6992,2.3245,0.3008,2026-03-25 23:20:00+00:00
XRPUSDT,0.699,2.3223,0.301,2026-03-25 23:25:00+00:00
XRPUSDT,0.6991,2.3234,0.3009,2026-03-25 23:30:00+00:00
XRPUSDT,0.6991,2.3234,0.3009,2026-03-25 23:35:00+00:00
XRPUSDT,0.6996,2.3289,0.3004,2026-03-25 23:40:00+00:00
XRPUSDT,0.6997,2.33,0.3003,2026-03-25 23:45:00+00:00
XRPUSDT,0.7001,2.3344,0.2999,2026-03-25 23:50:00+00:00
XRPUSDT,0.7,2.3333,0.3,2026-03-25 23:55:00+00:00
XRPUSDT,0.7002,2.3356,0.2998,2026-03-26 00:00:00+00:00
XRPUSDT,0.7004,2.3378,0.2996,2026-03-26 00:05:00+00:00
XRPUSDT,0.7004,2.3378,0.2996,2026-03-26 00:10:00+00:00
XRPUSDT,0.7005,2.3389,0.2995,2026-03-26 00:15:00+00:00
XRPUSDT,0.7003,2.3367,0.2997,2026-03-26 00:20:00+00:00
XRPUSDT,0.7002,2.3356,0.2998,2026-03-26 00:25:00+00:00
XRPUSDT,0.7003,2.3367,0.2997,2026-03-26 00:30:00+00:00
XRPUSDT,0.7004,2.3378,0.2996,2026-03-26 00:35:00+00:00
XRPUSDT,0.7003,2.3367,0.2997,2026-03-26 00:40:00+00:00
XRPUSDT,0.7003,2.3367,0.2997,2026-03-26 00:45:00+00:00
XRPUSDT,0.7006,2.34,0.2994,2026-03-26 00:50:00+00:00
XRPUSDT,0.7012,2.3467,0.2988,2026-03-26 00:55:00+00:00
XRPUSDT,0.7017,2.3523,0.2983,2026-03-26 01:00:00+00:00
XRPUSDT,0.7013,2.3478,0.2987,2026-03-26 01:05:00+00:00
XRPUSDT,0.7012,2.3467,0.2988,2026-03-26 01:10:00+00:00
XRPUSDT,0.701,2.3445,0.299,2026-03-26 01:15:00+00:00
XRPUSDT,0.7006,2.34,0.2994,2026-03-26 01:20:00+00:00
XRPUSDT,0.7008,2.3422,0.2992,2026-03-26 01:25:00+00:00
XRPUSDT,0.6992,2.3245,0.3008,2026-03-26 01:30:00+00:00
XRPUSDT,0.6987,2.319,0.3013,2026-03-26 01:35:00+00:00
XRPUSDT,0.6986,2.3179,0.3014,2026-03-26 01:40:00+00:00
XRPUSDT,0.6988,2.3201,0.3012,2026-03-26 01:45:00+00:00
XRPUSDT,0.6985,2.3167,0.3015,2026-03-26 01:50:00+00:00
XRPUSDT,0.6985,2.3167,0.3015,2026-03-26 01:55:00+00:00
XRPUSDT,0.6988,2.3201,0.3012,2026-03-26 02:00:00+00:00
XRPUSDT,0.6984,2.3156,0.3016,2026-03-26 02:05:00+00:00
XRPUSDT,0.6986,2.3179,0.3014,2026-03-26 02:10:00+00:00
XRPUSDT,0.6983,2.3146,0.3017,2026-03-26 02:15:00+00:00
XRPUSDT,0.6988,2.3201,0.3012,2026-03-26 02:20:00+00:00
