symbol,sumOpenInterest,sumOpenInterestValue,CMCCirculatingSupply,timestamp
XRPUSDT,305940334.6,431131119.51832,61227832454.00000000,2026-03-13 17:00:00+00:00
XRPUSDT,304790845.9,424665085.59247,61227832454.00000000,2026-03-13 18:00:00+00:00
XRPUSDT,305738170.3,427003186.39277667,61227832454.00000000,2026-03-13 19:00:00+00:00
XRPUSDT,303525067.8,425030939.0306592,61227832454.00000000,2026-03-13 20:00:00+00:00
XRPUSDT,301908189.7,423193905.62594825,61227832454.00000000,2026-03-13 21:00:00+00:00
XRPUSDT,301201282.6,421621555.38348,61227832454.00000000,2026-03-13 22:00:00+00:00
XRPUSDT,301787007.7,420721267.43457,61227832454.00000000,2026-03-13 23:00:00+00:00
XRPUSDT,301208961.8,421133683.41227627,61227832454.00000000,2026-03-14 00:00:00+00:00
XRPUSDT,300217431.4,418339537.91279894,61227832454.00000000,2026-03-14 01:00:00+00:00
XRPUSDT,300098814.3,419959556.1513808,61227832454.00000000,2026-03-14 02:00:00+00:00
XRPUSDT,299670960.4,418843526.57020885,61227832454.00000000,2026-03-14 03:00:00+00:00
XRPUSDT,298262418.5,417543426.4799219,61227832454.00000000,2026-03-14 04:00:00+00:00
XRPUSDT,296609658.5,414447565.23763406,61227832454.00000000,2026-03-14 05:00:00+00:00
XRPUSDT,296548374.0,413536707.543,61227832454.00000000,2026-03-14 06:00:00+00:00
XRPUSDT,294163041.6,409435797.8647326,61227832454.00000000,2026-03-14 07:00:00+00:00
XRPUSDT,294359145.9,410160033.89706,61227832454.00000000,2026-03-14 08:00:00+00:00
XRPUSDT,294883823.5,410662572.9063346,61227832454.00000000,2026-03-14 09:00:00+00:00
XRPUSDT,295289861.7,410216675.87364,61227832454.00000000,2026-03-14 10:00:00+00:00
XRPUSDT,295147064.1,409870727.91567,61227832454.00000000,2026-03-14 11:00:00+00:00
XRPUSDT,294687354.0,410145859.2972,61227832454.00000000,2026-03-14 12:00:00+00:00
XRPUSDT,293940976.8,408133792.3601868,61227832454.00000000,2026-03-14 13:00:00+00:00
XRPUSDT,294442040.8,409532432.71698976,61227832454.00000000,2026-03-14 14:00:00+00:00
XRPUSDT,293825281.9,407917638.86177,61227832454.00000000,2026-03-14 15:00:00+00:00
XRPUSDT,293600529.7,407957936.01815,61227832454.00000000,2026-03-14 16:00:00+00:00
XRPUSDT,292827323.1,407689824.4857806,61227832454.00000000,2026-03-14 17:00:00+00:00
XRPUSDT,292570948.3,406264018.80938,61227832454.00000000,2026-03-14 18:00:00+00:00
XRPUSDT,292380896.2,406526398.07648,61227832454.00000000,2026-03-14 19:00:00+00:00
XRPUSDT,292411760.4,406276899.89976,61227832454.00000000,2026-03-14 20:00:00+00:00
