symbol,sumOpenInterest,sumOpenInterestValue,CMCCirculatingSupply,timestamp
XRPUSDT,227992628.7,323134862.3470985,61344583754.00000000,2026-03-25 22:40:00+00:00
XRPUSDT,228157070.9,323686196.92090553,61344583754.00000000,2026-03-25 22:45:00+00:00
XRPUSDT,228181384.8,323686598.44460297,61344583754.00000000,2026-03-25 22:50:00+00:00
XRPUSDT,228260708.9,323552446.82727486,61344583754.00000000,2026-03-25 22:55:00+00:00
XRPUSDT,228280658.4,323529701.6123384,61344583754.00000000,2026-03-25 23:00:00+00:00
XRPUSDT,228367887.5,323765731.6066045,61344583754.00000000,2026-03-25 23:05:00+00:00
XRPUSDT,228422436.7,323669677.1530622,61344583754.00000000,2026-03-25 23:10:00+00:00
XRPUSDT,228482972.2,323509305.3782278,61344583754.00000000,2026-03-25 23:15:00+00:00
XRPUSDT,228487395.9,323404087.61485565,61344583754.00000000,2026-03-25 23:20:00+00:00
XRPUSDT,228476453.7,323636896.66605,61344583754.00000000,2026-03-25 23:25:00+00:00
XRPUSDT,228475312.0,323498194.2608,61344583754.00000000,2026-03-25 23:30:00+00:00
XRPUSDT,228527066.8,323547736.7756915,61344583754.00000000,2026-03-25 23:35:00+00:00
XRPUSDT,228536735.6,323105236.79128,61344583754.00000000,2026-03-25 23:40:00+00:00
XRPUSDT,228463790.9,322705104.64625,61344583754.00000000,2026-03-25 23:45:00+00:00
XRPUSDT,228363243.6,322471736.28756,61344583754.00000000,2026-03-25 23:50:00+00:00
XRPUSDT,228379148.4,322905277.92276,61344583754.00000000,2026-03-25 23:55:00+00:00
XRPUSDT,228417976.6,322943870.35539055,61344583754.00000000,2026-03-26 00:00:00+00:00
XRPUSDT,228481035.9,322660918.89798,61344583754.00000000,2026-03-26 00:05:00+00:00
XRPUSDT,228456846.0,322429608.80137587,61344583754.00000000,2026-03-26 00:10:00+00:00
XRPUSDT,228255179.6,322296313.5952,61344583754.00000000,2026-03-26 00:15:00+00:00
XRPUSDT,228201791.6,322370333.45216054,61344583754.00000000,2026-03-26 00:20:00+00:00
XRPUSDT,228230269.9,322690839.3571515,61344583754.00000000,2026-03-26 00:25:00+00:00
XRPUSDT,228245148.9,322385399.2223564,61344583754.00000000,2026-03-26 00:30:00+00:00
XRPUSDT,228302342.7,322561229.5714566,61344583754.00000000,2026-03-26 00:35:00+00:00
XRPUSDT,228367540.1,322660497.40729,61344583754.00000000,2026-03-26 00:40:00+00:00
XRPUSDT,228258567.0,322803265.4514,61344583754.00000000,2026-03-26 00:45:00+00:00
XRPUSDT,228268238.4,322931076.86448,61344583754.00000000,2026-03-26 00:50:00+00:00
XRPUSDT,228302612.3,322386118.82883,61344583754.00000000,2026-03-26 00:55:00+00:00
XRPUSDT,228329089.5,322563411.36595935,61344583754.00000000,2026-03-26 01:00:00+00:00
XRPUSDT,228362959.5,322608352.88565,61344583754.00000000,2026-03-26 01:05:00+00:00
XRPUSDT,228361676.0,322492358.8472,61344583754.00000000,2026-03-26 01:10:00+00:00
XRPUSDT,228335661.6,322364287.04688,61344583754.00000000,2026-03-26 01:15:00+00:00
XRPUSDT,228335270.2,322135399.19816,61344583754.00000000,2026-03-26 01:20:00+00:00
XRPUSDT,228319174.1,322272514.24215,61344583754.00000000,2026-03-26 01:25:00+00:00
XRPUSDT,229444930.2,324320408.8377,61344583754.00000000,2026-03-26 01:30:00+00:00
XRPUSDT,230279294.5,325476754.8463,61344583754.00000000,2026-03-26 01:35:00+00:00
XRPUSDT,230717503.0,325958943.34161633,61344583754.00000000,2026-03-26 01:40:00+00:00
XRPUSDT,230526673.8,325227031.39704,61344583754.00000000,2026-03-26 01:45:00+00:00
XRPUSDT,230558656.3,325207494.4384672,61344583754.00000000,2026-03-26 01:50:00+00:00
XRPUSDT,230480202.0,325046228.8806,61344583754.00000000,2026-03-26 01:55:00+00:00
XRPUSDT,230546544.9,325127114.517966,61344583754.00000000,2026-03-26 02:00:00+00:00
XRPUSDT,230583263.9,325214635.40456,61344583754.00000000,2026-03-26 02:05:00+00:00
XRPUSDT,230036626.4,323776551.658,61344583754.00000000,2026-03-26 02:10:00+00:00
XRPUSDT,230029676.8,323743767.12832,61344583754.00000000,2026-03-26 02:15:00+00:00
