buySellRatio,sellVol,buyVol,timestamp
0.9925,20888536.0,20731233.7,2026-03-13 16:00:00+00:00
0.8882,19155879.7,17014826.2,2026-03-13 17:00:00+00:00
1.4673,8875946.1,13023421.7,2026-03-13 18:00:00+00:00
0.9741,7557805.8,7361904.4,2026-03-13 19:00:00+00:00
0.8651,5931610.4,5131152.4,2026-03-13 20:00:00+00:00
0.58,10329777.5,5991260.6,2026-03-13 21:00:00+00:00
0.9839,9791958.0,9634269.3,2026-03-13 22:00:00+00:00
1.3433,5570553.3,7482817.8,2026-03-13 23:00:00+00:00
0.7143,7959633.8,5685961.9,2026-03-14 00:00:00+00:00
0.9564,5870771.3,5614758.0,2026-03-14 01:00:00+00:00
0.9951,4338332.5,4316924.8,2026-03-14 02:00:00+00:00
0.8264,6343315.9,5241849.0,2026-03-14 03:00:00+00:00
0.6566,8621424.2,5660765.4,2026-03-14 04:00:00+00:00
1.0072,4482026.0,4514231.0,2026-03-14 05:00:00+00:00
0.7246,14825847.3,10742582.0,2026-03-14 06:00:00+00:00
1.0539,5888148.1,6205756.2,2026-03-14 07:00:00+00:00
0.8872,6856749.8,6082999.2,2026-03-14 08:00:00+00:00
0.9856,5830324.4,5746465.5,2026-03-14 09:00:00+00:00
0.9633,4807161.7,4630799.2,2026-03-14 10:00:00+00:00
1.1767,3339027.3,3928995.8,2026-03-14 11:00:00+00:00
0.8237,6211750.1,5116328.1,2026-03-14 12:00:00+00:00
1.0619,5048473.1,5361213.6,2026-03-14 13:00:00+00:00
0.8103,5890996.3,4773281.8,2026-03-14 14:00:00+00:00
0.9392,3851821.3,3617658.9,2026-03-14 15:00:00+00:00
1.1819,3595335.7,4249230.9,2026-03-14 16:00:00+00:00
0.8525,3815488.9,3252803.8,2026-03-14 17:00:00+00:00
1.4107,2591350.6,3655556.0,2026-03-14 18:00:00+00:00
1.045,2149744.2,2246410.0,2026-03-14 19:00:00+00:00
1.0976,3463982.3,3801996.4,2026-03-14 20:00:00+00:00
1.0538,3711909.5,3911579.2,2026-03-14 21:00:00+00:00
1.0446,4421285.4,4618339.8,2026-03-14 22:00:00+00:00
0.9833,11421307.8,11230905.1,2026-03-14 23:00:00+00:00
0.9838,8759741.7,8618127.4,2026-03-15 00:00:00+00:00
1.04,4346872.5,4520866.3,2026-03-15 01:00:00+00:00
1.2396,11598610.8,14378165.5,2026-03-15 02:00:00+00:00
0.8675,8125816.4,7049222.0,2026-03-15 03:00:00+00:00
1.19,7026814.1,8362212.0,2026-03-15 04:00:00+00:00
0.9806,5310303.4,5207460.6,2026-03-15 05:00:00+00:00
0.8179,11424130.9,9344197.2,2026-03-15 06:00:00+00:00
1.0444,4529870.8,4731038.0,2026-03-15 07:00:00+00:00
1.1927,4791154.3,5714643.2,2026-03-15 08:00:00+00:00
0.9911,6525175.8,6466888.3,2026-03-15 09:00:00+00:00
1.0145,3292355.1,3340042.1,2026-03-15 10:00:00+00:00
1.3463,4638250.5,6244392.4,2026-03-15 11:00:00+00:00
0.9933,9496134.6,9432603.6,2026-03-15 12:00:00+00:00
1.0179,25475738.3,25931190.1,2026-03-15 13:00:00+00:00
0.8454,9399113.0,7945960.7,2026-03-15 14:00:00+00:00
