buySellRatio,sellVol,buyVol,timestamp
1.0754,612082.4,658251.9,2026-03-25 22:35:00+00:00
1.4318,961017.0,1375998.2,2026-03-25 22:40:00+00:00
1.1683,221691.9,258998.7,2026-03-25 22:45:00+00:00
0.5513,359363.9,198124.4,2026-03-25 22:50:00+00:00
0.8399,131493.1,110437.4,2026-03-25 22:55:00+00:00
1.0415,1266082.9,1318674.7,2026-03-25 23:00:00+00:00
0.7789,196425.5,153000.6,2026-03-25 23:05:00+00:00
0.6742,238432.1,160762.1,2026-03-25 23:10:00+00:00
1.4472,223308.6,323174.3,2026-03-25 23:15:00+00:00
1.35,226845.6,306230.7,2026-03-25 23:20:00+00:00
1.9696,106061.8,208896.6,2026-03-25 23:25:00+00:00
1.0529,199562.9,210122.9,2026-03-25 23:30:00+00:00
0.4824,493126.4,237883.8,2026-03-25 23:35:00+00:00
0.6229,312423.2,194613.1,2026-03-25 23:40:00+00:00
0.9357,413472.1,386877.8,2026-03-25 23:45:00+00:00
1.3824,402942.5,557035.4,2026-03-25 23:50:00+00:00
0.6397,210798.0,134849.1,2026-03-25 23:55:00+00:00
0.695,551442.3,383233.2,2026-03-26 00:00:00+00:00
0.9968,297118.9,296169.9,2026-03-26 00:05:00+00:00
1.1692,262930.0,307423.7,2026-03-26 00:10:00+00:00
0.7204,318442.8,229412.1,2026-03-26 00:15:00+00:00
2.4201,191580.5,463649.8,2026-03-26 00:20:00+00:00
1.0541,140622.4,148232.9,2026-03-26 00:25:00+00:00
1.4442,243620.3,351845.5,2026-03-26 00:30:00+00:00
1.6083,139355.5,224119.5,2026-03-26 00:35:00+00:00
1.6963,142795.8,242217.4,2026-03-26 00:40:00+00:00
1.0741,254701.2,273574.1,2026-03-26 00:45:00+00:00
0.5048,709254.7,358016.6,2026-03-26 00:50:00+00:00
0.6685,565362.7,377952.3,2026-03-26 00:55:00+00:00
1.1079,239300.4,265121.5,2026-03-26 01:00:00+00:00
1.1403,224580.3,256099.9,2026-03-26 01:05:00+00:00
0.6304,185467.3,116915.5,2026-03-26 01:10:00+00:00
0.748,544381.4,407203.0,2026-03-26 01:15:00+00:00
2.7233,156538.3,426307.7,2026-03-26 01:20:00+00:00
3.3895,586418.3,1987643.5,2026-03-26 01:25:00+00:00
2.8706,912912.3,2620581.5,2026-03-26 01:30:00+00:00
2.6323,654761.1,1723524.3,2026-03-26 01:35:00+00:00
0.6774,373304.0,252866.7,2026-03-26 01:40:00+00:00
1.9876,107595.7,213852.5,2026-03-26 01:45:00+00:00
0.7506,466879.1,350452.9,2026-03-26 01:50:00+00:00
1.3705,134208.1,183938.6,2026-03-26 01:55:00+00:00
1.7357,225705.8,391749.3,2026-03-26 02:00:00+00:00
0.5494,1338153.1,735218.0,2026-03-26 02:05:00+00:00
1.1318,582529.3,659282.7,2026-03-26 02:10:00+00:00
1.0173,909919.2,925655.6,2026-03-26 02:15:00+00:00
0.5128,829438.1,425334.2,2026-03-26 02:20:00+00:00
0.9781,296040.0,289557.4,2026-03-26 02:25:00+00:00
0.3395,4512523.2,1531850.8,2026-03-26 02:30:00+00:00
0.657,1055062.2,693200.1,2026-03-26 02:35:00+00:00
0.9475,396589.3,375750.5,2026-03-26 02:40:00+00:00
0.9443,355556.7,335758.1,2026-03-26 02:45:00+00:00
0.9038,203802.8,184196.0,2026-03-26 02:50:00+00:00
2.3019,204396.9,470506.8,2026-03-26 02:55:00+00:00
0.7873,1889345.3,1487430.3,2026-03-26 03:00:00+00:00
1.3779,364536.2,502310.2,2026-03-26 03:05:00+00:00
1.5057,195201.2,293919.0,2026-03-26 03:10:00+00:00
0.8204,265503.2,217811.0,2026-03-26 03:15:00+00:00
0.6043,1521459.1,919369.8,2026-03-26 03:20:00+00:00
1.4678,861725.4,1264883.2,2026-03-26 03:25:00+00:00
1.4094,512578.2,722410.6,2026-03-26 03:30:00+00:00
2.1963,271808.2,596966.2,2026-03-26 03:35:00+00:00
1.4005,209309.6,293147.4,2026-03-26 03:40:00+00:00
2.9699,473425.6,1406007.3,2026-03-26 03:45:00+00:00
