symbol,longAccount,longShortRatio,shortAccount,timestamp
XRPUSDT,0.5207,1.0864,0.4793,2026-03-13 17:00:00+00:00
XRPUSDT,0.5237,1.0995,0.4763,2026-03-13 18:00:00+00:00
XRPUSDT,0.5228,1.0956,0.4772,2026-03-13 19:00:00+00:00
XRPUSDT,0.5209,1.0871,0.4791,2026-03-13 20:00:00+00:00
XRPUSDT,0.5193,1.0802,0.4807,2026-03-13 21:00:00+00:00
XRPUSDT,0.5161,1.0664,0.4839,2026-03-13 22:00:00+00:00
XRPUSDT,0.5153,1.0631,0.4847,2026-03-13 23:00:00+00:00
XRPUSDT,0.5141,1.0578,0.4859,2026-03-14 00:00:00+00:00
XRPUSDT,0.514,1.0574,0.486,2026-03-14 01:00:00+00:00
XRPUSDT,0.513,1.0535,0.487,2026-03-14 02:00:00+00:00
XRPUSDT,0.5131,1.0537,0.4869,2026-03-14 03:00:00+00:00
XRPUSDT,0.5138,1.0567,0.4862,2026-03-14 04:00:00+00:00
XRPUSDT,0.5154,1.0636,0.4846,2026-03-14 05:00:00+00:00
XRPUSDT,0.5171,1.0709,0.4829,2026-03-14 06:00:00+00:00
XRPUSDT,0.5114,1.0467,0.4886,2026-03-14 07:00:00+00:00
XRPUSDT,0.5075,1.0306,0.4925,2026-03-14 08:00:00+00:00
XRPUSDT,0.5068,1.0277,0.4932,2026-03-14 09:00:00+00:00
XRPUSDT,0.5076,1.031,0.4924,2026-03-14 10:00:00+00:00
XRPUSDT,0.5077,1.0315,0.4923,2026-03-14 11:00:00+00:00
XRPUSDT,0.5072,1.0291,0.4928,2026-03-14 12:00:00+00:00
XRPUSDT,0.5083,1.0337,0.4917,2026-03-14 13:00:00+00:00
XRPUSDT,0.5087,1.0353,0.4913,2026-03-14 14:00:00+00:00
XRPUSDT,0.5079,1.0321,0.4921,2026-03-14 15:00:00+00:00
XRPUSDT,0.5062,1.0251,0.4938,2026-03-14 16:00:00+00:00
XRPUSDT,0.5044,1.0179,0.4956,2026-03-14 17:00:00+00:00
XRPUSDT,0.5037,1.0149,0.4963,2026-03-14 18:00:00+00:00
XRPUSDT,0.5032,1.013,0.4968,2026-03-14 19:00:00+00:00
XRPUSDT,0.5025,1.0101,0.4975,2026-03-14 20:00:00+00:00
XRPUSDT,0.5029,1.0115,0.4971,2026-03-14 21:00:00+00:00
XRPUSDT,0.5013,1.0052,0.4987,2026-03-14 22:00:00+00:00
XRPUSDT,0.5008,1.0032,0.4992,2026-03-14 23:00:00+00:00
XRPUSDT,0.4985,0.9939,0.5015,2026-03-15 00:00:00+00:00
XRPUSDT,0.4991,0.9965,0.5009,2026-03-15 01:00:00+00:00
XRPUSDT,0.4995,0.9981,0.5005,2026-03-15 02:00:00+00:00
XRPUSDT,0.5012,1.005,0.4988,2026-03-15 03:00:00+00:00
XRPUSDT,0.5049,1.0198,0.4951,2026-03-15 04:00:00+00:00
XRPUSDT,0.506,1.0243,0.494,2026-03-15 05:00:00+00:00
XRPUSDT,0.5078,1.0318,0.4922,2026-03-15 06:00:00+00:00
XRPUSDT,0.5096,1.0392,0.4904,2026-03-15 07:00:00+00:00
XRPUSDT,0.5115,1.0471,0.4885,2026-03-15 08:00:00+00:00
XRPUSDT,0.5115,1.047,0.4885,2026-03-15 09:00:00+00:00
XRPUSDT,0.5128,1.0526,0.4872,2026-03-15 10:00:00+00:00
XRPUSDT,0.5118,1.0485,0.4882,2026-03-15 11:00:00+00:00
XRPUSDT,0.5095,1.0387,0.4905,2026-03-15 12:00:00+00:00
XRPUSDT,0.5062,1.0251,0.4938,2026-03-15 13:00:00+00:00
XRPUSDT,0.5031,1.0127,0.4969,2026-03-15 14:00:00+00:00
XRPUSDT,0.5018,1.007,0.4982,2026-03-15 15:00:00+00:00
XRPUSDT,0.503,1.0121,0.497,2026-03-15 16:00:00+00:00
XRPUSDT,0.5013,1.0051,0.4987,2026-03-15 17:00:00+00:00
XRPUSDT,0.5006,1.0024,0.4994,2026-03-15 18:00:00+00:00
XRPUSDT,0.5021,1.0083,0.4979,2026-03-15 19:00:00+00:00
XRPUSDT,0.503,1.0119,0.497,2026-03-15 20:00:00+00:00
XRPUSDT,0.5026,1.0103,0.4974,2026-03-15 21:00:00+00:00
XRPUSDT,0.5016,1.0063,0.4984,2026-03-15 22:00:00+00:00
XRPUSDT,0.4974,0.9898,0.5026,2026-03-15 23:00:00+00:00
XRPUSDT,0.5024,1.0096,0.4976,2026-03-16 00:00:00+00:00
XRPUSDT,0.4998,0.9992,0.5002,2026-03-16 01:00:00+00:00
XRPUSDT,0.5027,1.011,0.4973,2026-03-16 02:00:00+00:00
