symbol,longAccount,longShortRatio,shortAccount,timestamp
XRPUSDT,0.5337,1.1447,0.4663,2026-03-25 22:40:00+00:00
XRPUSDT,0.5329,1.141,0.4671,2026-03-25 22:45:00+00:00
XRPUSDT,0.533,1.1414,0.467,2026-03-25 22:50:00+00:00
XRPUSDT,0.5327,1.1398,0.4673,2026-03-25 22:55:00+00:00
XRPUSDT,0.5328,1.1403,0.4672,2026-03-25 23:00:00+00:00
XRPUSDT,0.5327,1.1399,0.4673,2026-03-25 23:05:00+00:00
XRPUSDT,0.5327,1.1399,0.4673,2026-03-25 23:10:00+00:00
XRPUSDT,0.5329,1.1409,0.4671,2026-03-25 23:15:00+00:00
XRPUSDT,0.5331,1.1416,0.4669,2026-03-25 23:20:00+00:00
XRPUSDT,0.5329,1.1408,0.4671,2026-03-25 23:25:00+00:00
XRPUSDT,0.5327,1.14,0.4673,2026-03-25 23:30:00+00:00
XRPUSDT,0.5327,1.1398,0.4673,2026-03-25 23:35:00+00:00
XRPUSDT,0.5333,1.1426,0.4667,2026-03-25 23:40:00+00:00
XRPUSDT,0.5331,1.1419,0.4669,2026-03-25 23:45:00+00:00
XRPUSDT,0.533,1.1411,0.467,2026-03-25 23:50:00+00:00
XRPUSDT,0.5338,1.1449,0.4662,2026-03-25 23:55:00+00:00
XRPUSDT,0.5337,1.1445,0.4663,2026-03-26 00:00:00+00:00
XRPUSDT,0.5333,1.1429,0.4667,2026-03-26 00:05:00+00:00
XRPUSDT,0.5333,1.1429,0.4667,2026-03-26 00:10:00+00:00
XRPUSDT,0.5326,1.1395,0.4674,2026-03-26 00:15:00+00:00
XRPUSDT,0.5324,1.1384,0.4676,2026-03-26 00:20:00+00:00
XRPUSDT,0.5326,1.1393,0.4674,2026-03-26 00:25:00+00:00
XRPUSDT,0.5326,1.1396,0.4674,2026-03-26 00:30:00+00:00
XRPUSDT,0.5332,1.1421,0.4668,2026-03-26 00:35:00+00:00
XRPUSDT,0.5333,1.1429,0.4667,2026-03-26 00:40:00+00:00
XRPUSDT,0.5332,1.1422,0.4668,2026-03-26 00:45:00+00:00
XRPUSDT,0.5333,1.1426,0.4667,2026-03-26 00:50:00+00:00
XRPUSDT,0.5339,1.1455,0.4661,2026-03-26 00:55:00+00:00
XRPUSDT,0.5335,1.1437,0.4665,2026-03-26 01:00:00+00:00
XRPUSDT,0.5332,1.1423,0.4668,2026-03-26 01:05:00+00:00
XRPUSDT,0.5336,1.1441,0.4664,2026-03-26 01:10:00+00:00
XRPUSDT,0.5336,1.1442,0.4664,2026-03-26 01:15:00+00:00
XRPUSDT,0.5334,1.1432,0.4666,2026-03-26 01:20:00+00:00
XRPUSDT,0.5329,1.1411,0.4671,2026-03-26 01:25:00+00:00
XRPUSDT,0.5321,1.1373,0.4679,2026-03-26 01:30:00+00:00
XRPUSDT,0.5314,1.1341,0.4686,2026-03-26 01:35:00+00:00
XRPUSDT,0.5312,1.1332,0.4688,2026-03-26 01:40:00+00:00
XRPUSDT,0.5311,1.1326,0.4689,2026-03-26 01:45:00+00:00
XRPUSDT,0.5313,1.1335,0.4687,2026-03-26 01:50:00+00:00
XRPUSDT,0.531,1.1321,0.469,2026-03-26 01:55:00+00:00
XRPUSDT,0.531,1.1321,0.469,2026-03-26 02:00:00+00:00
XRPUSDT,0.5312,1.133,0.4688,2026-03-26 02:05:00+00:00
XRPUSDT,0.5306,1.1303,0.4694,2026-03-26 02:10:00+00:00
XRPUSDT,0.5309,1.1317,0.4691,2026-03-26 02:15:00+00:00
XRPUSDT,0.5311,1.1328,0.4689,2026-03-26 02:20:00+00:00
XRPUSDT,0.5309,1.1318,0.4691,2026-03-26 02:25:00+00:00
XRPUSDT,0.5336,1.1439,0.4664,2026-03-26 02:30:00+00:00
XRPUSDT,0.532,1.1366,0.468,2026-03-26 02:35:00+00:00
XRPUSDT,0.5312,1.133,0.4688,2026-03-26 02:40:00+00:00
XRPUSDT,0.5313,1.1334,0.4687,2026-03-26 02:45:00+00:00
XRPUSDT,0.5308,1.1312,0.4692,2026-03-26 02:50:00+00:00
XRPUSDT,0.5308,1.1314,0.4692,2026-03-26 02:55:00+00:00
XRPUSDT,0.5314,1.1338,0.4686,2026-03-26 03:00:00+00:00
XRPUSDT,0.5308,1.1314,0.4692,2026-03-26 03:05:00+00:00
XRPUSDT,0.5309,1.1316,0.4691,2026-03-26 03:10:00+00:00
XRPUSDT,0.531,1.1321,0.469,2026-03-26 03:15:00+00:00
XRPUSDT,0.5311,1.1326,0.4689,2026-03-26 03:20:00+00:00
XRPUSDT,0.5308,1.1312,0.4692,2026-03-26 03:25:00+00:00
XRPUSDT,0.531,1.1321,0.469,2026-03-26 03:30:00+00:00
XRPUSDT,0.5306,1.1304,0.4694,2026-03-26 03:35:00+00:00
XRPUSDT,0.5307,1.131,0.4693,2026-03-26 03:40:00+00:00
XRPUSDT,0.5308,1.1314,0.4692,2026-03-26 03:45:00+00:00
XRPUSDT,0.5329,1.1408,0.4671,2026-03-26 03:50:00+00:00
XRPUSDT,0.533,1.1414,0.467,2026-03-26 03:55:00+00:00
XRPUSDT,0.5332,1.1423,0.4668,2026-03-26 04:00:00+00:00
XRPUSDT,0.5325,1.1389,0.4675,2026-03-26 04:05:00+00:00
XRPUSDT,0.5325,1.1388,0.4675,2026-03-26 04:10:00+00:00
XRPUSDT,0.5322,1.1375,0.4678,2026-03-26 04:15:00+00:00
XRPUSDT,0.5322,1.1378,0.4678,2026-03-26 04:20:00+00:00
XRPUSDT,0.5323,1.1382,0.4677,2026-03-26 04:25:00+00:00
XRPUSDT,0.5318,1.1356,0.4682,2026-03-26 04:30:00+00:00
XRPUSDT,0.5321,1.1373,0.4679,2026-03-26 04:35:00+00:00
XRPUSDT,0.5322,1.1377,0.4678,2026-03-26 04:40:00+00:00
XRPUSDT,0.5323,1.1381,0.4677,2026-03-26 04:45:00+00:00
XRPUSDT,0.531,1.1323,0.469,2026-03-26 04:50:00+00:00
XRPUSDT,0.531,1.1322,0.469,2026-03-26 04:55:00+00:00
XRPUSDT,0.5303,1.1289,0.4697,2026-03-26 05:00:00+00:00
XRPUSDT,0.5302,1.1284,0.4698,2026-03-26 05:05:00+00:00
XRPUSDT,0.5305,1.13,0.4695,2026-03-26 05:10:00+00:00
XRPUSDT,0.531,1.1321,0.469,2026-03-26 05:15:00+00:00
XRPUSDT,0.5309,1.1318,0.4691,2026-03-26 05:20:00+00:00
