entry_bar_idx,entry_time,entry_price,side,tp_price,sl_price,atr_at_entry,exit_bar_idx,exit_time,exit_price,exit_type,holding_bars,gross_pnl_pct,gross_pnl_eq,cost_total_eq,net_pnl_eq,regime,s1_prob,s2_prob
0,2026-02-03 00:00:00+00:00,1.535936,SELL,1.410996,1.560924,0.041647,14,2026-02-05 08:00:00+00:00,1.410996,take_profit,14,0.081344,0.025,0.000726,0.024274,UNKNOWN,0.568,0.2761
63,2026-02-13 12:00:00+00:00,1.3036,BUY,1.387289,1.286862,0.027896,69,2026-02-14 12:00:00+00:00,1.387289,take_profit,6,0.064198,0.025,0.000693,0.024307,UNKNOWN,0.6207,0.6293
70,2026-02-14 16:00:00+00:00,1.427509,SELL,1.346373,1.443736,0.027045,76,2026-02-15 16:00:00+00:00,1.346373,take_profit,6,0.056837,0.025,0.000749,0.024251,UNKNOWN,0.8292,0.3598
77,2026-02-15 20:00:00+00:00,1.356678,SELL,1.271187,1.373777,0.028497,81,2026-02-16 12:00:00+00:00,1.373777,stop_loss,4,-0.012603,-0.005,0.000959,-0.005959,UNKNOWN,0.5335,0.3209
83,2026-02-16 20:00:00+00:00,1.375556,SELL,1.292231,1.392221,0.027775,98,2026-02-19 08:00:00+00:00,1.292231,take_profit,15,0.060575,0.025,0.000904,0.024096,UNKNOWN,0.5921,0.2961
105,2026-02-20 12:00:00+00:00,1.346301,SELL,1.27076,1.36141,0.02518,109,2026-02-21 04:00:00+00:00,1.36141,stop_loss,4,-0.011222,-0.005,0.001044,-0.006044,UNKNOWN,0.5347,0.354
110,2026-02-21 08:00:00+00:00,1.38479,SELL,1.306838,1.40038,0.025984,118,2026-02-22 16:00:00+00:00,1.306838,take_profit,8,0.056291,0.025,0.000798,0.024202,UNKNOWN,0.8521,0.4226
134,2026-02-25 08:00:00+00:00,1.382798,BUY,1.47618,1.364122,0.031127,135,2026-02-25 12:00:00+00:00,1.47618,take_profit,1,0.067531,0.025,0.000579,0.024421,UNKNOWN,0.7247,0.8345
136,2026-02-25 16:00:00+00:00,1.632901,SELL,1.495953,1.66029,0.045649,137,2026-02-25 20:00:00+00:00,1.66029,stop_loss,1,-0.016774,-0.005,0.000742,-0.005742,UNKNOWN,0.7878,0.4305
138,2026-02-26 00:00:00+00:00,1.629434,SELL,1.466648,1.661992,0.054262,145,2026-02-27 04:00:00+00:00,1.661992,stop_loss,7,-0.019981,-0.005,0.00074,-0.00574,UNKNOWN,0.6254,0.3881
146,2026-02-27 08:00:00+00:00,1.566552,SELL,1.388254,1.602211,0.059432,148,2026-02-27 16:00:00+00:00,1.602211,stop_loss,2,-0.022763,-0.005,0.000627,-0.005627,UNKNOWN,0.9032,0.307
149,2026-02-27 20:00:00+00:00,1.59955,SELL,1.421482,1.635164,0.059356,155,2026-02-28 20:00:00+00:00,1.635164,stop_loss,6,-0.022265,-0.005,0.00068,-0.00568,UNKNOWN,0.8772,0.3022
156,2026-03-01 00:00:00+00:00,1.61352,SELL,1.419375,1.652349,0.064715,174,2026-03-04 00:00:00+00:00,1.523904,time_stop,18,0.055541,0.01154,0.000774,0.010766,UNKNOWN,0.8744,0.2657
175,2026-03-04 04:00:00+00:00,1.532848,SELL,1.401658,1.559086,0.04373,176,2026-03-04 08:00:00+00:00,1.559086,stop_loss,1,-0.017117,-0.005,0.000732,-0.005732,UNKNOWN,0.7585,0.3806
177,2026-03-04 12:00:00+00:00,1.548921,SELL,1.419293,1.574846,0.043209,195,2026-03-07 12:00:00+00:00,1.468337,time_stop,18,0.052025,0.015541,0.000997,0.014545,UNKNOWN,0.7563,0.294
205,2026-03-09 04:00:00+00:00,1.486753,BUY,1.588697,1.466364,0.033982,206,2026-03-09 08:00:00+00:00,1.466364,stop_loss,1,-0.013714,-0.005,0.000848,-0.005848,UNKNOWN,0.6333,0.598
207,2026-03-09 12:00:00+00:00,1.502391,BUY,1.603976,1.482074,0.033862,215,2026-03-10 20:00:00+00:00,1.482074,stop_loss,8,-0.013523,-0.005,0.000986,-0.005986,UNKNOWN,0.855,0.5814
216,2026-03-11 00:00:00+00:00,1.487319,BUY,1.581757,1.468431,0.031479,232,2026-03-13 16:00:00+00:00,1.468431,stop_loss,16,-0.012699,-0.005,0.00119,-0.00619,UNKNOWN,0.7907,0.6211
