coin,side,entry_idx,entry_time,entry_price,tp_price,sl_price,atr,exit_idx,exit_time,exit_price,exit_type,holding_bars,gross_pnl_pct,gross_pnl_eq,cost_entry_fee,cost_exit_fee,cost_slippage,cost_funding,cost_miss_fill,cost_total,net_pnl_eq,regime,block
DOT,SELL,42,2026-01-27 04:00:00+00:00,1.864556,1.769607,1.883546,0.03165,46,2026-01-27 20:00:00+00:00,1.883546,stop_loss,4,-0.010185,-0.005,9.8e-05,0.00027,0.000393,9.8e-05,0.000265,0.001124,-0.006124,TREND_DOWN,A
DOT,SELL,47,2026-01-28 00:00:00+00:00,1.860749,1.770919,1.878715,0.029943,49,2026-01-28 08:00:00+00:00,1.878715,stop_loss,2,-0.009655,-0.005,0.000104,0.000285,0.000414,5.2e-05,0.000265,0.001119,-0.006119,TREND_DOWN,A
DOT,SELL,50,2026-01-28 12:00:00+00:00,1.84609,1.752084,1.864892,0.031335,52,2026-01-28 20:00:00+00:00,1.864892,stop_loss,2,-0.010184,-0.005,9.8e-05,0.00027,0.000393,4.9e-05,0.000265,0.001075,-0.006075,TREND_DOWN,A
DOT,SELL,53,2026-01-29 00:00:00+00:00,1.813766,1.712986,1.833922,0.033593,57,2026-01-29 16:00:00+00:00,1.712986,take_profit,4,0.055564,0.025,9e-05,9e-05,0.00018,9e-05,0.000265,0.000715,0.024285,TREND_DOWN,A
DOT,SELL,58,2026-01-29 20:00:00+00:00,1.732898,1.626486,1.75418,0.03547,67,2026-01-31 08:00:00+00:00,1.626486,take_profit,9,0.061407,0.025,8.1e-05,8.1e-05,0.000163,0.000183,0.000265,0.000774,0.024226,TREND_DOWN,A
DOT,SELL,84,2026-02-03 04:00:00+00:00,1.537021,1.415764,1.561273,0.040419,97,2026-02-05 08:00:00+00:00,1.415764,take_profit,13,0.078891,0.025,6.3e-05,6.3e-05,0.000127,0.000206,0.000265,0.000724,0.024276,TREND_DOWN,A
DOT,SELL,115,2026-02-08 08:00:00+00:00,1.367501,1.246263,1.391749,0.040413,132,2026-02-11 04:00:00+00:00,1.246263,take_profit,17,0.088657,0.025,5.6e-05,5.6e-05,0.000113,0.00024,0.000265,0.00073,0.02427,TREND_DOWN,A
DOT,SELL,149,2026-02-14 00:00:00+00:00,1.345437,1.265881,1.361348,0.026519,151,2026-02-14 08:00:00+00:00,1.361348,stop_loss,2,-0.011826,-0.005,8.5e-05,0.000233,0.000338,4.2e-05,0.000265,0.000962,-0.005962,TREND_UP,A
DOT,SELL,50,2026-02-25 12:00:00+00:00,1.517263,1.396467,1.541422,0.040265,51,2026-02-25 16:00:00+00:00,1.541422,stop_loss,1,-0.015923,-0.005,6.3e-05,0.000173,0.000251,1.6e-05,0.000265,0.000767,-0.005767,TREND_UP,B
DOT,SELL,52,2026-02-25 20:00:00+00:00,1.656652,1.499776,1.688027,0.052292,53,2026-02-26 00:00:00+00:00,1.688027,stop_loss,1,-0.018939,-0.005,5.3e-05,0.000145,0.000211,1.3e-05,0.000265,0.000687,-0.005687,TREND_UP,B
DOT,SELL,56,2026-02-26 12:00:00+00:00,1.615343,1.450238,1.648364,0.055035,59,2026-02-27 00:00:00+00:00,1.648364,stop_loss,3,-0.020442,-0.005,4.9e-05,0.000135,0.000196,3.7e-05,0.000265,0.000681,-0.005681,TREND_UP,B
DOT,SELL,60,2026-02-27 04:00:00+00:00,1.605399,1.427046,1.641069,0.059451,64,2026-02-27 20:00:00+00:00,1.641069,stop_loss,4,-0.022219,-0.005,4.5e-05,0.000124,0.00018,4.5e-05,0.000265,0.000659,-0.005659,TREND_UP,B
DOT,SELL,65,2026-02-28 00:00:00+00:00,1.575029,1.400806,1.609873,0.058074,69,2026-02-28 16:00:00+00:00,1.609873,stop_loss,4,-0.022123,-0.005,4.5e-05,0.000124,0.000181,4.5e-05,0.000265,0.00066,-0.00566,TREND_UP,B
DOT,SELL,70,2026-02-28 20:00:00+00:00,1.669926,1.474789,1.708953,0.065045,88,2026-03-03 20:00:00+00:00,1.530146,time_stop,18,0.083704,0.017908,4.3e-05,0.000118,0.000171,0.000193,0.000265,0.000789,0.017119,TREND_UP,B
DOT,SELL,90,2026-03-04 04:00:00+00:00,1.532848,1.401658,1.559086,0.04373,91,2026-03-04 08:00:00+00:00,1.559086,stop_loss,1,-0.017117,-0.005,5.8e-05,0.000161,0.000234,1.5e-05,0.000265,0.000732,-0.005732,TREND_DOWN,B
DOT,SELL,102,2026-03-06 04:00:00+00:00,1.543717,1.429926,1.566475,0.03793,113,2026-03-08 00:00:00+00:00,1.429926,take_profit,11,0.073712,0.025,6.8e-05,6.8e-05,0.000136,0.000187,0.000265,0.000723,0.024277,RANGE_HIGH,B
DOT,BUY,122,2026-03-09 12:00:00+00:00,1.502391,1.603976,1.482074,0.033862,130,2026-03-10 20:00:00+00:00,1.482074,stop_loss,8,-0.013523,-0.005,7.4e-05,0.000203,0.000296,0.000148,0.000265,0.000986,-0.005986,TREND_DOWN,B
DOT,SELL,135,2026-03-11 16:00:00+00:00,1.538723,1.445289,1.55741,0.031145,149,2026-03-14 00:00:00+00:00,1.445289,take_profit,14,0.060722,0.025,8.2e-05,8.2e-05,0.000165,0.000288,0.000265,0.000882,0.024118,TREND_UP,B
