coin,side,entry_idx,entry_time,entry_price,tp_price,sl_price,atr,exit_idx,exit_time,exit_price,exit_type,holding_bars,gross_pnl_pct,gross_pnl_eq,cost_entry_fee,cost_exit_fee,cost_slippage,cost_funding,cost_miss_fill,cost_total,net_pnl_eq,regime,block
ADA,BUY,44,2026-01-27 12:00:00+00:00,0.350908,0.366626,0.347764,0.005239,55,2026-01-29 08:00:00+00:00,0.347764,stop_loss,11,-0.008958,-0.005,0.000112,0.000307,0.000447,0.000307,0.000265,0.001437,-0.006437,TREND_DOWN,A
ADA,SELL,86,2026-02-03 12:00:00+00:00,0.303552,0.280546,0.308153,0.007669,96,2026-02-05 04:00:00+00:00,0.280546,take_profit,10,0.075789,0.025,6.6e-05,6.6e-05,0.000132,0.000165,0.000265,0.000694,0.024306,TREND_DOWN,A
ADA,BUY,116,2026-02-08 12:00:00+00:00,0.272545,0.295252,0.268004,0.007569,117,2026-02-08 16:00:00+00:00,0.268004,stop_loss,1,-0.016662,-0.005,6e-05,0.000165,0.00024,1.5e-05,0.000265,0.000745,-0.005745,TREND_DOWN,A
ADA,BUY,148,2026-02-13 20:00:00+00:00,0.272702,0.288519,0.269539,0.005272,153,2026-02-14 16:00:00+00:00,0.288519,take_profit,5,0.058001,0.025,8.6e-05,8.6e-05,0.000172,0.000108,0.000265,0.000717,0.024283,TREND_UP,A
ADA,BUY,0,2026-02-17 04:00:00+00:00,0.28711,0.304272,0.283678,0.005721,1,2026-02-17 08:00:00+00:00,0.283678,stop_loss,1,-0.011955,-0.005,8.4e-05,0.00023,0.000335,2.1e-05,0.000265,0.000934,-0.005934,UNKNOWN,B
ADA,BUY,6,2026-02-18 04:00:00+00:00,0.284578,0.300635,0.281366,0.005353,7,2026-02-18 08:00:00+00:00,0.281366,stop_loss,1,-0.011285,-0.005,8.9e-05,0.000244,0.000354,2.2e-05,0.000265,0.000974,-0.005974,UNKNOWN,B
ADA,SELL,20,2026-02-20 12:00:00+00:00,0.287286,0.270442,0.290655,0.005615,21,2026-02-20 16:00:00+00:00,0.290655,stop_loss,1,-0.011726,-0.005,8.5e-05,0.000235,0.000341,2.1e-05,0.000265,0.000947,-0.005947,UNKNOWN,B
ADA,BUY,22,2026-02-20 20:00:00+00:00,0.284902,0.30252,0.281379,0.005873,24,2026-02-21 04:00:00+00:00,0.281379,stop_loss,2,-0.012368,-0.005,8.1e-05,0.000222,0.000323,4e-05,0.000265,0.000932,-0.005932,UNKNOWN,B
ADA,BUY,25,2026-02-21 08:00:00+00:00,0.283488,0.299667,0.280252,0.005393,27,2026-02-21 16:00:00+00:00,0.280252,stop_loss,2,-0.011414,-0.005,8.8e-05,0.000241,0.00035,4.4e-05,0.000265,0.000987,-0.005987,UNKNOWN,B
ADA,SELL,51,2026-02-25 16:00:00+00:00,0.300963,0.281384,0.304879,0.006526,52,2026-02-25 20:00:00+00:00,0.304879,stop_loss,1,-0.013011,-0.005,7.7e-05,0.000211,0.000307,1.9e-05,0.000265,0.00088,-0.00588,TREND_UP,B
ADA,SELL,53,2026-02-26 00:00:00+00:00,0.295443,0.274006,0.299731,0.007146,66,2026-02-28 04:00:00+00:00,0.274006,take_profit,13,0.07256,0.025,6.9e-05,6.9e-05,0.000138,0.000224,0.000265,0.000764,0.024236,TREND_UP,B
ADA,SELL,71,2026-03-01 00:00:00+00:00,0.286827,0.264945,0.291204,0.007294,85,2026-03-03 08:00:00+00:00,0.264945,take_profit,14,0.076289,0.025,6.6e-05,6.6e-05,0.000131,0.000229,0.000265,0.000756,0.024244,RANGE_HIGH,B
ADA,SELL,92,2026-03-04 12:00:00+00:00,0.280168,0.259143,0.284373,0.007008,93,2026-03-04 16:00:00+00:00,0.284373,stop_loss,1,-0.015009,-0.005,6.7e-05,0.000183,0.000267,1.7e-05,0.000265,0.000798,-0.005798,TREND_DOWN,B
ADA,BUY,143,2026-03-13 00:00:00+00:00,0.271443,0.286269,0.268478,0.004942,147,2026-03-13 16:00:00+00:00,0.268478,stop_loss,4,-0.010924,-0.005,9.2e-05,0.000252,0.000366,9.2e-05,0.000265,0.001066,-0.006066,TREND_UP,B
