fill_id,order_link_id,fill_price,fill_qty,fee,filled_at,raw_response
1,v43-sol-0318-1059-b-0001,93.8,0.12,0.0,2026-03-18T11:00:01.081427+00:00,
2,v43-link-0318-1100-b-0001,9.75,3.15,0.0,2026-03-18T11:00:01.937945+00:00,
3,v43-sol-0318-1218-b-0001,93.8,0.12,0.0,2026-03-18T12:18:54.042617+00:00,
4,v43-ada-0319-1028-b-0001,0.2884,35.0,0.0,2026-03-19T10:28:42.802071+00:00,
5,v43-ada-0319-1031-b-0001,0.2884,35.0,0.0,2026-03-19T10:31:21.670389+00:00,
6,v43-ada-0319-1041-b-0001,0.2884,35.0,0.0,2026-03-19T10:41:50.728887+00:00,
7,v43-xrp-0319-1043-b-0001,1.4627,30.7,0.0,2026-03-19T10:43:12.839427+00:00,
8,v43-ada-0319-1044-b-0001,0.2884,35.0,0.0,2026-03-19T10:44:26.195583+00:00,
9,v43-ada-0319-1045-b-0001,0.2884,35.0,0.0,2026-03-19T10:45:38.889872+00:00,
10,v43-ada-0319-1048-b-0001,0.2884,35.0,0.0,2026-03-19T10:48:01.268982+00:00,
11,v43-ada-0319-1051-b-0001,0.2884,35.0,0.0,2026-03-19T10:51:12.237084+00:00,
12,v43-ada-0319-1053-b-0001,0.2884,35.0,0.0,2026-03-19T10:53:25.765242+00:00,
13,v43-xrp-0319-1054-s-0001,1.4627,30.7,0.0,2026-03-19T10:54:40.019106+00:00,
14,v43-dot-0319-1057-b-0001,1.531,29.3,0.0,2026-03-19T10:57:56.942281+00:00,
15,v43-ada-0319-1057-b-0001,0.2884,35.0,0.0,2026-03-19T10:57:58.126066+00:00,
16,v43-dot-0319-1058-b-0001,1.531,29.3,0.0,2026-03-19T10:58:54.736559+00:00,
17,v43-ada-0319-1059-b-0001,0.2884,35.0,0.0,2026-03-19T10:59:57.005562+00:00,
18,v43-sol-0319-1130-s-0001,93.8,0.12,0.0,2026-03-19T11:30:40.533318+00:00,
19,v43-sol-0319-1446-b-0001,93.8,0.12,0.0,2026-03-19T14:46:06.461751+00:00,
20,v43-sol-0319-2324-s-0001,88.84,1.13,0.0,2026-03-19T23:24:54.643271+00:00,
21,v43-sol-0320-0024-s-0001,88.98,1.12,0.0,2026-03-20T00:24:54.516025+00:00,
22,v43-sol-0320-0409-b-0001,89.69,0.38,0.0,2026-03-20T04:09:49.624147+00:00,
23,v43-sol-0320-0723-b-0001,88.96,1.12,0.0,2026-03-20T07:24:02.443644+00:00,
